master_card_id	source_key_short_value_plus_scope	source_short_value_de	imperative_clause_de	terminal_scope	minimal_dictionary_recipe	grade_instruction	form_selector	exact_identity_recipe	canonical_written_form	registered_surface_forms	surface_form_count	bio_event_count	forward_rule_de
MC001	Zieltransfer|NONCLOSE	Zieltransfer	Führe ihn zum Ziel über	NONCLOSE	F_AL+F_CHED_TRANSFER	NO_GRADE	UNIQUE_RECIPE	AL+CHED_TRANSFER	chdal	chdal	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC002	länger einwirken lassen|NONCLOSE	länger einwirken lassen	Lass ihn länger einwirken	NONCLOSE	F_E_GRADE+F_OK+F_Y	EE_LONG	UNIQUE_RECIPE	OK+E_GRADE+Y[GRADE=EE_LONG]	okeey	okeey|qokeey	2	7	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC003	Langabsetzen|TERMINAL	Langabsetzen	Lass ihn lange absetzen	TERMINAL	F_DY+F_E_GRADE+F_SHED	EE_LONG	UNIQUE_RECIPE	E_GRADE+DY+SHED[GRADE=EE_LONG]	sheedy	sheedy	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC004	abziehen|TERMINAL	abziehen	Ziehe ihn ab	TERMINAL	F_DY+F_L	NO_GRADE	UNIQUE_RECIPE	L+DY	ldy	ldy	1	2	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC005	vorigen Posten überführen|TERMINAL	vorigen Posten überführen	Führe den vorigen Posten über	TERMINAL	F_CHED_TRANSFER+F_DY+F_OK	NO_GRADE	SELECT_MC005	OK+DY+CHED_TRANSFER[SUBTYPE=PREVIOUS_ITEM_TRANSFER]	okchedy	okchedy|qokchedy	2	2	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC007	kurz einwirken lassen|NONCLOSE	kurz einwirken lassen	Lass ihn kurz einwirken	NONCLOSE	F_E_GRADE+F_OK+F_Y	E_SHORT	UNIQUE_RECIPE	OK+E_GRADE+Y[GRADE=E_SHORT]	okey	okey|qokey	2	2	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC008	Abführgut|NONCLOSE	Abführgut	Nimm das abzuführende Gut	NONCLOSE	F_L+F_Y	NO_GRADE	UNIQUE_RECIPE	L+Y	lchy	lchy	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC009	Quellposten|NONCLOSE	Quellposten	Nimm den Posten aus der Quelle	NONCLOSE	F_AR+F_Y	NO_GRADE	UNIQUE_RECIPE	AR+Y	chary	chary	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC011	Quellabführung|NONCLOSE	Quellabführung	Führe ihn von der Quelle ab	NONCLOSE	F_AR+F_CHED_TRANSFER+F_L	NO_GRADE	UNIQUE_RECIPE	AR+L+CHED_TRANSFER	lchedar	lchedar	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC012	Zusatz|NONCLOSE	Zusatz	Gib den Zusatz zu	NONCLOSE	W_MC012	NO_GRADE	UNIQUE_RECIPE	W_MC012	dl	dl	1	2	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC016	Anschluss|NONCLOSE	Anschluss	Schließe am nächsten Abschnitt an	NONCLOSE	F_OL	NO_GRADE	SELECT_MC016	OL[SUBTYPE=CONNECTION_CONTINUATION]	rol	rol	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC017	Anteil zugeben|NONCLOSE	Anteil zugeben	Gib einen Anteil zu	NONCLOSE	F_AIN+F_OK	NO_GRADE	UNIQUE_RECIPE	OK+AIN	okain	okain|qokain	2	7	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC018	Kurzsoll|NONCLOSE	Kurzsoll	Halte die kurze Sollstufe ein	NONCLOSE	F_AIIN+F_E_GRADE+F_OT	E_SHORT	UNIQUE_RECIPE	OT+AIIN+E_GRADE[GRADE=E_SHORT]	qotedaiin	qotedaiin	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC019	fertig|TERMINAL	fertig	Beende den Arbeitsschritt	TERMINAL	F_DY+F_OL	NO_GRADE	UNIQUE_RECIPE	OL+DY	oldy	oldy	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC020	Langsammlung|NONCLOSE	Langsammlung	Sammle ihn lange	NONCLOSE	F_E_GRADE+F_SOLK+F_Y	EE_LONG	UNIQUE_RECIPE	E_GRADE+Y+SOLK	solkeey	solkeey	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC022	Zielpassage|NONCLOSE	Zielpassage	Führe ihn durch die Zielpassage	NONCLOSE	F_AL+F_CKH	NO_GRADE	UNIQUE_RECIPE	AL+CKH	chckhal	chckhal	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC023	Beckenlauf|NONCLOSE	Beckenlauf	Führe durch den Beckenlauf	NONCLOSE	F_AIR+F_K_BINDER	NO_GRADE	UNIQUE_RECIPE	AIR+K_BINDER	kair	kair	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC024	Weiter einsetzen|NONCLOSE	Weiter einsetzen	Setze den verbleibenden Posten erneut ein	NONCLOSE	F_OK+F_OL	NO_GRADE	UNIQUE_RECIPE	OK+OL	qokol	qokol	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC025	überführen|TERMINAL	überführen	Führe den Posten über	TERMINAL	F_CHED_TRANSFER	NO_GRADE	UNIQUE_RECIPE	CHED_TRANSFER[LICENSED_CLOSE=YES]	dchedy	dchedy|schedy|tchedy	3	4	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC026	einsetzen|NONCLOSE	einsetzen	Setze den Posten ein	NONCLOSE	F_OK+F_Y	NO_GRADE	UNIQUE_RECIPE	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	choky	choky|oky|qoky	3	7	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC028	weiterführen|TERMINAL	weiterführen	Führe ihn weiter	TERMINAL	F_CHED_TRANSFER+F_DY+F_OL	NO_GRADE	UNIQUE_RECIPE	OL+DY+CHED_TRANSFER	olchedy	olchedy|qolchedy	2	3	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
MC029	Quellabzug|NONCLOSE	Quellabzug	Ziehe ihn aus der Quelle ab	NONCLOSE	F_AR+F_L	NO_GRADE	UNIQUE_RECIPE	AR+L	lar	lar	1	1	Kurzwert und Scope wählen die Kartenidentität; Rezept, Grad und Selektor schreiben die kanonische Form.
