global_running_event_id	physical_page	surface	component_recipe	close_target_action	target_source	other_page_count	other_pages	portability_status
G407-E0056	f1r	shody	SH+O+DY	SH	EXPLICIT_LAST_ACTION	15	f17r|f18r|f24v|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0068	f1r	shody	SH+O+DY	SH	EXPLICIT_LAST_ACTION	15	f17r|f18r|f24v|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0071	f1r	teody	T+E+O+DY	T	EXPLICIT_LAST_ACTION	11	f17r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f88v|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0133	f1r	dydyd	Y+DY+D_LABEL	SH	INHERITED_ACTION	15	f17r|f18r|f24v|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0200	f1r	shody	SH+O+DY	SH	EXPLICIT_LAST_ACTION	15	f17r|f18r|f24v|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0253	f10r	ody	O+DY	R	INHERITED_ACTION	2	f18r|f82r	CROSS_PAGE_ACTION_CLOSE
G407-E0313	f11r	tchody	T+CH+O+DY	CH	EXPLICIT_LAST_ACTION	9	f13r|f17r|f72r|f77r|f81r|f88r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0407	f13r	cfholdy	CH+LOCAL_CHAR_F+OL+DY	CH	EXPLICIT_LAST_ACTION	9	f11r|f17r|f72r|f77r|f81r|f88r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0423	f13r	oldy	OL+DY	OK	INHERITED_ACTION	14	f55v|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0433	f13r	oldy	OL+DY	OK	INHERITED_ACTION	14	f55v|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0439	f13r	daldy	AL+DY	CH	INHERITED_ACTION	9	f11r|f17r|f72r|f77r|f81r|f88r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0443	f17r	fshody	LOCAL_CHAR_F+SH+O+DY	SH	EXPLICIT_LAST_ACTION	15	f18r|f1r|f24v|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0447	f17r	opydy	O+P+Y+DY	P	EXPLICIT_LAST_ACTION	6	f72r|f76r|f81r|f81v|f83r|f88v	CROSS_PAGE_ACTION_CLOSE
G407-E0451	f17r	dody	D_ADDR+O+DY	CH	INHERITED_ACTION	9	f11r|f13r|f72r|f77r|f81r|f88r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0457	f17r	ckhody	CH+K+O+DY	K	EXPLICIT_LAST_ACTION	13	f18r|f55v|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0483	f17r	cphaldy	CH+P+AL+DY	P	EXPLICIT_LAST_ACTION	6	f72r|f76r|f81r|f81v|f83r|f88v	CROSS_PAGE_ACTION_CLOSE
G407-E0486	f17r	qody	CARRIER_Q+O+DY	T	INHERITED_ACTION	11	f1r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f88v|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0497	f17r	opchordy	O+P+CH+OR+DY	CH	EXPLICIT_LAST_ACTION	9	f11r|f13r|f72r|f77r|f81r|f88r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0521	f18r	pdrairdy	P+D_ADDR+R+AIR+DY	R	EXPLICIT_LAST_ACTION	2	f10r|f82r	CROSS_PAGE_ACTION_CLOSE
G407-E0569	f18r	doldy	OL+DY	SH	INHERITED_ACTION	15	f17r|f1r|f24v|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0573	f18r	olody	OL+O+DY	K	INHERITED_ACTION	13	f17r|f55v|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0610	f24v	opshody	O+P+SH+O+DY	SH	EXPLICIT_LAST_ACTION	15	f17r|f18r|f1r|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0695	f55v	dodyd	D_ADDR+O+DY+D_LABEL	K	INHERITED_ACTION	13	f17r|f18r|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0698	f55v	okeedy	OK+EE+DY	OK	EXPLICIT_LAST_ACTION	14	f13r|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0720	f55v	ody	O+DY	OK	INHERITED_ACTION	14	f13r|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0725	f55v	ody	O+DY	K	INHERITED_ACTION	13	f17r|f18r|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0781	f55v	oldy	OL+DY	K	INHERITED_ACTION	13	f17r|f18r|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0802	f56r	esedy	E+S+E+DY	S	EXPLICIT_LAST_ACTION	9	f67r2|f72r|f75r|f76r|f77r|f81r|f82r|f88v|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0847	f56r	cheeckhody	CH+EE+CH+K+O+DY	K	EXPLICIT_LAST_ACTION	13	f17r|f18r|f55v|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0908	f67r2	oldy	OL+DY	S	INHERITED_ACTION	9	f56r|f72r|f75r|f76r|f77r|f81r|f82r|f88v|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0941	f67r2	ytody	Y+T+O+DY	T	EXPLICIT_LAST_ACTION	11	f17r|f1r|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f88v|f95v	CROSS_PAGE_ACTION_CLOSE
G407-E0975	f67r2	ofydy	O+LOCAL_CHAR_F+Y+DY	S	INHERITED_ACTION	9	f56r|f72r|f75r|f76r|f77r|f81r|f82r|f88v|f95v	CROSS_PAGE_ACTION_CLOSE
