global_running_event_id	physical_page	surface	component_recipe	pair_ordinal_in_recipe	ordered_pair	r_topology	other_page_count	other_pages	portability_status
G407-E0007	f1r	cthres	CH+T+R+E+S	1	CH>T	R_POSITIONAL_TAIL	21	f10r|f11r|f17r|f18r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0007	f1r	cthres	CH+T+R+E+S	2	T>R	R_POSITIONAL_TAIL	0	NONE	OLD_R_TOPOLOGY_SPLIT
G407-E0012	f1r	ckhar	CH+K+AR	1	CH>K	NONE	22	f10r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0016	f1r	chtaiin	CH+T+AIIN	1	CH>T	NONE	21	f10r|f11r|f17r|f18r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0019	f1r	cthar	CH+T+AR	1	CH>T	NONE	21	f10r|f11r|f17r|f18r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0020	f1r	cthar	CH+T+AR	1	CH>T	NONE	21	f10r|f11r|f17r|f18r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0027	f1r	cthoary	CH+T+O+AR+Y	1	CH>T	NONE	21	f10r|f11r|f17r|f18r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0028	f1r	cthes	CH+T+E+S	1	CH>T	NONE	21	f10r|f11r|f17r|f18r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0035	f1r	cthiar	CH+T+LOCAL_CHAR_I+AR	1	CH>T	NONE	21	f10r|f11r|f17r|f18r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0043	f1r	cthaiin	CH+T+AIIN	1	CH>T	NONE	21	f10r|f11r|f17r|f18r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0044	f1r	cphar	CH+P+AR	1	CH>P	NONE	15	f11r|f17r|f24v|f56r|f68r1|f71v|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0049	f1r	cphoy	CH+P+O+Y	1	CH>P	NONE	15	f11r|f17r|f24v|f56r|f68r1|f71v|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0057	f1r	okchoy	OK+CH+O+Y	1	OK>CH	NONE	10	f13r|f17r|f18r|f24v|f56r|f68r1|f71v|f72r|f77r|f89r	CROSS_PAGE_EXACT_ADJACENT_PAIR
G407-E0059	f1r	chocthy	CH+O+CH+T+Y	3	CH>T	NONE	21	f10r|f11r|f17r|f18r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_ADJACENT_PAIR
