physical_page	registers	event_count	cross_page_action_event_count	local_action_appendix_event_count	local_owner_channel_event_count	outside_action_grammar_event_count
f10r	HERBAL	92	92	0	0	0
f11r	HERBAL	59	59	0	0	0
f13r	HERBAL	77	76	1	0	0
f17r	HERBAL	78	78	0	0	0
f18r	HERBAL	84	83	1	0	0
f1r	SOURCE_SECTION_T	214	211	1	0	2
f24v	HERBAL	86	86	0	0	0
f55v	HERBAL	106	106	0	0	0
f56r	HERBAL	105	103	1	0	1
f67r2	CELESTIAL	126	126	0	0	0
f68r1	CELESTIAL	31	31	0	0	0
f71v	CELESTIAL	78	78	0	0	0
f72r	CELESTIAL	288	279	0	1	8
f75r	BIOLOGICAL	408	407	1	0	0
f76r	BIOLOGICAL	560	554	2	0	4
f77r	BIOLOGICAL	321	321	0	0	0
f81r	BIOLOGICAL	210	210	0	0	0
f81v	BIOLOGICAL	253	253	0	0	0
f82r	BIOLOGICAL	278	277	1	0	0
f83r	BIOLOGICAL	341	340	1	0	0
f88r	PHARMA	134	134	0	0	0
f88v	PHARMA	131	131	0	0	0
f89r	PHARMA	338	336	0	0	2
f95v	HERBAL	178	178	0	0	0
