global_attachment_id	global_running_event_id	physical_page	surface	focus_core	action_core	focus_edge	selector_rule	attachment_geometry	r_topology	other_page_count	other_pages	portability_status
G407-A00001	G407-E0001	f1r	fachys	Y	CH	CH<-Y	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	23	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_FOCUS_EDGE
G407-A00002	G407-E0002	f1r	ykal	Y	K	K<-Y	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	NONE	23	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_FOCUS_EDGE
G407-A00003	G407-E0002	f1r	ykal	AL	K	K<-AL	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	NONE	13	f13r|f24v|f55v|f71v|f72r|f75r|f76r|f81r|f81v|f83r|f88v|f89r|f95v	CROSS_PAGE_EXACT_FOCUS_EDGE
G407-A00004	G407-E0003	f1r	ar	AR	K	K<-AR	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	NONE	14	f13r|f18r|f55v|f68r1|f71v|f72r|f75r|f76r|f81r|f81v|f83r|f88r|f88v|f95v	CROSS_PAGE_EXACT_FOCUS_EDGE
G407-A00005	G407-E0004	f1r	ataiin	AIIN	T	T<-AIIN	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	11	f10r|f18r|f55v|f67r2|f71v|f77r|f81r|f82r|f83r|f89r|f95v	CROSS_PAGE_EXACT_FOCUS_EDGE
G407-A00006	G407-E0006	f1r	shory	OR	SH	SH<-OR	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	16	f10r|f11r|f13r|f17r|f18r|f71v|f72r|f75r|f76r|f77r|f81r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_FOCUS_EDGE
G407-A00007	G407-E0006	f1r	shory	Y	SH	SH<-Y	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	21	f10r|f11r|f13r|f17r|f18r|f24v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_FOCUS_EDGE
G407-A00008	G407-E0007	f1r	cthres	E	T	T<-E	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	R_POSITIONAL_TAIL	17	f10r|f17r|f24v|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE_EXACT_FOCUS_EDGE
G407-A00009	G407-E0008	f1r	y	Y	S	S<-Y	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	NONE	15	f11r|f13r|f17r|f24v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f82r|f83r|f88r|f89r	CROSS_PAGE_EXACT_FOCUS_EDGE
G407-A00010	G407-E0009	f1r	kor	OR	K	K<-OR	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	NONE	12	f10r|f13r|f24v|f56r|f67r2|f68r1|f71v|f75r|f76r|f81v|f88r|f88v	CROSS_PAGE_EXACT_FOCUS_EDGE
