entry_id	entry_type	visible_form_or_card	atomic_value_de	operating_value	composition_or_memory_rule_de	bio_card_types_reached	bio_event_memberships	source_category
F_OK	PRODUCTIVE_FAMILY	OK	EINSETZEN	CONTEXTUAL_TREAT	aktiviert die vom Partnerstamm bezeichnete Handlung	19	68	MULTIMODE_OPERATION_ACTIVATOR
F_OL	PRODUCTIVE_FAMILY	OL	WEITER_GLEICHER_LAUF	CONTEXTUAL_LOCAL_CONTROL	als lokale Folge-, Adress-, Lauf- oder Zustandssteuerung lesen	15	33	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY
F_OT	PRODUCTIVE_FAMILY	OT	FOLGEPOSTEN	CONTEXTUAL_LOCAL_CONTROL	als lokale Folge-, Adress-, Lauf- oder Zustandssteuerung lesen	10	18	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY
F_AR	PRODUCTIVE_FAMILY	AR	VON_QUELLE	CONTEXTUAL_LOCAL_CONTROL	als lokale Folge-, Adress-, Lauf- oder Zustandssteuerung lesen	8	10	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY
F_AL	PRODUCTIVE_FAMILY	AL	ZU_ZIEL	CONTEXTUAL_LOCAL_CONTROL	als lokale Folge-, Adress-, Lauf- oder Zustandssteuerung lesen	19	34	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY
F_L	PRODUCTIVE_FAMILY	L	AB	DISCHARGE	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	15	23	MODE_PREDICTIVE_CONTENT_FAMILY
F_P	PRODUCTIVE_FAMILY	P	ZU	CONTEXTUAL_CHARGE	nur in den belegten Spezialkonstruktionen einsetzen	2	2	NARROW_LOW_COUNT_SPECIALIST
F_AIN	PRODUCTIVE_FAMILY	AIN	PORTION	CHARGE	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	4	13	MODE_PREDICTIVE_CONTENT_FAMILY
F_AIIN	PRODUCTIVE_FAMILY	AIIN	SOLLWERT	MEASURE	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	6	25	MODE_PREDICTIVE_CONTENT_FAMILY
F_IIN	PRODUCTIVE_FAMILY	IIN	STUFE	MEASURE	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	2	3	MODE_PREDICTIVE_CONTENT_FAMILY
F_E_GRADE	PRODUCTIVE_FAMILY	E|EE|EEE	GRAD	CONTEXTUAL_TREAT	als Grad-, Referent- oder Schlussrahmen lesen; nicht als Inhaltsverb	30	72	GRADE_REFERENT_ENDPOINT_FRAME
F_Y	PRODUCTIVE_FAMILY	Y	DIES_AKTUELLER_POSTEN	CONTEXTUAL_LOCAL_CONTROL	als Grad-, Referent- oder Schlussrahmen lesen; nicht als Inhaltsverb	29	69	GRADE_REFERENT_ENDPOINT_FRAME
