master_card_id	master_form	registered_surfaces	minimal_dictionary_recipe	card_layer	source_short_value_de	imperative_clause_de	bio_event_count	revised_mode_counts
MC001	chdal	chdal	F_AL+F_CHED_TRANSFER	PRODUCTIVE_COMPOSITION	Zieltransfer	Führe ihn zum Ziel über	1	CHARGE:1
MC002	okeey	okeey|qokeey	F_E_GRADE+F_OK+F_Y	PRODUCTIVE_COMPOSITION	länger einwirken lassen	Lass ihn länger einwirken	7	TREAT:7
MC003	sheedy	sheedy	F_DY+F_E_GRADE+F_SHED	PRODUCTIVE_COMPOSITION	Langabsetzen	Lass ihn lange absetzen	1	SETTLE:1
MC004	ldy	ldy	F_DY+F_L	PRODUCTIVE_COMPOSITION	abziehen	Ziehe ihn ab	2	DISCHARGE:2
MC005	okchedy	okchedy|qokchedy	F_CHED_TRANSFER+F_DY+F_OK	PRODUCTIVE_COMPOSITION	vorigen Posten überführen	Führe den vorigen Posten über	2	CHARGE:2
MC007	okey	okey|qokey	F_E_GRADE+F_OK+F_Y	PRODUCTIVE_COMPOSITION	kurz einwirken lassen	Lass ihn kurz einwirken	2	TREAT:2
MC008	lchy	lchy	F_L+F_Y	PRODUCTIVE_COMPOSITION	Abführgut	Nimm das abzuführende Gut	1	DISCHARGE:1
MC009	chary	chary	F_AR+F_Y	PRODUCTIVE_COMPOSITION	Quellposten	Nimm den Posten aus der Quelle	1	LOCAL_CONTROL:1
MC011	lchedar	lchedar	F_AR+F_CHED_TRANSFER+F_L	PRODUCTIVE_COMPOSITION	Quellabführung	Führe ihn von der Quelle ab	1	DISCHARGE:1
MC012	dl	dl	W_MC012	LEARNED_WHOLE_OR_MICROSIGN	Zusatz	Gib den Zusatz zu	2	CHARGE:2
MC016	rol	rol	F_OL	PRODUCTIVE_COMPOSITION	Anschluss	Schließe am nächsten Abschnitt an	1	LOCAL_CONTROL:1
MC017	okain	okain|qokain	F_AIN+F_OK	PRODUCTIVE_COMPOSITION	Anteil zugeben	Gib einen Anteil zu	7	CHARGE:7
MC018	qotedaiin	qotedaiin	F_AIIN+F_E_GRADE+F_OT	PRODUCTIVE_COMPOSITION	Kurzsoll	Halte die kurze Sollstufe ein	1	LOCAL_CONTROL:1
MC019	oldy	oldy	F_DY+F_OL	PRODUCTIVE_COMPOSITION	fertig	Beende den Arbeitsschritt	1	LOCAL_CONTROL:1
MC020	solkeey	solkeey	F_E_GRADE+F_SOLK+F_Y	PRODUCTIVE_COMPOSITION	Langsammlung	Sammle ihn lange	1	LOCAL_CONTROL:1
MC022	chckhal	chckhal	F_AL+F_CKH	PRODUCTIVE_COMPOSITION	Zielpassage	Führe ihn durch die Zielpassage	1	PASS_FILTER:1
