biological_record	product_handle	owner_sigil	chain_depth	supply_features	matched_demand_features	missing_demand_features	raw_match_score	maximum_match_score	primary_feature	primary_feature_available_in_any_stock	primary_feature_matched	explicit_close	was_original_supply	selected
B1	A.G2	A	2	CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	WATER,CONTINUE,SET	PASSAGE,HOLD	4	6	WATER	YES	YES	NO	YES	YES
B1	A.Z3	A	5	ADD,CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	WATER,CONTINUE,SET	PASSAGE,HOLD	4	6	WATER	YES	YES	NO	NO	NO
B1	B.X1	B	1	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	CONTINUE,PASSAGE,HOLD	WATER,SET	3	6	WATER	YES	NO	YES	NO	NO
B1	B.X2	B	2	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	CONTINUE,PASSAGE,HOLD	WATER,SET	3	6	WATER	YES	NO	NO	NO	NO
B1	B.X4	B	4	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	CONTINUE,SET,PASSAGE,HOLD	WATER	4	6	WATER	YES	NO	NO	NO	NO
B1	C.M1	C	1	ADD,CLOSE,MEASURE,SET,WORK	SET	WATER,CONTINUE,PASSAGE,HOLD	1	6	WATER	YES	NO	YES	NO	NO
B1	C.W1	C	3	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,SET,WORK	CONTINUE,SET	WATER,PASSAGE,HOLD	2	6	WATER	YES	NO	YES	NO	NO
B1	C.W2	C	4	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,PREPARE,SET,TARGET,WORK	CONTINUE,SET	WATER,PASSAGE,HOLD	2	6	WATER	YES	NO	NO	NO	NO
B1	D.P1	D	2	ADD,CLOSE,CONTINUE,EXTRACT,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	CONTINUE,SET,PASSAGE	WATER,HOLD	3	6	WATER	YES	NO	YES	NO	NO
B1	D.P3	D	6	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	CONTINUE,SET,PASSAGE,HOLD	WATER	4	6	WATER	YES	NO	NO	NO	NO
B2	A.G2	A	2	CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	MEASURE,SET,EXTRACT	PASSAGE,HOLD,TARGET	3	7	PASSAGE	YES	NO	NO	NO	NO
B2	A.Z3	A	5	ADD,CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	MEASURE,SET,EXTRACT	PASSAGE,HOLD,TARGET	3	7	PASSAGE	YES	NO	NO	NO	NO
B2	B.X1	B	1	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	PASSAGE,MEASURE,HOLD,TARGET,EXTRACT	SET	6	7	PASSAGE	YES	YES	YES	NO	NO
B2	B.X2	B	2	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	PASSAGE,MEASURE,HOLD,TARGET,EXTRACT	SET	6	7	PASSAGE	YES	YES	NO	NO	NO
B2	B.X4	B	4	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	PASSAGE,MEASURE,SET,HOLD,TARGET,EXTRACT	NONE	7	7	PASSAGE	YES	YES	NO	NO	YES
B2	C.M1	C	1	ADD,CLOSE,MEASURE,SET,WORK	MEASURE,SET	PASSAGE,HOLD,TARGET,EXTRACT	2	7	PASSAGE	YES	NO	YES	NO	NO
B2	C.W1	C	3	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,SET,WORK	MEASURE,SET,EXTRACT	PASSAGE,HOLD,TARGET	3	7	PASSAGE	YES	NO	YES	NO	NO
B2	C.W2	C	4	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,PREPARE,SET,TARGET,WORK	MEASURE,SET,TARGET,EXTRACT	PASSAGE,HOLD	4	7	PASSAGE	YES	NO	NO	NO	NO
B2	D.P1	D	2	ADD,CLOSE,CONTINUE,EXTRACT,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	PASSAGE,MEASURE,SET,TARGET,EXTRACT	HOLD	6	7	PASSAGE	YES	YES	YES	YES	NO
