product_handle	owner_sigil	chain_depth	cumulative_chain	feature_set	feature_counts	explicit_close	availability_reason	internal_workshop_name_de
A.G2	A	2	A.G1 -> A.G2	CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	CONTINUE:3,EXTRACT:4,MEASURE:1,PREPARE:2,SET:2,WATER:1,WORK:4	NO	END_OF_H1_RECORD	weitergeführter wässriger Grundansatz A
A.Z3	A	5	A.G1 -> A.G2 -> A.Z1 -> A.Z2 -> A.Z3	ADD,CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	ADD:2,CONTINUE:8,EXTRACT:7,MEASURE:6,PREPARE:13,SET:2,WATER:1,WORK:7	NO	END_OF_H2_RECORD	ergänzter Zweigansatz der Bildpflanze A
B.X1	B	1	B.X1	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	CLOSE:1,CONTINUE:1,EXTRACT:1,HOLD:4,MEASURE:1,PASSAGE:1,TARGET:1,WORK:3	YES	EXPLICIT_CLOSE	erster geschlossener Durchgangsauszug der Bildpflanze B
B.X2	B	2	B.X1 -> B.X2	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	CLOSE:1,CONTINUE:1,EXTRACT:1,HOLD:5,MEASURE:1,PASSAGE:1,TARGET:1,WORK:4	NO	NEXT_STATEMENT_STARTS_DAVON	nachbearbeiteter und aufgenommener Auszug B.X1
B.X4	B	4	B.X1 -> B.X2 -> B.X3 -> B.X4	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	ADD:1,CLOSE:1,CONTINUE:2,EXTRACT:1,HOLD:5,MEASURE:2,PASSAGE:1,PREPARE:1,SET:1,TARGET:1,WORK:4	NO	END_OF_H3_RECORD	offene Fortsetzung der Auszugsportion B.X3
C.M1	C	1	C.M1	ADD,CLOSE,MEASURE,SET,WORK	ADD:2,CLOSE:1,MEASURE:3,SET:1,WORK:1	YES	EXPLICIT_CLOSE	erster gemessener Ansatz der Bildpflanze C
C.W1	C	3	C.M1 -> C.M2 -> C.W1	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,SET,WORK	ADD:3,CLOSE:2,CONTINUE:1,EXTRACT:1,HEAT:1,MEASURE:5,SET:1,WORK:3	YES	EXPLICIT_CLOSE	erwärmter zweiter Ansatz der Bildpflanze C
C.W2	C	4	C.M1 -> C.M2 -> C.W1 -> C.W2	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,PREPARE,SET,TARGET,WORK	ADD:3,CLOSE:2,CONTINUE:2,EXTRACT:1,HEAT:1,MEASURE:7,PREPARE:2,SET:2,TARGET:1,WORK:4	NO	END_OF_H4_RECORD	warme Zielportion aus C.W1
D.P1	D	2	D.I1 -> D.P1	ADD,CLOSE,CONTINUE,EXTRACT,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	ADD:1,CLOSE:1,CONTINUE:1,EXTRACT:3,MEASURE:1,PASSAGE:1,PREPARE:2,SET:2,TARGET:2,WORK:1	YES	EXPLICIT_CLOSE	geschlossener Durchlassansatz aus D.I1
D.P3	D	6	D.I1 -> D.P1 -> D.I2 -> D.A1 -> D.P2 -> D.P3	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	ADD:5,CLOSE:1,CONTINUE:2,EXTRACT:4,HOLD:1,MEASURE:3,PASSAGE:1,PREPARE:2,SET:6,TARGET:3,WORK:3	NO	END_OF_H5_RECORD	gemessene offene Durchlassfortsetzung D.P2
