statement_order	statement_id	record_unit_id	page	visible_surface_sequence	shared_master_forms	revised_shared_kernel_de	old_current_reading_de	revised_continuous_reading_de	revision_actions	revision_status
1	H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	char chety choky aiin	davon einen Teil abtrennen diesen Posten einsetzen Sollmaß	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
2	H1-S002	H1	f10r	qokchy qotchol chol cthy	cheol checthy	weiter diesen Posten bereitstellen	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
3	H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	checthy chor chey chey aiin chey	diesen Posten bereitstellen Arbeitsansatz dieser Posten dieser Posten Sollmaß dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
4	H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	chor cheol cholor cheol aiin char	Arbeitsansatz weiter damit weiter weiter Sollmaß davon	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
5	H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	chor chor chey chey	Arbeitsansatz Arbeitsansatz dieser Posten dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
6	H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	cheey	Klarlauf	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
7	H3-S002	H3	f11r	shoyty	NONE	NONE	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	NONE	NO_SHARED_CARD__UNCHANGED
8	H3-S003	H3	f11r	dchol chy kchy dy daiin	chey chey aiin	dieser Posten dieser Posten Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
9	H3-S004	H3	f11r	qotchy okchol cthy dy	checthy chey	diesen Posten bereitstellen dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
10	H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	okaiin aiin	auf Sollmaß stellen Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, stelle den Posten auf Sollmaß und setze ihn in Auszugsflüssigkeit im Gefäß an.	bemiss den Posten->stelle den Posten auf Sollmaß	FLUENT_TEXT_REVISED
11	H4-S002	H4	f55v	daiin chedy talam	aiin chdy	Sollmaß diesen Posten übertragen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
