event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	semantic_atoms	revised_short_reading_de	reading_layer
1	H1-S001	H1	f10r	dchey	MC071	DCHE+Y	Wurzel+Posten	UNCHANGED_SECTION_OR_SPECIALIST_CARD
2	H1-S001	H1	f10r	cthoor	MC158	CTH+OR	bereit+Ansatz	UNCHANGED_SECTION_OR_SPECIALIST_CARD
3	H1-S001	H1	f10r	char	MC055	AR	davon	REVISED_SHARED_17
4	H1-S001	H1	f10r	chty	MC086	PARTITION+TY	einen Teil abtrennen	REVISED_SHARED_17
5	H1-S001	H1	f10r	os	MC159	OS	Gefäß	UNCHANGED_SECTION_OR_SPECIALIST_CARD
6	H1-S001	H1	f10r	chair	MC014	AIR	Lauf	UNCHANGED_SECTION_OR_SPECIALIST_CARD
7	H1-S001	H1	f10r	otytchol	MC069	OT+TY+OL	danach+Teil+weiter	UNCHANGED_SECTION_OR_SPECIALIST_CARD
8	H1-S001	H1	f10r	oky	MC026	OK+Y	diesen Posten einsetzen	REVISED_SHARED_17
9	H1-S001	H1	f10r	daiin	MC039	AIIN	Sollmaß	REVISED_SHARED_17
10	H1-S001	H1	f10r	etyd	MC108	E+TY	kurz+Teil	UNCHANGED_SECTION_OR_SPECIALIST_CARD
11	H1-S002	H1	f10r	qokchy	MC103	OK+Y	ansetzen+Posten	UNCHANGED_SECTION_OR_SPECIALIST_CARD
12	H1-S002	H1	f10r	qotchol	MC163	OT+OL	danach+weiter	UNCHANGED_SECTION_OR_SPECIALIST_CARD
13	H1-S002	H1	f10r	chol	MC153	OL	weiter	REVISED_SHARED_17
14	H1-S002	H1	f10r	cthy	MC161	CTH+Y	diesen Posten bereitstellen	REVISED_SHARED_17
15	H2-S001	H2	f10r	ycheor	MC075	Y+CHEO+OR	Posten+Auszug+Ansatz	UNCHANGED_SECTION_OR_SPECIALIST_CARD
16	H2-S001	H2	f10r	cthy	MC161	CTH+Y	diesen Posten bereitstellen	REVISED_SHARED_17
17	H2-S001	H2	f10r	chor	MC080	OR	Arbeitsansatz	REVISED_SHARED_17
18	H2-S001	H2	f10r	cthaiin	MC169	CTH+AIIN	bereit+Sollmaß	UNCHANGED_SECTION_OR_SPECIALIST_CARD
19	H2-S001	H2	f10r	qoctholy	MC115	CTH+OL+Y	bereit+weiter+Posten	UNCHANGED_SECTION_OR_SPECIALIST_CARD
20	H2-S001	H2	f10r	dy	MC123	Y	dieser Posten	REVISED_SHARED_17
21	H2-S001	H2	f10r	chy	MC123	Y	dieser Posten	REVISED_SHARED_17
22	H2-S001	H2	f10r	taiin	MC039	AIIN	Sollmaß	REVISED_SHARED_17
23	H2-S001	H2	f10r	shy	MC123	Y	dieser Posten	REVISED_SHARED_17
24	H2-S002	H2	f10r	qotchor	MC013	OT+OR	danach+Ansatz	UNCHANGED_SECTION_OR_SPECIALIST_CARD
25	H2-S002	H2	f10r	chor	MC080	OR	Arbeitsansatz	REVISED_SHARED_17
26	H2-S002	H2	f10r	otol	MC053	OT+OL	danach+weiter	UNCHANGED_SECTION_OR_SPECIALIST_CARD
27	H2-S002	H2	f10r	chol	MC153	OL	weiter	REVISED_SHARED_17
28	H2-S002	H2	f10r	cholor	MC157	OL+OR	damit weiter	REVISED_SHARED_17
29	H2-S002	H2	f10r	chol	MC153	OL	weiter	REVISED_SHARED_17
30	H2-S002	H2	f10r	daiin	MC039	AIIN	Sollmaß	REVISED_SHARED_17
31	H2-S002	H2	f10r	dar	MC055	AR	davon	REVISED_SHARED_17
32	H2-S003	H2	f10r	oykchor	MC027	Y+KCH+OR	Posten+bearbeiten+Ansatz	UNCHANGED_SECTION_OR_SPECIALIST_CARD
33	H2-S003	H2	f10r	shor	MC080	OR	Arbeitsansatz	REVISED_SHARED_17
