forecast	original_instruction_de	original_recipe	old_surface_skeleton	component_family_card_count	component_family_visible_forms	old_predicted_surface_exact_hits	anchor_events	anchor_surfaces	anchor_recipes	astro_reuse_of_anchor_surface	workshop_decision	revised_writer_output	revised_reading_de	confidence	workshop_reason
1	Sollmaß einsetzen und festsetzen	OK+AIIN+DY	qok-aiin-dy	0	NONE	0	E243,E245	qokaiin · qokeedy	OK+AIIN | OK+E_GRADE+DY	NONE	REWRITE_AS_TWO_CARD_WORKSTEP	qokaiin · qokedy	Sollmaß einsetzen; anschließend den kurzen Arbeitsgang festsetzen	MEDIUM	OK+AIIN exists nine times, but DY closes an operation rather than a bare value. B3-S007 already places qokaiin before a terminal work card.
2	eine Portion einsetzen und festsetzen	OK+AIN+DY	qok-ain-dy	0	NONE	0	E200,E201	okain · qokeedy	OK+AIN | OK+E_GRADE+DY	okain	ALREADY_REALIZED_AS_TWO_CARDS	okain · qokeedy	eine Portion einsetzen und den längeren Arbeitsgang festsetzen	HIGH	B2-S011 already contains the exact two-card workshop solution; fusion would remove a useful operation boundary.
3	zum nächsten Portionsposten wechseln	OT+AIN	ot-ain	0	NONE	0	E312,E358	otaiin · qolkain	OT+AIIN | OL+AIN	NONE	KEEP_AS_NEW_COMPOUND	otain	zum nächsten Portionsposten wechseln	MEDIUM	OT+AIIN and OL+AIN are visible neighbors in the paradigm, but OT+AIN is still the missing square.
4	mit dem vorgeschriebenen Maß weiter	OL+AIIN	ol-aiin	0	NONE	0	E376,E377,E029,E030	ol · daiin · chol · daiin	OL | AIIN | OL | AIIN	chol|daiin|ol	ALREADY_REALIZED_AS_TWO_CARDS	ol · daiin	mit dem vorgeschriebenen Maß weiter	HIGH	The exact meaning is written as adjacent continuation and measure cards in B6-S001; H2-S002 gives the same construction with a renderer variant.
5	das Sollmaß aus der Quelle nehmen	AR+AIIN	ar-aiin	0	NONE	0	E030,E031	daiin · dar	AIIN | AR	daiin|dar	ALREADY_REALIZED_AS_TWO_CARDS	daiin · dar	das Sollmaß aus der Quelle nehmen	HIGH	H2-S002 writes measure then source as two adjacent cards. The source marker behaves as an address, not as a mandatory fused suffix.
6	das Sollmaß aus der Quelle überführen	AR+AIIN+CHED_TRANSFER	ar-aiin-ched	0	NONE	0	E285,E286	cheedar · chldaiin	AR+CHED_TRANSFER | AIIN	NONE	ALREADY_REALIZED_AS_TWO_CARDS	cheedar · chldaiin	aus der Quelle überführen und am vorgeschriebenen Wert weiterführen	HIGH	B3-S026 already juxtaposes AR+TRANSFER and AIIN in one statement. The observed order is transfer-source then value continuation.
7	eine Portion in den Empfänger überführen	P+AIN+CHED_TRANSFER	p-ain-ched	0	NONE	0	E221,E303	pchedy · chedain	P+CHED_TRANSFER | AIN+CHED_TRANSFER	NONE	KEEP_AS_NEW_COMPOUND	pchedain	eine Portion in den Empfänger überführen	HIGH	pchedy supplies P+TRANSFER and chedain supplies AIN+TRANSFER. Their shared CHED body predicts the missing overlay pchedain.
8	Sollmenge sammeln und festsetzen	AIIN+SOLK+DY	solk-aiin-dy	0	NONE	0	E178,E335	solkaiin · qokedy	AIIN+SOLK | OK+E_GRADE+DY	NONE	REWRITE_AS_TWO_CARD_WORKSTEP	solkaiin · qokedy	Sollmenge an der Sammelstelle halten; Arbeitsgang festsetzen	MEDIUM	solkaiin already names the prescribed collection, while closure remains an operation card. A fused solkaiindy is therefore less workshop-like.
9	einen Waschgang länger halten und schließen	LSH+E_GRADE+DY	lsh-ee-dy	0	NONE	0	E143,E261	lshedy · sheedy	DY+LSH | E_GRADE+DY+SHED	NONE	KEEP_AS_NEW_GRADE_MEMBER	lsheedy	einen Waschgang länger halten und festsetzen	MEDIUM	lshedy gives ungraded wash-close and the E/EE series supplies duration. The extra E is the economical long member.
10	vollständig absetzen und schließen	E_GRADE+DY+SHED	shed-eee-dy	2	cheedy|sheedy	0	E255,E261	shedy · sheedy	E_GRADE+DY+SHED | E_GRADE+DY+SHED	NONE	KEEP_AS_NEW_GRADE_MEMBER	sheeedy	vollständig absetzen und festsetzen	HIGH	shedy/cheedy and sheedy already occupy short and long grades. A third E predicts the full-grade member directly.
11	lange zur Zielpassage führen	AL+E_GRADE+CKH	al-ee-ckh	1	sheckhal	0	E115,E187	sheckhal · sheckhy	AL+E_GRADE+CKH | E_GRADE+Y+CKH	NONE	KEEP_AS_NEW_GRADE_MEMBER	sheeckhal	lange zur Zielpassage führen	HIGH	sheckhal is the attested short target-passage. The normal EE extension predicts sheeckhal for the long grade.
12	den Folgeposten aus der Quelle überführen und schließen	OT+AR+DY+CHED_TRANSFER	ot-ar-ched-dy	0	NONE	0	E149,E363	otar · qokchdy	OT+AR | OK+DY+CHED_TRANSFER	otar	REWRITE_AS_TWO_CARD_WORKSTEP	otar · qokchdy	zum folgenden Quellposten wechseln; überführen und festsetzen	MEDIUM	otar and OT+TRANSFER+CLOSE are each established, but the four-way fusion has no model for ordering AR against terminal DY. Two cards preserve both scopes.
