forecast	match_rank	match_scope	locus_or_statement	visible_sequence	observed_recipe_sequence	covered_forecast_components	coverage_fraction	interpretation
1	1	PROSE_SINGLE_CARD	MC120	okaiin	OK+AIIN	AIIN+OK	2/3	paradigm neighbor; not automatically the forecast
1	2	PROSE_SINGLE_CARD	MC082	qokeedy	OK+E_GRADE+DY	DY+OK	2/3	paradigm neighbor; not automatically the forecast
1	3	PROSE_SINGLE_CARD	MC083	qokedy	OK+E_GRADE+DY	DY+OK	2/3	paradigm neighbor; not automatically the forecast
1	1	PROSE_ADJACENT_WINDOW	B2-S008	sotaiin · qokar · shedy	OT+AIIN | OK+AR | E_GRADE+DY+SHED	AIIN+DY+OK	3/3	all components occur locally; scope and order still require workshop reading
1	2	PROSE_ADJACENT_WINDOW	B2-S012	daiin · chey · qokeeedy	AIIN | Y | OK+E_GRADE+DY	AIIN+DY+OK	3/3	all components occur locally; scope and order still require workshop reading
1	3	PROSE_ADJACENT_WINDOW	B3-S007	qokaiin · chedy · qokeedy	OK+AIIN | Y+CHED_TRANSFER | OK+E_GRADE+DY	AIIN+DY+OK	3/3	all components occur locally; scope and order still require workshop reading
2	1	PROSE_SINGLE_CARD	MC017	okain	OK+AIN	AIN+OK	2/3	paradigm neighbor; not automatically the forecast
2	2	PROSE_SINGLE_CARD	MC082	qokeedy	OK+E_GRADE+DY	DY+OK	2/3	paradigm neighbor; not automatically the forecast
2	3	PROSE_SINGLE_CARD	MC083	qokedy	OK+E_GRADE+DY	DY+OK	2/3	paradigm neighbor; not automatically the forecast
2	1	PROSE_ADJACENT_WINDOW	B2-S011	okain · qokeedy	OK+AIN | OK+E_GRADE+DY	AIN+DY+OK	3/3	all components occur locally; scope and order still require workshop reading
2	2	PROSE_ADJACENT_WINDOW	B2-S003	qokain · dy · qokeedy	OK+AIN | Y | OK+E_GRADE+DY	AIN+DY+OK	3/3	all components occur locally; scope and order still require workshop reading
2	3	PROSE_ADJACENT_WINDOW	B2-S011	char · okain · qokeedy	AR | OK+AIN | OK+E_GRADE+DY	AIN+DY+OK	3/3	all components occur locally; scope and order still require workshop reading
3	1	PROSE_SINGLE_CARD	MC105	chkain	AIN	AIN	1/2	paradigm neighbor; not automatically the forecast
3	2	PROSE_SINGLE_CARD	MC047	ykain	AIN	AIN	1/2	paradigm neighbor; not automatically the forecast
3	3	PROSE_SINGLE_CARD	MC072	orain	AIN	AIN	1/2	paradigm neighbor; not automatically the forecast
3	1	PROSE_ADJACENT_WINDOW	B3-S032	chedain · chedy · qotedaiin	AIN+CHED_TRANSFER | Y+CHED_TRANSFER | OT+AIIN+E_GRADE	AIN+OT	2/2	all components occur locally; scope and order still require workshop reading
3	2	PROSE_ADJACENT_WINDOW	B3-S032	chedain · chedy · qotedaiin · otaiin	AIN+CHED_TRANSFER | Y+CHED_TRANSFER | OT+AIIN+E_GRADE | OT+AIIN	AIN+OT	2/2	all components occur locally; scope and order still require workshop reading
4	1	PROSE_SINGLE_CARD	MC039	aiin	AIIN	AIIN	1/2	paradigm neighbor; not automatically the forecast
4	2	PROSE_SINGLE_CARD	MC153	cheol	OL	OL	1/2	paradigm neighbor; not automatically the forecast
4	3	PROSE_SINGLE_CARD	MC016	rol	OL	OL	1/2	paradigm neighbor; not automatically the forecast
4	1	PROSE_ADJACENT_WINDOW	B2-S005	qokaiin · octheol	OK+AIIN | OL+CTH	AIIN+OL	2/2	all components occur locally; scope and order still require workshop reading
4	2	PROSE_ADJACENT_WINDOW	B5-S003	aiin · sol	AIIN | OL	AIIN+OL	2/2	all components occur locally; scope and order still require workshop reading
4	3	PROSE_ADJACENT_WINDOW	B6-S001	ol · daiin	OL | AIIN	AIIN+OL	2/2	all components occur locally; scope and order still require workshop reading
