tab_no	first_component	spoken_value_de	historical_layer	recipe_rows	exact_cards	surface_exemplars	address_start	address_end
T01	AIIN	MASS	MEASURE_STAGE_SIGN	1	1	5	A001	A001
T02	AIN	PORTION	MEASURE_STAGE_SIGN	1	1	1	A002	A002
T03	AIR	LAUF	STATE_OBJECT_SIGN	1	1	1	A003	A003
T04	AL	ZIEL	RELATION_ADDRESS_SIGN	4	4	9	A004	A007
T05	AR	QUELLE	RELATION_ADDRESS_SIGN	2	2	4	A008	A009
T06	CFH	AUSWRINGEN	OPERATION_SIGN	1	1	1	A010	A010
T07	CH	ABNEHMEN	OPERATION_SIGN	7	7	7	A011	A017
T08	CHD	UMSETZEN	OPERATION_SIGN	5	7	10	A018	A022
T09	CHK	WAERMEN	OPERATION_SIGN	3	4	4	A023	A025
T10	CKH	DURCHLASS	STATE_OBJECT_SIGN	1	1	2	A026	A026
T11	CTH	BEREIT	STATE_OBJECT_SIGN	4	4	7	A027	A030
T12	DA	ZWEIT	MEASURE_STAGE_SIGN	1	1	1	A031	A031
T13	E	KURZ	BOUND_GRADE	3	3	3	A032	A034
T14	EE	LANG	BOUND_GRADE	1	1	1	A035	A035
T15	EEE	VOLL	BOUND_GRADE	1	1	1	A036	A036
T16	HO	ZUTAT	STATE_OBJECT_SIGN	4	4	5	A037	A040
T17	K	ZUDOSIEREN	OPERATION_SIGN	10	10	11	A041	A050
T18	L	WEITERLEITEN	OPERATION_SIGN	18	18	18	A051	A068
T19	LSH	WASCHEN	OPERATION_SIGN	2	2	2	A069	A070
T20	O	GANG	STATE_OBJECT_SIGN	6	6	7	A071	A076
T21	OK	ANSETZEN	OPERATION_SIGN	20	23	33	A077	A096
T22	OL	FORTSETZEN	RELATION_ADDRESS_SIGN	9	10	18	A097	A105
T23	OR	ANSATZ	STATE_OBJECT_SIGN	2	2	5	A106	A107
T24	OS	FACH	WHOLE_NOMENCLATOR	1	1	1	A108	A108
T25	OT	DANACH	RELATION_ADDRESS_SIGN	14	16	20	A109	A122
T26	P	EINFUELLEN	OPERATION_SIGN	3	3	3	A123	A125
T27	R	KUEHLEN	OPERATION_SIGN	5	5	5	A126	A130
T28	RESUME_CARD	WIEDERAUFNEHMEN	WHOLE_NOMENCLATOR	1	1	2	A131	A131
T29	SH	HALTEN	OPERATION_SIGN	15	16	17	A132	A146
T30	SHED	ABSETZEN	OPERATION_SIGN	2	2	4	A147	A148
T31	SOLK	AUFFANGEN	OPERATION_SIGN	5	5	6	A149	A153
T32	T	EINTRAGEN	OPERATION_SIGN	4	4	5	A154	A157
T33	TALAM	VERWAHREN	WHOLE_NOMENCLATOR	1	1	1	A158	A158
T34	Y	DIES	DEICTIC_REFERENCE	5	5	10	A159	A163
