recipe_address	component_recipe	variant_no	card_no	surfaces	pages	records	events	selection_rule
A021	CHD+DY	1	PROC076	dchedy|schedy|tchedy	f81v|f82r|f83r	B1|B2|B3	4	match page record and local entry exemplar; never choose by invented meaning
A021	CHD+DY	2	PROC094	dchdy	f81v	B1	1	match page record and local entry exemplar; never choose by invented meaning
A022	CHD+Y	1	PROC042	chdy|chedy	f55v|f81v|f83r	B1|B3|B4|B5|H4	11	match page record and local entry exemplar; never choose by invented meaning
A022	CHD+Y	2	PROC133	chedchy	f83r	B3	1	match page record and local entry exemplar; never choose by invented meaning
A025	CHK+EE+Y	1	PROC046	cheeky	f55v|f83r	B4|H4	2	match page record and local entry exemplar; never choose by invented meaning
A025	CHK+EE+Y	2	PROC107	chkeey	f82r	B2	1	match page record and local entry exemplar; never choose by invented meaning
A082	OK+OL	1	PROC037	okchol	f11r	H3	1	match page record and local entry exemplar; never choose by invented meaning
A082	OK+OL	2	PROC160	qokol	f83r	B4	1	match page record and local entry exemplar; never choose by invented meaning
A083	OK+Y	1	PROC008	choky|oky|qoky	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	10	match page record and local entry exemplar; never choose by invented meaning
A083	OK+Y	2	PROC011	chokchy|okchy|qokchy	f10r|f56r	H1|H5	3	match page record and local entry exemplar; never choose by invented meaning
A085	OK+CHD+DY	1	PROC082	qokchdy	f81v|f83r	B1|B3|B5	3	match page record and local entry exemplar; never choose by invented meaning
A085	OK+CHD+DY	2	PROC091	okchedy|qokchedy	f81v|f83r	B1|B3	2	match page record and local entry exemplar; never choose by invented meaning
A097	OL	1	PROC013	cheol|chol|ol|qol|sol|tol	f10r|f81v|f83r	B1|B3|B4|B5|B6|H1|H2	19	match page record and local entry exemplar; never choose by invented meaning
A097	OL	2	PROC115	ls	f82r	B2	1	match page record and local entry exemplar; never choose by invented meaning
A113	OT+Y	1	PROC036	qotchy	f11r	H3	1	match page record and local entry exemplar; never choose by invented meaning
A113	OT+Y	2	PROC065	otchey	f56r|f83r	B4|H5	2	match page record and local entry exemplar; never choose by invented meaning
A116	OT+CHD+DY	1	PROC145	otchedy|qotchedy	f83r	B3	2	match page record and local entry exemplar; never choose by invented meaning
A116	OT+CHD+DY	2	PROC166	otchdy	f83r	B5	1	match page record and local entry exemplar; never choose by invented meaning
A137	SH+EE+Y	1	PROC031	cheey|shey	f11r|f82r|f83r	B2|B4|H3	4	match page record and local entry exemplar; never choose by invented meaning
A137	SH+EE+Y	2	PROC157	sheey	f83r	B4	1	match page record and local entry exemplar; never choose by invented meaning
