recipe_address	first_tab	recipe_length	component_recipe	compact_reading_de	historical_layers	exact_card_variants	card_nos	surfaces_to_copy	surface_exemplars	page_record_selector	lookup_result	total_events
A001	AIIN	1	AIIN	MASS	MEASURE_STAGE_SIGN	1	PROC009	aiin|chaiin|daiin|saiin|taiin	5	f10r|f11r|f55v|f56r|f81v|f82r|f83r::B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	DIRECT_CARD	20
A002	AIN	1	AIN	PORTION	MEASURE_STAGE_SIGN	1	PROC156	dain	1	f83r::B4|B6	DIRECT_CARD	2
A003	AIR	3	AIR+Y+DY	LAUF · DIES · SCHLUSS	STATE_OBJECT_SIGN+DEICTIC_REFERENCE+BOUND_ENDPOINT	1	PROC162	dairydy	1	f83r::B4	DIRECT_CARD	1
A004	AL	1	AL	ZIEL	RELATION_ADDRESS_SIGN	1	PROC055	al|chal|cheal|dal|sal|tal	6	f56r|f81v|f82r|f83r::B1|B2|B3|B4|B5|H5	DIRECT_CARD	10
A005	AL	2	AL+DY	ZIEL · SCHLUSS	RELATION_ADDRESS_SIGN+BOUND_ENDPOINT	1	PROC127	daldy	1	f82r::B2	DIRECT_CARD	1
A006	AL	3	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	RELATION_ADDRESS_SIGN+OPERATION_SIGN+BOUND_ENDPOINT	1	PROC144	dalchdy	1	f83r::B3	DIRECT_CARD	1
A007	AL	3	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	RELATION_ADDRESS_SIGN+OPERATION_SIGN+STATE_OBJECT_SIGN	1	PROC148	chealror	1	f83r::B3	DIRECT_CARD	1
A008	AR	1	AR	QUELLE	RELATION_ADDRESS_SIGN	1	PROC003	char|dar|sar	3	f10r|f81v|f82r|f83r::B1|B2|B3|H1|H2	DIRECT_CARD	5
A009	AR	2	AR+Y	QUELLE · DIES	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	1	PROC137	chary	1	f83r::B3	DIRECT_CARD	1
A010	CFH	2	CFH+Y	AUSWRINGEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC028	cfhy	1	f11r::H3	DIRECT_CARD	1
A011	CH	2	CH+AIR	ABNEHMEN · LAUF	OPERATION_SIGN+STATE_OBJECT_SIGN	1	PROC006	chair	1	f10r::H1	DIRECT_CARD	1
A012	CH	3	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	OPERATION_SIGN+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	1	PROC163	chckhal	1	f83r::B4	DIRECT_CARD	1
A013	CH	3	CH+E+S	ABNEHMEN · KURZ · TEILEN	OPERATION_SIGN+BOUND_GRADE	1	PROC124	ches	1	f82r::B2	DIRECT_CARD	1
A014	CH	3	CH+E+Y	ABNEHMEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC001	dchey	1	f10r::H1	DIRECT_CARD	1
A015	CH	3	CH+O+AIIN	ABNEHMEN · GANG · MASS	OPERATION_SIGN+STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	1	PROC025	chodaiin	1	f10r::H2	DIRECT_CARD	1
A016	CH	4	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	1	PROC045	cheoar	1	f55v::H4	DIRECT_CARD	1
A017	CH	5	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+BOUND_ENDPOINT	1	PROC057	cheeckhody	1	f56r::H5	DIRECT_CARD	1
A018	CHD	2	CHD+AIN	UMSETZEN · PORTION	OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC151	chedain	1	f83r::B3	DIRECT_CARD	1
A019	CHD	2	CHD+AIR	UMSETZEN · LAUF	OPERATION_SIGN+STATE_OBJECT_SIGN	1	PROC150	schedair	1	f83r::B3	DIRECT_CARD	1
A020	CHD	2	CHD+AL	UMSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC168	chdal	1	f83r::B5	DIRECT_CARD	1
A021	CHD	2	CHD+DY	UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	2	PROC076|PROC094	dchedy|schedy|tchedy; dchdy	4	f81v|f82r|f83r::B1|B2|B3; f81v::B1	CHOOSE_LOCAL_CARD_VARIANT	5
A022	CHD	2	CHD+Y	UMSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	2	PROC042|PROC133	chdy|chedy; chedchy	3	f55v|f81v|f83r::B1|B3|B4|B5|H4; f83r::B3	CHOOSE_LOCAL_CARD_VARIANT	12
A023	CHK	3	CHK+E+Y	WAERMEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC083	cheky	1	f81v|f83r::B1|B4	DIRECT_CARD	3
A024	CHK	3	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC132	chkeedy	1	f83r::B3	DIRECT_CARD	1
A025	CHK	3	CHK+EE+Y	WAERMEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	2	PROC046|PROC107	cheeky; chkeey	2	f55v|f83r::B4|H4; f82r::B2	CHOOSE_LOCAL_CARD_VARIANT	3
A026	CKH	2	CKH+Y	DURCHLASS · DIES	STATE_OBJECT_SIGN+DEICTIC_REFERENCE	1	PROC075	chckhy|shckhy	2	f81v|f82r::B1|B2	DIRECT_CARD	4
A027	CTH	2	CTH+AIIN	BEREIT · MASS	STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	1	PROC017	cthaiin	1	f10r::H2	DIRECT_CARD	1
A028	CTH	2	CTH+Y	BEREIT · DIES	STATE_OBJECT_SIGN+DEICTIC_REFERENCE	1	PROC014	checthy|cthy|shcthy	3	f10r|f11r|f83r::B3|H1|H2|H3	DIRECT_CARD	7
A029	CTH	3	CTH+E+Y	BEREIT · KURZ · DIES	STATE_OBJECT_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC117	qcthey|shcthey	2	f82r|f83r::B2|B3	DIRECT_CARD	2
A030	CTH	3	CTH+O+OR	BEREIT · GANG · ANSATZ	STATE_OBJECT_SIGN	1	PROC002	cthoor	1	f10r::H1	DIRECT_CARD	1
A031	DA	2	DA+IIN	ZWEIT · STUFE	MEASURE_STAGE_SIGN	1	PROC169	daiiin	1	f83r::B5	DIRECT_CARD	1
A032	E	2	E+OL	KURZ · FORTSETZEN	BOUND_GRADE+RELATION_ADDRESS_SIGN	1	PROC093	teol	1	f81v::B1	DIRECT_CARD	1
A033	E	3	E+T+Y	KURZ · EINTRAGEN · DIES	BOUND_GRADE+OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC010	etyd	1	f10r::H1	DIRECT_CARD	1
