deck_order	component_id	component_tier	short_value_de	learning_rule	support_card_ids	support_event_count	licensing_scope	revision_268	ten_page_support_count	ten_page_support_scope	revision_274
1	OK	SHARED_PRODUCTIVE	EINSETZEN	den folgenden Posten in den laufenden Arbeitsgang setzen	MC026	78	shared across the selected prose registers	UNCHANGED	78	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
2	OL	SHARED_PRODUCTIVE	WEITER_GLEICHER_LAUF	im selben Arbeitsgang, Ring oder Satz fortfahren	MC153	48	shared across the selected prose registers	UNCHANGED	65	CONTINUATION_RELATION	CROSS_REGISTER_CONSOLIDATED
3	OT	SHARED_PRODUCTIVE	FOLGEPOSTEN	zum folgenden Arbeits- oder Diagrammposten wechseln	MC060	26	shared across the selected prose registers	UNCHANGED	58	PROSE_AFTER_OR_NEXT__ASTRO_NEXT_PLACE	CROSS_REGISTER_CONSOLIDATED
4	AR	SHARED_PRODUCTIVE	VON_QUELLE	die bezeichnete Quelladresse lesen	MC055	14	shared across the selected prose registers	UNCHANGED	60	TERMINAL_SOURCE_ADDRESS	CROSS_REGISTER_CONSOLIDATED
5	AL	SHARED_PRODUCTIVE	ZU_ZIEL	die bezeichnete Zieladresse lesen	MC154	38	shared across the selected prose registers	UNCHANGED	60	TERMINAL_TARGET_ADDRESS	CROSS_REGISTER_CONSOLIDATED
6	L	SHARED_PRODUCTIVE	AB	aus dem aktiven Posten heraus- oder abführen	MC155	23	shared across the selected prose registers	UNCHANGED	23	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
7	P	SHARED_PRODUCTIVE	ZU	in einen lokalen Empfänger zuführen	MC070	2	shared across the selected prose registers	UNCHANGED	2	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
8	AIN	SHARED_PRODUCTIVE	PORTION	eine abgegrenzte Teilmenge	MC017	15	shared across the selected prose registers	UNCHANGED	15	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
9	AN	SHARED_PRODUCTIVE	ZWEITE_PORTION	eine zweite oder alternative Teilmenge	MC148	1	shared across the selected prose registers	UNCHANGED	1	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
10	AIIN	SHARED_PRODUCTIVE	SOLLWERT	den im Exemplar vorgeschriebenen Wert oder Grad	MC039	39	shared across the selected prose registers	UNCHANGED	39	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
