exact_tuple_id	surface_realizations	selected_English_source_function	Latin_formulary_analogue	German_source_paraphrase	formula_family	phonetic_or_language_identification	working_interpretation
1b1ffdd869fb1429ad03	oldy	boil gently; close the rubric	bulliat leniter; hic finiatur	sanft sieden lassen; diesen Schritt beenden	PROCESS_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
276a7c2d74d1143446f4	choky|oky|qoky	apply or use this portion	applica sive utere hac portione	diese Portion auflegen oder verwenden	APPLICATION_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
2c1a5fd92b9e3c762242	cheeky	while still warm	dum adhuc tepidum est	solange es noch lauwarm ist	TEMPERATURE_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	in the stated or usual measure	secundum mensuram consuetam	nach dem üblichen Maß	MEASURE_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
308e8ea2d5d190c498e8	okal|qokal	mix the two portions together	misce duas portiones	zwei Portionen miteinander mischen	COMBINATION_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
4d4559019a961b834aa1	char|dar|sar	from the same prepared batch	de eadem confectione praeparata	aus demselben bereiteten Ansatz	SAME_BATCH_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
6f7ff8287eddf4da9fdb	chdy|chedy	stir until evenly mixed	misce donec aequaliter incorporentur	mischen, bis alles gleichmäßig verbunden ist	MIXING_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
7a4bb8136330ee4e6e56	chor|or|shor|sor	the prepared decoction or working liquid	decoctum sive liquor praeparatus	der bereitete Sud oder die Arbeitsflüssigkeit	PREPARED_LIQUID_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
80ebbbbf238eee9f0aef	chety|chty	work it until evenly homogeneous	operare donec aequaliter incorporatum sit	bearbeiten, bis es gleichmäßig homogen ist	PROCESS_ENDPOINT_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
b5df9126607030b95175	cheey|shey	until the liquid runs clear	donec liquor clarus currat	bis die Flüssigkeit klar abläuft	CLARITY_GATE_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
b5fcea1eaed06b2f2291	okaiin|qokaiin	begin the next measured entry	recipe et incipe sequentem introitum mensuratum	nimm und beginne den nächsten abgemessenen Eintrag	ENTRY_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
b921a237be883a820352	chey|chy|dy|shy|sy|y	this present portion	haec portio praesens	diese gegenwärtige Portion	CURRENT_PORTION_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	with the foregoing preparation	cum praeparatione praedicta	mit der vorgenannten Zubereitung	FOREGOING_PREPARATION_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	apply it at the place indicated by the drawing	applica loco in figura signato	an der in der Abbildung bezeichneten Stelle anwenden	PICTURED_LOCATION_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
dec401773c1f0347793d	cholor|olor	from the foregoing batch	de confectione praedicta	aus dem vorgenannten Ansatz	FOREGOING_BATCH_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
e0b630cb1b5df5e7105b	checthy|cthy|shcthy	when the preparation is ready	cum praeparatum fuerit	wenn die Zubereitung fertig ist	READINESS_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
faf321940aed922846a9	otchey	take the final indicated share	recipe ultimam partem signatam	den letzten bezeichneten Anteil nehmen	FINAL_SHARE_FORMULA	NO	WHOLE_CARD_COMPRESSES_SOURCE_PHRASE
