source_recipe	source_address	source_surfaces	source_events	counterpart_recipe	counterpart_address	counterpart_reading_de	predicted_surfaces	status
AL+CHD+DY	AL	dalchdy	1	AR+CHD+DY	AR	QUELLE · UMSETZEN · SCHLUSS	darchdy	SURFACE_PREDICTABLE
AL+DY	AL	daldy	1	AR+DY	AR	QUELLE · SCHLUSS	dardy	SURFACE_PREDICTABLE
AL+R+OR	AL	chealror	1	AR+R+OR	AR	QUELLE · KUEHLEN · ANSATZ	chearror	SURFACE_PREDICTABLE
AR+Y	AR	chary	1	AL+Y	AL	ZIELSTELLE · DIES	chaly	SURFACE_PREDICTABLE
CH+CKH+AL	AL	chckhal	1	CH+CKH+AR	AR	ENTNEHMEN · DURCHLASS · QUELLE	chckhar	SURFACE_PREDICTABLE
CH+E+O+AR	AR	cheoar	1	CH+E+O+AL	AL	ENTNEHMEN · KURZ · ARBEITSGANG · ZIELSTELLE	cheoal	SURFACE_PREDICTABLE
CHD+AL	AL	chdal	1	CHD+AR	AR	UMSETZEN · QUELLE	chdar	SURFACE_PREDICTABLE
EE+AR	AR	cheedar	1	EE+AL	AL	LANG · ZIELSTELLE	cheedal	SURFACE_PREDICTABLE
HO+AL+Y	AL	chodaly	1	HO+AR+Y	AR	ZUTAT · QUELLE · DIES	chodary	SURFACE_PREDICTABLE
K+HO+AR	AR	kchoar	1	K+HO+AL	AL	ZUGEBEN · ZUTAT · ZIELSTELLE	kchoal	SURFACE_PREDICTABLE
L+AL+OR	AL	ldalor	1	L+AR+OR	AR	LEITEN · QUELLE · ANSATZ	ldaror	SURFACE_PREDICTABLE
L+AR	AR	lar	1	L+AL	AL	LEITEN · ZIELSTELLE	lal	SURFACE_PREDICTABLE
OK+AL+Y	AL	qokaly	1	OK+AR+Y	AR	ANSETZEN · QUELLE · DIES	qokary	SURFACE_PREDICTABLE
OK+EE+AL	AL	qokeedal	1	OK+EE+AR	AR	ANSETZEN · LANG · QUELLE	qokeedar	SURFACE_PREDICTABLE
OL+AL+Y	AL	olsaly	1	OL+AR+Y	AR	WEITER · QUELLE · DIES	olsary	SURFACE_PREDICTABLE
P+CHD+AL	AL	pchedal	1	P+CHD+AR	AR	FUELLEN · UMSETZEN · QUELLE	pchedar	SURFACE_PREDICTABLE
R+AL	AL	ral	1	R+AR	AR	KUEHLEN · QUELLE	rar	SURFACE_PREDICTABLE
R+AL+Y	AL	raly	1	R+AR+Y	AR	KUEHLEN · QUELLE · DIES	rary	SURFACE_PREDICTABLE
R+SH+E+AL	AL	rsheal	1	R+SH+E+AR	AR	KUEHLEN · HALTEN · KURZ · QUELLE	rshear	SURFACE_PREDICTABLE
SH+E+CKH+AL	AL	sheckhal	1	SH+E+CKH+AR	AR	HALTEN · KURZ · DURCHLASS · QUELLE	sheckhar	SURFACE_PREDICTABLE
SH+O+AL	AL	schoal	1	SH+O+AR	AR	HALTEN · ARBEITSGANG · QUELLE	schoar	SURFACE_PREDICTABLE
SHED+AL	AL	shedal	2	SHED+AR	AR	ABSETZEN · QUELLE	shedar	SURFACE_PREDICTABLE
