address_signature	address_token	address_reading_de	component_recipes	surfaces	events	working_readings_de
ADDR	AL	ZIELSTELLE	AL	al,chal,cheal,dal,sal,tal	10	ZIELSTELLE
ADDR	AR	QUELLE	AR	char,dar,sar	5	QUELLE
K+ADDR	AL	ZIELSTELLE	K+AL	kchal	1	ZUGEBEN · ZIELSTELLE
K+ADDR	AR	QUELLE	K+AR	skar	1	ZUGEBEN · QUELLE
L+CHD+ADDR	AL	ZIELSTELLE	L+CHD+AL	lchedal	1	LEITEN · UMSETZEN · ZIELSTELLE
L+CHD+ADDR	AR	QUELLE	L+CHD+AR	lchedar	1	LEITEN · UMSETZEN · QUELLE
OK+ADDR	AL	ZIELSTELLE	OK+AL	okal,qokal	6	ANSETZEN · ZIELSTELLE
OK+ADDR	AR	QUELLE	OK+AR	qokar	1	ANSETZEN · QUELLE
OT+ADDR	AL	ZIELSTELLE	OT+AL	otal,qotal	3	DANACH · ZIELSTELLE
OT+ADDR	AR	QUELLE	OT+AR	otar	1	DANACH · QUELLE
