exact_card_id	address_token	component_recipe	working_reading_de	surfaces	events	pages
PROC003	AR	AR	QUELLE	char,dar,sar	5	f10r,f81v,f82r,f83r
PROC027	AL	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	schoal	1	f11r
PROC045	AR	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	cheoar	1	f55v
PROC048	AL	OK+AL	ANSETZEN · ZIELSTELLE	okal,qokal	6	f55v,f81v,f82r,f83r
PROC053	AL	HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	chodaly	1	f56r
PROC055	AL	AL	ZIELSTELLE	al,chal,cheal,dal,sal,tal	10	f56r,f81v,f82r,f83r
PROC062	AL	K+AL	ZUGEBEN · ZIELSTELLE	kchal	1	f56r
PROC063	AR	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	kchoar	1	f56r
PROC073	AL	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	sheckhal	1	f81v
PROC074	AL	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	qokeedal	1	f81v
PROC081	AL	R+AL	KUEHLEN · ZIELSTELLE	ral	1	f81v
PROC088	AL	L+CHD+AL	LEITEN · UMSETZEN · ZIELSTELLE	lchedal	1	f81v
PROC089	AR	OT+AR	DANACH · QUELLE	otar	1	f81v
PROC104	AL	OK+AL+Y	ANSETZEN · ZIELSTELLE · DIES	qokaly	1	f82r
PROC113	AR	OK+AR	ANSETZEN · QUELLE	qokar	1	f82r
PROC121	AR	L+AR	LEITEN · QUELLE	lar	1	f82r
PROC123	AR	L+CHD+AR	LEITEN · UMSETZEN · QUELLE	lchedar	1	f82r
PROC126	AL	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	rsheal	1	f82r
PROC127	AL	AL+DY	ZIELSTELLE · SCHLUSS	daldy	1	f82r
PROC131	AL	OT+AL	DANACH · ZIELSTELLE	otal,qotal	3	f83r
PROC134	AL	P+CHD+AL	FUELLEN · UMSETZEN · ZIELSTELLE	pchedal	1	f83r
PROC137	AR	AR+Y	QUELLE · DIES	chary	1	f83r
PROC142	AL	SHED+AL	ABSETZEN · ZIELSTELLE	shedal	2	f83r
PROC144	AL	AL+CHD+DY	ZIELSTELLE · UMSETZEN · SCHLUSS	dalchdy	1	f83r
PROC146	AR	EE+AR	LANG · QUELLE	cheedar	1	f83r
PROC148	AL	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	chealror	1	f83r
PROC153	AL	OL+AL+Y	WEITER · ZIELSTELLE · DIES	olsaly	1	f83r
PROC163	AL	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	chckhal	1	f83r
PROC165	AR	K+AR	ZUGEBEN · QUELLE	skar	1	f83r
PROC168	AL	CHD+AL	UMSETZEN · ZIELSTELLE	chdal	1	f83r
PROC172	AL	R+AL+Y	KUEHLEN · ZIELSTELLE · DIES	raly	1	f83r
PROC173	AL	L+AL+OR	LEITEN · ZIELSTELLE · ANSATZ	ldalor	1	f83r
