source_recipe	source_surface	counterpart_recipe	predicted_surface	counterpart_reading_de	fixed_page_collision	status
AL+CHD+DY	dalchdy	AR+CHD+DY	darchdy	QUELLE · UMSETZEN · SCHLUSS	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
AL+DY	daldy	AR+DY	dardy	QUELLE · SCHLUSS	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
AL+R+OR	chealror	AR+R+OR	chearror	QUELLE · KUEHLEN · ANSATZ	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
AR+Y	chary	AL+Y	chaly	ZIELSTELLE · DIES	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
CH+CKH+AL	chckhal	CH+CKH+AR	chckhar	ENTNEHMEN · DURCHLASS · QUELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
CH+E+O+AR	cheoar	CH+E+O+AL	cheoal	ENTNEHMEN · KURZ · ARBEITSGANG · ZIELSTELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
CHD+AL	chdal	CHD+AR	chdar	UMSETZEN · QUELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
EE+AR	cheedar	EE+AL	cheedal	LANG · ZIELSTELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
HO+AL+Y	chodaly	HO+AR+Y	chodary	ZUTAT · QUELLE · DIES	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
K+HO+AR	kchoar	K+HO+AL	kchoal	ZUGEBEN · ZUTAT · ZIELSTELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
L+AL+OR	ldalor	L+AR+OR	ldaror	LEITEN · QUELLE · ANSATZ	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
L+AR	lar	L+AL	lal	LEITEN · ZIELSTELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
OK+AL+Y	qokaly	OK+AR+Y	qokary	ANSETZEN · QUELLE · DIES	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
OK+EE+AL	qokeedal	OK+EE+AR	qokeedar	ANSETZEN · LANG · QUELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
OL+AL+Y	olsaly	OL+AR+Y	olsary	WEITER · QUELLE · DIES	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
P+CHD+AL	pchedal	P+CHD+AR	pchedar	FUELLEN · UMSETZEN · QUELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
R+AL	ral	R+AR	rar	KUEHLEN · QUELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
R+AL+Y	raly	R+AR+Y	rary	KUEHLEN · QUELLE · DIES	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
R+SH+E+AL	rsheal	R+SH+E+AR	rshear	KUEHLEN · HALTEN · KURZ · QUELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
SH+E+CKH+AL	sheckhal	SH+E+CKH+AR	sheckhar	HALTEN · KURZ · DURCHLASS · QUELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
SH+O+AL	schoal	SH+O+AR	schoar	HALTEN · ARBEITSGANG · QUELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
SHED+AL	shedal	SHED+AR	shedar	ABSETZEN · QUELLE	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
