copybook_no	cell_id	intended_atom_sequence	intended_instruction_de	compiler_branch	written_sequence	master_catalog_cards_used	readback_de	meaning_relation	voynich_surface_invented
1	B01E01	OK+Y	ansetzen am aktuellen Posten	OBSERVED_FUSED_CARD	oky	NONE	ansetzen am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
2	B01E02	OK+CLOSE	ansetzen und den Schritt schließen	CONTROLLED_PARAPHRASE	qokedy	NONE	ansetzen, kurz ausführen und schließen	CONTROLLED_NEAR_PARAPHRASE	NO
3	B01E03	OK+AIIN	ansetzen mit Sollwert	OBSERVED_FUSED_CARD	okaiin	NONE	ansetzen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
4	B01E04	OK+AIN	ansetzen an einer Portion	OBSERVED_FUSED_CARD	okain	NONE	ansetzen an einer Portion	SAME_COMPOSITIONAL_READING	NO
5	B01E05	OK+IIN	ansetzen bis zur Stufe	OBSERVED_FUSED_CARD	okaiiin	NONE	ansetzen bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
6	B01E06	OK+AL	ansetzen am Ziel	OBSERVED_FUSED_CARD	okal	NONE	ansetzen am Ziel	SAME_COMPOSITIONAL_READING	NO
7	B01E07	OK+AR	ansetzen aus der Quelle	OBSERVED_FUSED_CARD	okar	NONE	ansetzen aus der Quelle	SAME_COMPOSITIONAL_READING	NO
8	B01E08	OK+AIR	ansetzen entlang des Laufs	OBSERVED_FUSED_CARD	okair	NONE	ansetzen entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
9	B01E09	OK+E+Y	ansetzen kurz am aktuellen Posten	OBSERVED_FUSED_CARD	okey	NONE	ansetzen kurz am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
10	B01E10	OK+EE+Y	ansetzen länger am aktuellen Posten	OBSERVED_FUSED_CARD	okeey	NONE	ansetzen länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
11	B01E11	OK+E+CLOSE	ansetzen kurz und dann schließen	OBSERVED_FUSED_CARD	qokedy	NONE	ansetzen kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
