trace_id	lesson_branch	source_instruction_de	lookup_atom_sequence	written_sequence	readback_de	roundtrip_status	master_correction_de
TR-01	OBSERVED_FUSED	ansetzen am aktuellen Posten	OK+Y	oky	ansetzen am aktuellen Posten	SAME_WORKSHOP_READING	keine
TR-02	OBSERVED_FUSED	ansetzen mit Sollwert	OK+AIIN	okaiin	ansetzen mit Sollwert	SAME_WORKSHOP_READING	keine
TR-03	OBSERVED_FUSED	ansetzen an einer Portion	OK+AIN	okain	ansetzen an einer Portion	SAME_WORKSHOP_READING	keine
TR-04	ANALYTIC_OBSERVED	fortsetzen mit Sollwert	OL+AIIN	ol aiin	fortsetzen mit Sollwert	SAME_WORKSHOP_READING	keine
TR-05	ANALYTIC_OBSERVED	fortsetzen bis zur Stufe	OL+IIN	ol oiin	fortsetzen bis zur Stufe	SAME_WORKSHOP_READING	keine
TR-06	ANALYTIC_OBSERVED	fortsetzen am Ziel	OL+AL	ol al	fortsetzen am Ziel	SAME_WORKSHOP_READING	keine
TR-07	ANALYTIC_MASTER	fortsetzen kurz und dann schließen	OL+E+CLOSE	ol [M03]	fortsetzen kurz und dann schließen	SAME_WORKSHOP_READING	keine
TR-08	ANALYTIC_MASTER	fortsetzen länger und dann schließen	OL+EE+CLOSE	ol [M04]	fortsetzen länger und dann schließen	SAME_WORKSHOP_READING	keine
TR-09	ANALYTIC_MASTER	umsetzen kurz und dann schließen	CHD+E+CLOSE	chda [M03]	umsetzen kurz und dann schließen	SAME_WORKSHOP_READING	keine
TR-10	CONTROLLED_PARAPHRASE	ansetzen und den Schritt schließen	OK+CLOSE	qokedy	ansetzen, kurz ausführen und schließen	NEAR_WITH_DECLARED_DRIFT	Zusatznuance nennen
TR-11	CONTROLLED_PARAPHRASE	fortsetzen kurz am aktuellen Posten	OL+E+Y	ol okey	fortsetzen und den aktuellen Posten kurz neu ansetzen	NEAR_WITH_DECLARED_DRIFT	Zusatznuance nennen
TR-12	CONTROLLED_PARAPHRASE	zum folgenden Posten gehen und den Schritt schließen	OT+CLOSE	otchey qokedy	zum folgenden Posten gehen, kurz ansetzen und schließen	NEAR_WITH_DECLARED_DRIFT	Zusatznuance nennen
