current_cell_id	source_matrix_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_component_trace_de	previous_default_phrase_de	current_default_phrase_de	editorial_status	compression_rule	action_slot_count_retained	repeated_action_root_count	repeated_action_roots	source_first_action_clause_de	source_second_action_clause_de	source_phrase_tail_de	compressed_count_marker_de	roundtrip_expanded_phrase_de	exact_source_phrase_roundtrip	evidence_status_retained	composition_priority_tier	composition_global_priority_rank	composition_support_class	state_requirement	observed_event_count	observed_pages	all_component_value_cells_old	working_root_meaning_changed	evidence_status_changed	recipe_changed	surface_prediction_made	occurrence_prediction_made	guard
G500-M231	G498-M231	@ACTION+CH+E+Y	CH	CH+CH+E+Y	SOURCE_SECTION_T	NEHMEN · NEHMEN · GRAD I · POSTEN	ENTNEHMEN · ENTNEHMEN · GRAD I · LAUFENDER EINTRAG	Entnimm den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I.	Entnimm den laufenden Eintrag zweimal; auf Grad I.	REPEATED_ACTION_COMPRESSED	CH_CH_GRADE_POST_TO_ZWEIMAL	2	1	CH	Entnimm den laufenden Eintrag	entnimm den laufenden Eintrag	; auf Grad I.	zweimal	Entnimm den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I.	YES	COMPOSED_WORKING	B_LOCAL_SINGLE_HEAD	253	COMPOSED_SINGLE_HEAD_SAME_REGISTER	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M232	G498-M232	@ACTION+CH+E+Y	CH	CH+CH+E+Y	HERBAL	NEHMEN · NEHMEN · GRAD I · POSTEN	PFLANZENTEIL NEHMEN · PFLANZENTEIL NEHMEN · GRAD I · PFLANZENPOSTEN	Nimm den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	Nimm den Pflanzenposten zweimal; auf Grad I.	REPEATED_ACTION_COMPRESSED	CH_CH_GRADE_POST_TO_ZWEIMAL	2	1	CH	Nimm den Pflanzenposten	nimm den Pflanzenposten	; auf Grad I.	zweimal	Nimm den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	109	COMPOSED_MULTIHEAD_SAME_REGISTER	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M233	G498-M233	@ACTION+CH+E+Y	CH	CH+CH+E+Y	BIOLOGICAL	NEHMEN · NEHMEN · GRAD I · POSTEN	POSTEN ENTNEHMEN · POSTEN ENTNEHMEN · GRAD I · STATIONSPOSTEN	Entnimm den Stationsposten und entnimm den Stationsposten; auf Grad I.	Entnimm den Stationsposten zweimal; auf Grad I.	REPEATED_ACTION_COMPRESSED	CH_CH_GRADE_POST_TO_ZWEIMAL	2	1	CH	Entnimm den Stationsposten	entnimm den Stationsposten	; auf Grad I.	zweimal	Entnimm den Stationsposten und entnimm den Stationsposten; auf Grad I.	YES	COMPOSED_WORKING	B_LOCAL_SINGLE_HEAD	252	COMPOSED_SINGLE_HEAD_SAME_REGISTER	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M234	G498-M234	@ACTION+CH+E+Y	CH	CH+CH+E+Y	CELESTIAL	NEHMEN · NEHMEN · GRAD I · POSTEN	POSITION AUFNEHMEN · POSITION AUFNEHMEN · GRAD I · POSITIONSPOSTEN	Nimm den Positionsposten auf und nimm den Positionsposten auf; auf Grad I.	Nimm den Positionsposten zweimal auf; auf Grad I.	REPEATED_ACTION_COMPRESSED	CH_CH_GRADE_POST_TO_ZWEIMAL	2	1	CH	Nimm den Positionsposten auf	nimm den Positionsposten auf	; auf Grad I.	zweimal	Nimm den Positionsposten auf und nimm den Positionsposten auf; auf Grad I.	YES	COMPOSED_WORKING	D_OLD_VALUES_ONLY	351	COMPOSED_OLD_VALUES_ONLY	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M235	G498-M235	@ACTION+CH+E+Y	CH	CH+CH+E+Y	PHARMA	NEHMEN · NEHMEN · GRAD I · POSTEN	DROGENPOSTEN NEHMEN · DROGENPOSTEN NEHMEN · GRAD I · DROGENPOSTEN	Nimm den Drogenposten und nimm den Drogenposten; auf Grad I.	Nimm den Drogenposten zweimal; auf Grad I.	REPEATED_ACTION_COMPRESSED	CH_CH_GRADE_POST_TO_ZWEIMAL	2	1	CH	Nimm den Drogenposten	nimm den Drogenposten	; auf Grad I.	zweimal	Nimm den Drogenposten und nimm den Drogenposten; auf Grad I.	YES	COMPOSED_WORKING	D_OLD_VALUES_ONLY	352	COMPOSED_OLD_VALUES_ONLY	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M296	G498-M296	@ACTION+CHD+Y	CHD	CHD+CHD+Y	SOURCE_SECTION_T	BEARBEITEN · BEARBEITEN · POSTEN	EINTRAG BEARBEITEN · EINTRAG BEARBEITEN · LAUFENDER EINTRAG	Bearbeite den laufenden Eintrag und bearbeite den laufenden Eintrag.	Bearbeite den laufenden Eintrag zweimal.	REPEATED_ACTION_COMPRESSED	CHD_CHD_POST_TO_ZWEIMAL	2	1	CHD	Bearbeite den laufenden Eintrag	bearbeite den laufenden Eintrag	.	zweimal	Bearbeite den laufenden Eintrag und bearbeite den laufenden Eintrag.	YES	COMPOSED_WORKING	D_OLD_VALUES_ONLY	350	COMPOSED_OLD_VALUES_ONLY	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M297	G498-M297	@ACTION+CHD+Y	CHD	CHD+CHD+Y	HERBAL	BEARBEITEN · BEARBEITEN · POSTEN	MATERIAL BEARBEITEN · MATERIAL BEARBEITEN · PFLANZENPOSTEN	Bearbeite den Pflanzenposten und bearbeite den Pflanzenposten.	Bearbeite den Pflanzenposten zweimal.	REPEATED_ACTION_COMPRESSED	CHD_CHD_POST_TO_ZWEIMAL	2	1	CHD	Bearbeite den Pflanzenposten	bearbeite den Pflanzenposten	.	zweimal	Bearbeite den Pflanzenposten und bearbeite den Pflanzenposten.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	144	COMPOSED_MULTIHEAD_SAME_REGISTER	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M298	G498-M298	@ACTION+CHD+Y	CHD	CHD+CHD+Y	BIOLOGICAL	BEARBEITEN · BEARBEITEN · POSTEN	POSTEN BEARBEITEN · POSTEN BEARBEITEN · STATIONSPOSTEN	Bearbeite den Stationsposten und bearbeite den Stationsposten.	Bearbeite den Stationsposten zweimal.	REPEATED_ACTION_COMPRESSED	CHD_CHD_POST_TO_ZWEIMAL	2	1	CHD	Bearbeite den Stationsposten	bearbeite den Stationsposten	.	zweimal	Bearbeite den Stationsposten und bearbeite den Stationsposten.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	47	COMPOSED_MULTIHEAD_SAME_REGISTER	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M299	G498-M299	@ACTION+CHD+Y	CHD	CHD+CHD+Y	CELESTIAL	BEARBEITEN · BEARBEITEN · POSTEN	EINTRAG BEARBEITEN · EINTRAG BEARBEITEN · POSITIONSPOSTEN	Bearbeite den Positionsposten und bearbeite den Positionsposten.	Bearbeite den Positionsposten zweimal.	REPEATED_ACTION_COMPRESSED	CHD_CHD_POST_TO_ZWEIMAL	2	1	CHD	Bearbeite den Positionsposten	bearbeite den Positionsposten	.	zweimal	Bearbeite den Positionsposten und bearbeite den Positionsposten.	YES	COMPOSED_WORKING	D_OLD_VALUES_ONLY	348	COMPOSED_OLD_VALUES_ONLY	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M300	G498-M300	@ACTION+CHD+Y	CHD	CHD+CHD+Y	PHARMA	BEARBEITEN · BEARBEITEN · POSTEN	ANSATZ BEARBEITEN · ANSATZ BEARBEITEN · DROGENPOSTEN	Bearbeite den Drogenposten und bearbeite den Drogenposten.	Bearbeite den Drogenposten zweimal.	REPEATED_ACTION_COMPRESSED	CHD_CHD_POST_TO_ZWEIMAL	2	1	CHD	Bearbeite den Drogenposten	bearbeite den Drogenposten	.	zweimal	Bearbeite den Drogenposten und bearbeite den Drogenposten.	YES	COMPOSED_WORKING	D_OLD_VALUES_ONLY	349	COMPOSED_OLD_VALUES_ONLY	SELF_CONTAINED_ARGUMENT	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M456	G498-M456	CH+@ACTION	CH	CH+CH	SOURCE_SECTION_T	NEHMEN · NEHMEN	ENTNEHMEN · ENTNEHMEN	Entnimm das zuvor Genannte und entnimm es.	Entnimm das zuvor Genannte zweimal.	REPEATED_ACTION_COMPRESSED	CH_CH_ACTIVE_ARGUMENT_TO_ZWEIMAL	2	1	CH	Entnimm das zuvor Genannte	entnimm es	.	zweimal	Entnimm das zuvor Genannte und entnimm es.	YES	COMPOSED_WORKING	D_OLD_VALUES_ONLY	347	COMPOSED_OLD_VALUES_ONLY	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
