current_cell_id	source_matrix_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_component_trace_de	previous_default_phrase_de	current_default_phrase_de	editorial_status	compression_rule	action_slot_count_retained	repeated_action_root_count	repeated_action_roots	source_first_action_clause_de	source_second_action_clause_de	source_phrase_tail_de	compressed_count_marker_de	roundtrip_expanded_phrase_de	exact_source_phrase_roundtrip	evidence_status_retained	composition_priority_tier	composition_global_priority_rank	composition_support_class	state_requirement	observed_event_count	observed_pages	all_component_value_cells_old	working_root_meaning_changed	evidence_status_changed	recipe_changed	surface_prediction_made	occurrence_prediction_made	guard
G500-M004	G498-M004	@ACTION	OK	OK	CELESTIAL	SETZEN	POSITION SETZEN	Setze das zuvor Genannte.	Setze das zuvor Genannte.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Setze das zuvor Genannte.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	124	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M005	G498-M005	@ACTION	OK	OK	PHARMA	SETZEN	ANSATZ ANSETZEN	Setze das zuvor Genannte als Ansatz an.	Setze das zuvor Genannte als Ansatz an.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Setze das zuvor Genannte als Ansatz an.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	110	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M006	G498-M006	@ACTION	CH	CH	SOURCE_SECTION_T	NEHMEN	ENTNEHMEN	Entnimm das zuvor Genannte.	Entnimm das zuvor Genannte.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Entnimm das zuvor Genannte.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	58	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M009	G498-M009	@ACTION	CH	CH	CELESTIAL	NEHMEN	POSITION AUFNEHMEN	Nimm das zuvor Genannte auf.	Nimm das zuvor Genannte auf.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Nimm das zuvor Genannte auf.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	126	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M010	G498-M010	@ACTION	CH	CH	PHARMA	NEHMEN	DROGENPOSTEN NEHMEN	Nimm das zuvor Genannte.	Nimm das zuvor Genannte.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Nimm das zuvor Genannte.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	112	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M014	G498-M014	@ACTION	SH	SH	CELESTIAL	HALTEN	POSITION HALTEN	Halte das zuvor Genannte.	Halte das zuvor Genannte.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Halte das zuvor Genannte.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	125	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M015	G498-M015	@ACTION	SH	SH	PHARMA	HALTEN	ANSATZ HALTEN	Halte das zuvor Genannte.	Halte das zuvor Genannte.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Halte das zuvor Genannte.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	111	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M016	G498-M016	@ACTION	K	K	SOURCE_SECTION_T	GEBEN	ZUORDNEN	Ordne das zuvor Genannte zu.	Ordne das zuvor Genannte zu.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Ordne das zuvor Genannte zu.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	59	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M018	G498-M018	@ACTION	K	K	BIOLOGICAL	GEBEN	POSTEN ZUFÜHREN	Führe das zuvor Genannte zu.	Führe das zuvor Genannte zu.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Führe das zuvor Genannte zu.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	14	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
G500-M019	G498-M019	@ACTION	K	K	CELESTIAL	GEBEN	WERT ZUORDNEN	Ordne das zuvor Genannte zu.	Ordne das zuvor Genannte zu.	UNCHANGED	NONE	1	0	NONE	NONE	NONE	NONE	NONE	Ordne das zuvor Genannte zu.	YES	COMPOSED_WORKING	A_LOCAL_MULTIHEAD	127	COMPOSED_MULTIHEAD_SAME_REGISTER	ACTIVE_ARGUMENT_REQUIRED	0	NONE	YES	NO	NO	NO	NO	NO	EDITORIAL_FLUENCY_ONLY__TWO_ACTION_SLOTS_RETAINED__NO_MEANING_OR_EVIDENCE_CHANGE
