assumption_id	record_unit_id	layer	assumption	historical_or_visual_basis	strongest_contradiction	disposition	card_licensed	event_interlinear_use_count	semantic_contract
A001	ALL	GENRE	Wasser oder andere Bade-/Waschflüssigkeit als Arbeitsmedium	Bild-/Bad-/Rezeptgattung	Keine Karte nennt Wasser oder Flüssigkeit	KEEP_TAGGED	NO	73	NEVER_PROMOTE_TO_V60_CARD_MEANING
A002	ALL	IMAGE	Becken, Gefäß oder Auffangbereich als Apparatur	erlaubter V54-Bildbefund	Keine sichere lokale Feldzuweisung	KEEP_PAGE_LEVEL	NO	42	NEVER_PROMOTE_TO_V60_CARD_MEANING
A003	ALL	IMAGE	Leitung, Lauf, Öffnung oder Auslass als Apparatur	erlaubter V54-Bildbefund	Lokale Reihenfolge und Funktion nicht gesichert	KEEP_PAGE_LEVEL	NO	54	NEVER_PROMOTE_TO_V60_CARD_MEANING
A004	B1|B2|B3|B4	IMAGE_GENRE	menschliche Figur, Badende, Patient oder äußerer Körperbereich	Figuren + medizinische Vergleichsgattung	Figur ist kein gesicherter Textbesitzer	KEEP_TAGGED	NO	44	NEVER_PROMOTE_TO_V60_CARD_MEANING
A005	ALL	GENRE	therapeutischer statt rein hygienischer oder technischer Zweck	medizinischer Sammelcodex-/Badvergleich	Badehaus und Wasserwerk bleiben vollständig möglich	KEEP_AS_DEFAULT	NO	52	NEVER_PROMOTE_TO_V60_CARD_MEANING
A006	B1|B2|B4|B6	GENRE	Tuch, Seihen, Filtern oder Kompresse	Rezept-, Trotula- und Wundpraxis	Keine Karte nennt Tuch oder Filter	KEEP_TAGGED	NO	14	NEVER_PROMOTE_TO_V60_CARD_MEANING
A007	B1|B2|B3|B4	GENRE	Kräuter-, Öl-, Wein- oder anderer pharmazeutischer Zusatz	Materia-medica-/Rezeptpraxis	Keine Zutat ist abgebildet oder kartengestützt	KEEP_TAGGED	NO	9	NEVER_PROMOTE_TO_V60_CARD_MEANING
A008	ALL	EXEMPLAR	warm, kühl, kalt, ungekocht oder konkrete Wärmeführung	Bad-/Rezeptpraxis; TEMPERIEREN? nur wo exakt	Temperaturwert fehlt und viele Ereignisse sind unparsed	KEEP_TAGGED	NO	39	NEVER_PROMOTE_TO_V60_CARD_MEANING
A009	ALL	EXEMPLAR	Dauer, Wiederholung sowie einmal/zweimal/erste/zweite Folge	Quelltextreflow und Arbeitsgattung	Kein Zahlenwert ist entziffert	KEEP_TAGGED	NO	36	NEVER_PROMOTE_TO_V60_CARD_MEANING
A010	ALL	EXEMPLAR	konkrete Menge, Portion oder Gleichanteil	MASS? liefert höchstens Maßklasse	Keine Zahl oder Einheit ist gewonnen	KEEP_TAGGED	NO	90	NEVER_PROMOTE_TO_V60_CARD_MEANING
A011	ALL	EXEMPLAR	jede Handlung oder Sache an einem V63-EXEMPLAR_ONLY-Ereignis	lokales historisches Exemplar	191/281 Ereignisse bleiben unparsed	KEEP_EXPLICIT	NO	281	NEVER_PROMOTE_TO_V60_CARD_MEANING
A012	B1|B2|B3|B4	EXEMPLAR	Absetzen, Klarheit oder Bereitschaft als konkrete Materialprüfung	BEREIT?/KLAR? nur an exakten Vorkommen	Lange Zustandsklausel ist nie Kartenwert	KEEP_TAGGED	NO	27	NEVER_PROMOTE_TO_V60_CARD_MEANING
