statement_id	record_unit_id	page	statement_ordinal_in_record	process_node_id	constituent_loci	constituent_fields	physical_line_count	event_count	event_serials	v61_entry_boundary_class	v61_exit_boundary_class	v61_internal_cross_line_boundaries	selected_short_card_skeleton	v62_pre_state	v62_owner_operation	v62_active_operation	v62_target_operation	v62_previous_operation	v62_post_state	v62_ambiguity_codes	v63_primary_template	v63_licensed_primitive_sequence	v63_parse_status	v63_recognized_event_count	v63_exemplar_only_event_count	v65_tagged_historical_source_clause	unsupported_assumption_ids	strongest_segmentation_or_source_alternative	status
B1-S001	B1	f81v	1	B1-P01	f81v.2	F021	1	1	101	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	F021[SPÜLEN?]	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE	INTRODUCE	INTRODUCE	RESET	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	NONE	TERMINAL_FLUSH	TERMINAL_FLUSH	UNIQUE	1	0	[EXEMPLAR:A004+A005+A009+A011+A014+A015+A020:spüle die bezeichnete Stelle einmal und beende den Schritt]	A004|A005|A009|A011|A014|A015|A020	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 1/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
B1-S002	B1	f81v	2	B1-P02	f81v.2|f81v.7	F022|F023	2	19	102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1-LB01	F022[ZIEL?] > F023[VORIGES? MASS? MASS?]	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	CARRY	RESUME	INTRODUCE	RESUME	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	INFERRED_PREVIOUS_IDENTITY | PREVIOUS_REFERENT_CLASS_AMBIGUOUS | TWO_INPUTS_ORDER_AMBIGUOUS | MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN > TARGET_ASSIGN > LINK_ACTIVE > TARGET_ASSIGN > LINK_ACTIVE > SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN > PARAMETER_ASSIGN	AMBIGUOUS	9	10	[EXEMPLAR:A001+A002+A003+A004+A005+A007+A008+A009+A010+A011+A012+A013+A014+A015+A020:beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; der vorbereitete Bade- oder Waschzusatz; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt]	A001|A002|A003|A004|A005|A007|A008|A009|A010|A011|A012|A013|A014|A015|A020	SEGMENTATION=RESUME_ACTIVE_ITEM: F023 kann eine neue Klausel mit demselben Ansatz sein.; NONMEDICAL=Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 2/24] || Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 3/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
B1-S003	B1	f81v	3	B1-P02	f81v.7|f81v.17	F024|F025	2	2	121|122	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1-LB02	F024[∅] > F025[∅]	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	CARRY	CARRY	CARRY	RESUME	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	COMPOSITE_SEQUENCE	LINK_ACTIVE	AMBIGUOUS	1	1	[EXEMPLAR:A007+A008+A009+A011+A012+A013+A020:Mit der vorigen Zubereitung weiter; halte es warm und beende den Schritt]	A007|A008|A009|A011|A012|A013|A020	SEGMENTATION=RESUME_ACTIVE_ITEM: die minimale F024 kann ein Verweisfeld vor einer neuen Klausel sein.; NONMEDICAL=Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 4/24] || Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 5/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
B1-S004	B1	f81v	4	B1-P02	f81v.17	F026	1	3	123|124|125	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	F026[∅]	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	CARRY	CARRY	CARRY	RESUME	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	COMPOSITE_SEQUENCE	LINK_ACTIVE	AMBIGUOUS	1	2	[EXEMPLAR:A007+A009+A010+A011+A012+A013+A020:rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt]	A007|A009|A010|A011|A012|A013|A020	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 6/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
B1-S005	B1	f81v	5	B1-P02	f81v.17	F027	1	1	126	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	F027[∅]	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	CARRY	CARRY	INTRODUCE	CARRY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	EXEMPLAR_ONLY	NONE	UNPARSED	0	1	[EXEMPLAR:A002+A004+A011+A013+A020:stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt]	A002|A004|A011|A013|A020	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 7/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
B1-S006	B1	f81v	6	B1-P02	f81v.17	F028	1	4	127|128|129|130	WITHIN_LOCUS_FIELD_BOUNDARY	NEXT_PARALLEL_CELL	NONE	F028[∅]	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	CARRY	CARRY	INTRODUCE	CARRY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	EXEMPLAR_ONLY	NONE	UNPARSED	0	4	[EXEMPLAR:A001+A002+A005+A007+A008+A010+A011+A012+A015+A020:gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; der vorbereitete Bade- oder Waschzusatz ; und lasse es abkühlen]	A001|A002|A005|A007|A008|A010|A011|A012|A015|A020	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 8/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
B1-S007	B1	f81v	7	B1-P03	f81v.18	F029	1	1	131	NEXT_PARALLEL_CELL	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	F029[∅]	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	EXEMPLAR_ONLY	NONE	UNPARSED	0	1	[EXEMPLAR:A008+A009+A011+A020:erwärme es einmal und beende den Schritt]	A008|A009|A011|A020	SEGMENTATION=START_NEW_CLAUSE: statt Parallelzellen kann hier ein neuer Prozessabschnitt beginnen.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 9/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
B1-S008	B1	f81v	8	B1-P03	f81v.18	F030	1	5	132|133|134|135|136	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	F030[∅]	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	CARRY	CARRY	CARRY	RESUME	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	COMPOSITE_SEQUENCE	LINK_ACTIVE > LINK_ACTIVE	AMBIGUOUS	2	3	[EXEMPLAR:A007+A009+A010+A011+A012+A013+A020:Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt]	A007|A009|A010|A011|A012|A013|A020	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 10/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
B1-S009	B1	f81v	9	B1-P03	f81v.18	F031	1	1	137	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	F031[SPÜLEN?]	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	CARRY	CARRY	INTRODUCE	CARRY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T008;PREVIOUS_ITEM=B1:I002	NONE	TERMINAL_FLUSH	TERMINAL_FLUSH	UNIQUE	1	0	[EXEMPLAR:A004+A005+A009+A011+A014+A015+A020:spüle die bezeichnete Stelle einmal und beende den Schritt]	A004|A005|A009|A011|A014|A015|A020	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 11/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
B1-S010	B1	f81v	10	B1-P03	f81v.18	F032	1	1	138	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	F032[SPÜLEN?]	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T008;PREVIOUS_ITEM=B1:I002	CARRY	CARRY	INTRODUCE	CARRY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T009;PREVIOUS_ITEM=B1:I002	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TERMINAL_FLUSH	TERMINAL_FLUSH	UNIQUE	1	0	[EXEMPLAR:A004+A005+A009+A011+A014+A015+A020:spüle die bezeichnete Stelle einmal und beende den Schritt]	A004|A005|A009|A011|A014|A015|A020	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 12/24]	COMPLETE_STATEMENT;CONCRETE_CLAUSE_EXEMPLAR_TAGGED
