field_id	record_unit_id	page	locus	statement_id	field_position_in_statement	event_count	event_serials	v63_primary_template	v63_ordered_template_sequence	v63_parse_status_fixed	recognized_event_count	exemplar_only_event_count	local_phase	local_pre_state	complete_technical_field_reading	local_post_state	commit_class	v62_pre_state_statement_envelope	v62_post_state_statement_envelope	iatromedical_field_comparator	technical_assumptions	technical_weighted_cost	iatromedical_assumptions	iatromedical_weighted_cost	field_coherence_winner	strongest_technical_contradiction	opaque_roundtrip_trace	roundtrip_status	layer_contract	source_lineage
F021	B1	f81v	f81v.2	B1-S001	ONLY	1	101	TERMINAL_FLUSH	TERMINAL_FLUSH	UNIQUE	1	0	FLUSH	B1:Q000	Frisches Wasser an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 zuführen, den Leitungsweg bis zum klaren Lauf spülen und den Spülposten schließen. Lizenzierte Slotfolge: Leitung spülen und committen. Feldbuchung schließen.	B1:Q001:FLUSH	EXACT_TERMINAL_ACTION_COMMIT	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	spüle die bezeichnete Stelle einmal und beende den Schritt	LOCAL_PROCESS:1|MEDIUM:1|FILTER_OR_RETURN_MECHANISM:1|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:1	7	LOCAL_PROCESS:1|MEDIUM:1|FILTER_OR_RETURN_MECHANISM:1|DOMAIN_PURPOSE:1|HUMAN_ROLE_OR_BODY:1	7	TIE	Die lizenzierte Slotfolge bestimmt weder Becken, Wasser, Leitung noch technischen Zweck.	E101@7db18b2f0fb7ed0fcfd3:TERMINAL_FLUSH:EXACT_JOINT_TUPLE_MNEMONIC	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
F022	B1	f81v	f81v.2	B1-S002	FIRST	11	102|103|104|105|106|107|108|109|110|111|112	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN > EXEMPLAR_ONLY > TARGET_ASSIGN > EXEMPLAR_ONLY > LINK_ACTIVE > EXEMPLAR_ONLY > EXEMPLAR_ONLY > TARGET_ASSIGN > LINK_ACTIVE > EXEMPLAR_ONLY > EXEMPLAR_ONLY	AMBIGUOUS	5	6	SETUP	B1:Q001	An Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 Beckenrand, Zulauf und Filteraufnahme prüfen; den Ausgangsstand als lokalen Anlagenposten eröffnen. Lizenzierte Slotfolge: Mengen-/Parameterslot setzen; Ziel-/Relationsslot setzen; aktiven Arbeitsstand verknüpfen; Ziel-/Relationsslot setzen; aktiven Arbeitsstand verknüpfen. Arbeitsstand offen weitertragen.	B1:Q002:SETUP	OPEN_CARRY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl	EXEMPLAR_FILL:6|LOCAL_PROCESS:1|MEDIUM:1|STATION_OR_TARGET:1|HUMAN_ROLE_OR_BODY:1	11	EXEMPLAR_FILL:6|LOCAL_PROCESS:1|MEDIUM:1|STATION_OR_TARGET:1|FILTER_OR_RETURN_MECHANISM:1|HUMAN_ROLE_OR_BODY:1	12	TECHNICAL	Die lizenzierte Slotfolge bestimmt weder Becken, Wasser, Leitung noch technischen Zweck.	E102@b5fcea1eaed06b2f2291:PARAMETER_ASSIGN:STRICT_FORMAL_PROMPT_ONLY > E103@22fb87a5a83e5c3fb510:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E104@308e8ea2d5d190c498e8:TARGET_ASSIGN:STRICT_FORMAL_PROMPT_ONLY > E105@4d4559019a961b834aa1:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E106@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY > E107@9da1b6ac2c929daea697:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E108@94df4847b7b16c98394a:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E109@dd0ecaf5e27d81befffc:TARGET_ASSIGN:EXACT_JOINT_TUPLE_MNEMONIC > E110@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY > E111@1496a731803a9f48d2e1:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E112@0f18de177ed7c878bf95:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
F023	B1	f81v	f81v.7	B1-S002	LAST	8	113|114|115|116|117|118|119|120	COMPOSITE_SEQUENCE	SELECT_PREVIOUS > LINK_ACTIVE > EXEMPLAR_ONLY > PARAMETER_ASSIGN > EXEMPLAR_ONLY > PARAMETER_ASSIGN > EXEMPLAR_ONLY > EXEMPLAR_ONLY	AMBIGUOUS	4	4	CHARGE	B1:Q002	Vorratswasser an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 bereitstellen, die vorgesehene Charge zuführen und den Füllstand markieren. Lizenzierte Slotfolge: Vorcharge aufnehmen; aktiven Arbeitsstand verknüpfen; Mengen-/Parameterslot setzen; Mengen-/Parameterslot setzen. Feldbuchung schließen.	B1:Q003:CHARGE	OPAQUE_FIELD_COMMIT_ONLY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	EXEMPLAR_FILL:4|LOCAL_PROCESS:1|MEDIUM:1	6	EXEMPLAR_FILL:4|LOCAL_PROCESS:1|MEDIUM:1|FILTER_OR_RETURN_MECHANISM:1	7	TECHNICAL	Die lizenzierte Slotfolge bestimmt weder Becken, Wasser, Leitung noch technischen Zweck. CLOSE trägt nur Commit und lizenziert weder Spülen noch Ablassen.	E113@dec401773c1f0347793d:SELECT_PREVIOUS:EXACT_JOINT_TUPLE_MNEMONIC > E114@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY > E115@4eab1841ed655c20a348:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E116@2f1c5e56e8f0ff459065:PARAMETER_ASSIGN:EXACT_PLUS_FORMAL_CONVERGENT > E117@93f69c38fdedee1598e9:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E118@2f1c5e56e8f0ff459065:PARAMETER_ASSIGN:EXACT_PLUS_FORMAL_CONVERGENT > E119@2cc8bb3c2af19607888f:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E120@259b2b3b0bf859882e2c:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
F024	B1	f81v	f81v.7	B1-S003	FIRST	1	121	LINK_ACTIVE	LINK_ACTIVE	UNIQUE	1	0	RETURN	B1:Q003	Die Rücklaufleitung an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 öffnen, den Restbestand zur Vorstation zurückführen und die Übergabe buchen. Lizenzierte Slotfolge: aktiven Arbeitsstand verknüpfen. Arbeitsstand offen weitertragen.	B1:Q004:RETURN	OPEN_CARRY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	Mit der vorigen Zubereitung weiter	LOCAL_PROCESS:1|MEDIUM:1|STATION_OR_TARGET:1|FILTER_OR_RETURN_MECHANISM:1	4	LOCAL_PROCESS:1|MEDIUM:1|STATION_OR_TARGET:1	3	IATROMEDICAL	Die lizenzierte Slotfolge bestimmt weder Becken, Wasser, Leitung noch technischen Zweck.	E121@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
F025	B1	f81v	f81v.17	B1-S003	LAST	1	122	EXEMPLAR_ONLY	EXEMPLAR_ONLY	UNPARSED	0	1	ROUTE	B1:Q004	Den Leitungszweig an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 wählen, den Schieber öffnen und die Charge zur gebuchten Zielstation führen. Lizenzierte Slotfolge: keine lizenzierte Slotoperation. Feldbuchung schließen.	B1:Q005:ROUTE	OPAQUE_FIELD_COMMIT_ONLY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	halte es warm und beende den Schritt	EXEMPLAR_FILL:1|LOCAL_PROCESS:1|MEDIUM:1	3	EXEMPLAR_FILL:1|LOCAL_PROCESS:1|MEDIUM:1	3	TIE	Das ganze Feld ist UNPARSED; die konkrete Anlagenhandlung kommt nur aus dem lokalen Phasenplan. CLOSE trägt nur Commit und lizenziert weder Spülen noch Ablassen.	E122@54e32e9c1414b20640e9:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
F026	B1	f81v	f81v.17	B1-S004	ONLY	3	123|124|125	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > LINK_ACTIVE > EXEMPLAR_ONLY	AMBIGUOUS	1	2	CHARGE	B1:Q005	Vorratswasser an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 bereitstellen, die vorgesehene Charge zuführen und den Füllstand markieren. Lizenzierte Slotfolge: aktiven Arbeitsstand verknüpfen. Feldbuchung schließen.	B1:Q006:CHARGE	OPAQUE_FIELD_COMMIT_ONLY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	EXEMPLAR_FILL:2|LOCAL_PROCESS:1|MEDIUM:1	4	EXEMPLAR_FILL:2|LOCAL_PROCESS:1|MEDIUM:1	4	TIE	Die lizenzierte Slotfolge bestimmt weder Becken, Wasser, Leitung noch technischen Zweck. CLOSE trägt nur Commit und lizenziert weder Spülen noch Ablassen.	E123@6f7ff8287eddf4da9fdb:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E124@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY > E125@bc4f1f5c006c74a4d26d:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
F027	B1	f81v	f81v.17	B1-S005	ONLY	1	126	EXEMPLAR_ONLY	EXEMPLAR_ONLY	UNPARSED	0	1	HEAT	B1:Q006	Die aktive Beckencharge an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 gelinde erwärmen, mit der Handprobe kontrollieren und warm halten. Lizenzierte Slotfolge: keine lizenzierte Slotoperation. Feldbuchung schließen.	B1:Q007:HEAT	OPAQUE_FIELD_COMMIT_ONLY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	EXEMPLAR_FILL:1|LOCAL_PROCESS:1|MEDIUM:1|HUMAN_ROLE_OR_BODY:1	5	EXEMPLAR_FILL:1|LOCAL_PROCESS:1|MEDIUM:1|HUMAN_ROLE_OR_BODY:1	5	TIE	Das ganze Feld ist UNPARSED; die konkrete Anlagenhandlung kommt nur aus dem lokalen Phasenplan. CLOSE trägt nur Commit und lizenziert weder Spülen noch Ablassen.	E126@28ffbc88b97772a75f1e:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
F028	B1	f81v	f81v.17	B1-S006	ONLY	4	127|128|129|130	EXEMPLAR_ONLY	EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY	UNPARSED	0	4	CIRCULATE	B1:Q007	Die Charge von Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 über Rinne und Gefälle umlaufen lassen, den Rücklauf auffangen und erneut zuführen. Lizenzierte Slotfolge: keine lizenzierte Slotoperation. Arbeitsstand offen weitertragen.	B1:Q008:CIRCULATE	OPEN_CARRY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen	EXEMPLAR_FILL:4|LOCAL_PROCESS:1|MEDIUM:1|FILTER_OR_RETURN_MECHANISM:1	7	EXEMPLAR_FILL:4|LOCAL_PROCESS:1|MEDIUM:1	6	IATROMEDICAL	Das ganze Feld ist UNPARSED; die konkrete Anlagenhandlung kommt nur aus dem lokalen Phasenplan.	E127@1645e612504fcef59ced:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E128@2cc8bb3c2af19607888f:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E129@0f18de177ed7c878bf95:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E130@4da0f0f7b5fc7ac20067:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
F029	B1	f81v	f81v.18	B1-S007	ONLY	1	131	EXEMPLAR_ONLY	EXEMPLAR_ONLY	UNPARSED	0	1	SETTLE	B1:Q008	Die Charge an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 stehen lassen, Klarlauf und Bodensatz trennen und den erreichten Stand buchen. Lizenzierte Slotfolge: keine lizenzierte Slotoperation. Feldbuchung schließen.	B1:Q009:SETTLE	OPAQUE_FIELD_COMMIT_ONLY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	erwärme es einmal und beende den Schritt	EXEMPLAR_FILL:1|LOCAL_PROCESS:1|MEDIUM:1	3	EXEMPLAR_FILL:1|LOCAL_PROCESS:1|MEDIUM:1	3	TIE	Das ganze Feld ist UNPARSED; die konkrete Anlagenhandlung kommt nur aus dem lokalen Phasenplan. CLOSE trägt nur Commit und lizenziert weder Spülen noch Ablassen.	E131@87411f84689b4f93a303:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
F030	B1	f81v	f81v.18	B1-S008	ONLY	5	132|133|134|135|136	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > LINK_ACTIVE > EXEMPLAR_ONLY > LINK_ACTIVE > EXEMPLAR_ONLY	AMBIGUOUS	2	3	FILTER	B1:Q009	Das Filtertuch an Grundbecken A mit Wärmestelle W1, Rinne R1 und Rücklauf R0 spannen, die Charge hindurchführen, Rückstand abnehmen und Filtrat auffangen. Lizenzierte Slotfolge: aktiven Arbeitsstand verknüpfen; aktiven Arbeitsstand verknüpfen. Feldbuchung schließen.	B1:Q010:FILTER	OPAQUE_FIELD_COMMIT_ONLY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	EXEMPLAR_FILL:3|LOCAL_PROCESS:1|MEDIUM:1|FILTER_OR_RETURN_MECHANISM:1	6	EXEMPLAR_FILL:3|LOCAL_PROCESS:1|MEDIUM:1	5	IATROMEDICAL	Die lizenzierte Slotfolge bestimmt weder Becken, Wasser, Leitung noch technischen Zweck. CLOSE trägt nur Commit und lizenziert weder Spülen noch Ablassen.	E132@b921a237be883a820352:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E133@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY > E134@d904bf7b044dd3922781:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E135@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY > E136@bc4f1f5c006c74a4d26d:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V62_ENVELOPE_UNCHANGED;V63_STATUS_UNCHANGED;PHASE_AND_NOUNS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V65_R3_WATERWORK_FIELD
