statement_id	record_id	page	statement_ordinal	field_ids	event_count	parse_status	register_transition	complete_statement_default_de	prior_v61_source_expansion	interpretive_limit
B1-S001	B1	f81v	1	F021	1	UNIQUE	V62_STRUCTURAL[INTRODUCE/INTRODUCE/INTRODUCE/RESET] -> FLUSH(ACTIVE_ITEM/PREPARATION,TARGET/STATION);COMMIT -> ASSERT_SELECTED_V62_POST_STATE	den Schritt mit einem Spülvorgang abschließen	spüle die bezeichnete Stelle einmal und beende den Schritt	NO_NEW_CARD_MEANING
B1-S002	B1	f81v	2	F022|F023	19	AMBIGUOUS	V62_STRUCTURAL[CARRY/RESUME/INTRODUCE/RESUME] -> FORMAL_STANDARD_SLOT:=OPAQUE_EVENT_VALUE;FOUR_REGISTERS=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> TARGET/STATION:=FORMAL_RELATION_SLOT(OPAQUE_EVENT_VALUE) -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> TARGET/STATION:=EXACT_TARGET_ARGUMENT -> ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ACTIVE_ITEM/PREPARATION:=PREVIOUS_ITEM -> ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> PARAMETER_SLOT:=EXACT_MASS_VALUE;FOUR_REGISTERS=CARRY || FORMAL_PARAMETER_SLOT:=OPAQUE_EVENT_VALUE;FOUR_REGISTERS=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> PARAMETER_SLOT:=EXACT_MASS_VALUE;FOUR_REGISTERS=CARRY || FORMAL_PARAMETER_SLOT:=OPAQUE_EVENT_VALUE;FOUR_REGISTERS=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ASSERT_SELECTED_V62_POST_STATE	den vorgeschriebenen Wert oder Anteil setzen ; der zurücklaufende Strom ; den nächsten Ziel- oder Stationsslot setzen ; Daraus, aus demselben Ansatz ; den Posten mit dem aktiven Arbeitsstand verbinden ; ein abgemessener Anteil ; das untere Becken ; den nächsten Ziel- oder Stationsslot setzen ; den Posten mit dem aktiven Arbeitsstand verbinden ; bevor es abkühlt ; das bereitete Öl | den vorigen recordlokalen Posten wiederaufnehmen ; den Posten mit dem aktiven Arbeitsstand verbinden ; eine mäßige Menge ; den vorgeschriebenen Wert oder Anteil setzen ; der eingetauchte Teil ; den vorgeschriebenen Wert oder Anteil setzen ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl || Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	NO_NEW_CARD_MEANING
B1-S003	B1	f81v	3	F024|F025	2	AMBIGUOUS	V62_STRUCTURAL[CARRY/CARRY/CARRY/RESUME] -> ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ASSERT_SELECTED_V62_POST_STATE	den Posten mit dem aktiven Arbeitsstand verbinden | halte es warm und beende den Schritt	Mit der vorigen Zubereitung weiter || halte es warm und beende den Schritt	NO_NEW_CARD_MEANING
B1-S004	B1	f81v	4	F026	3	AMBIGUOUS	V62_STRUCTURAL[CARRY/CARRY/CARRY/RESUME] -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ASSERT_SELECTED_V62_POST_STATE	rühre, bis alles gleichmäßig vermischt ist ; den Posten mit dem aktiven Arbeitsstand verbinden ; lasse es bis zur Bereitschaft stehen und beende den Schritt	rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	NO_NEW_CARD_MEANING
B1-S005	B1	f81v	5	F027	1	UNPARSED	V62_STRUCTURAL[CARRY/CARRY/INTRODUCE/CARRY] -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ASSERT_SELECTED_V62_POST_STATE	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	NO_NEW_CARD_MEANING
B1-S006	B1	f81v	6	F028	4	UNPARSED	V62_STRUCTURAL[CARRY/CARRY/INTRODUCE/CARRY] -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ASSERT_SELECTED_V62_POST_STATE	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen	NO_NEW_CARD_MEANING
B1-S007	B1	f81v	7	F029	1	UNPARSED	V62_STRUCTURAL[CARRY/INTRODUCE/RESET/INTRODUCE] -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ASSERT_SELECTED_V62_POST_STATE	erwärme es einmal und beende den Schritt	erwärme es einmal und beende den Schritt	NO_NEW_CARD_MEANING
B1-S008	B1	f81v	8	F030	5	AMBIGUOUS	V62_STRUCTURAL[CARRY/CARRY/CARRY/RESUME] -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY -> FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS -> ASSERT_SELECTED_V62_POST_STATE	Diese aktive Portion ; den Posten mit dem aktiven Arbeitsstand verbinden ; bei sanfter Wärme ; den Posten mit dem aktiven Arbeitsstand verbinden ; lasse es bis zur Bereitschaft stehen und beende den Schritt	Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	NO_NEW_CARD_MEANING
B1-S009	B1	f81v	9	F031	1	UNIQUE	V62_STRUCTURAL[CARRY/CARRY/INTRODUCE/CARRY] -> FLUSH(ACTIVE_ITEM/PREPARATION,TARGET/STATION);COMMIT -> ASSERT_SELECTED_V62_POST_STATE	den Schritt mit einem Spülvorgang abschließen	spüle die bezeichnete Stelle einmal und beende den Schritt	NO_NEW_CARD_MEANING
B1-S010	B1	f81v	10	F032	1	UNIQUE	V62_STRUCTURAL[CARRY/CARRY/INTRODUCE/CARRY] -> FLUSH(ACTIVE_ITEM/PREPARATION,TARGET/STATION);COMMIT -> ASSERT_SELECTED_V62_POST_STATE	den Schritt mit einem Spülvorgang abschließen	spüle die bezeichnete Stelle einmal und beende den Schritt	NO_NEW_CARD_MEANING
