field_id	record_id	page	locus	statement_id	event_count	parse_status	licensed_sequence	complete_field_default_de	field_close	interpretive_limit
F021	B1	f81v	f81v.2	B1-S001	1	UNIQUE	TERMINAL_FLUSH	den Schritt mit einem Spülvorgang abschließen	CLOSED	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F022	B1	f81v	f81v.2	B1-S002	11	AMBIGUOUS	PARAMETER_ASSIGN > TARGET_ASSIGN > LINK_ACTIVE > TARGET_ASSIGN > LINK_ACTIVE	den vorgeschriebenen Wert oder Anteil setzen ; der zurücklaufende Strom ; den nächsten Ziel- oder Stationsslot setzen ; Daraus, aus demselben Ansatz ; den Posten mit dem aktiven Arbeitsstand verbinden ; ein abgemessener Anteil ; das untere Becken ; den nächsten Ziel- oder Stationsslot setzen ; den Posten mit dem aktiven Arbeitsstand verbinden ; bevor es abkühlt ; das bereitete Öl	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F023	B1	f81v	f81v.7	B1-S002	8	AMBIGUOUS	SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN > PARAMETER_ASSIGN	den vorigen recordlokalen Posten wiederaufnehmen ; den Posten mit dem aktiven Arbeitsstand verbinden ; eine mäßige Menge ; den vorgeschriebenen Wert oder Anteil setzen ; der eingetauchte Teil ; den vorgeschriebenen Wert oder Anteil setzen ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F024	B1	f81v	f81v.7	B1-S003	1	UNIQUE	LINK_ACTIVE	den Posten mit dem aktiven Arbeitsstand verbinden	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F025	B1	f81v	f81v.17	B1-S003	1	UNPARSED	NONE	halte es warm und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F026	B1	f81v	f81v.17	B1-S004	3	AMBIGUOUS	LINK_ACTIVE	rühre, bis alles gleichmäßig vermischt ist ; den Posten mit dem aktiven Arbeitsstand verbinden ; lasse es bis zur Bereitschaft stehen und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F027	B1	f81v	f81v.17	B1-S005	1	UNPARSED	NONE	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F028	B1	f81v	f81v.17	B1-S006	4	UNPARSED	NONE	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F029	B1	f81v	f81v.18	B1-S007	1	UNPARSED	NONE	erwärme es einmal und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F030	B1	f81v	f81v.18	B1-S008	5	AMBIGUOUS	LINK_ACTIVE > LINK_ACTIVE	Diese aktive Portion ; den Posten mit dem aktiven Arbeitsstand verbinden ; bei sanfter Wärme ; den Posten mit dem aktiven Arbeitsstand verbinden ; lasse es bis zur Bereitschaft stehen und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F031	B1	f81v	f81v.18	B1-S009	1	UNIQUE	TERMINAL_FLUSH	den Schritt mit einem Spülvorgang abschließen	CLOSED	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F032	B1	f81v	f81v.18	B1-S010	1	UNIQUE	TERMINAL_FLUSH	den Schritt mit einem Spülvorgang abschließen	CLOSED	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F033	B1	f81v	f81v.18	B1-S011	2	AMBIGUOUS	ACTION_APPLY	durch die verbundenen Läufe ; den aktiven Arbeitsstand am vorgesehenen Platz einsetzen	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F034	B1	f81v	f81v.21	B1-S012	3	UNPARSED	NONE	beginne die Spülung ; warmes Wasser ; wasche einmal und beende diesen Durchgang	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F035	B1	f81v	f81v.21	B1-S013	1	UNPARSED	NONE	wasche einmal und beende diesen Durchgang	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F036	B1	f81v	f81v.21	B1-S014	5	AMBIGUOUS	LINK_ACTIVE	rühre, bis alles gleichmäßig vermischt ist ; die betroffene Stelle ; das untere Becken ; den Posten mit dem aktiven Arbeitsstand verbinden ; benutze danach den unteren Ablauf	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F037	B1	f81v	f81v.24	B1-S015	2	UNPARSED	NONE	fülle danach das Gefäß ; lasse es abkühlen und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F038	B1	f81v	f81v.24	B1-S016	4	AMBIGUOUS	TARGET_ASSIGN > ACTION_TEMPER > LINK_ACTIVE	den nächsten Ziel- oder Stationsslot setzen ; den aktiven Arbeitsstand lauwarm temperieren ; den Posten mit dem aktiven Arbeitsstand verbinden ; lasse es bis zur Bereitschaft stehen und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F039	B1	f81v	f81v.24	B1-S017	3	AMBIGUOUS	TARGET_ASSIGN	den nächsten Ziel- oder Stationsslot setzen ; die erste Öffnung ; seihe es klar und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F040	B1	f81v	f81v.24	B1-S018	1	UNPARSED	NONE	fülle danach das Gefäß	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F041	B1	f81v	f81v.27	B1-S018	3	UNPARSED	NONE	wende es an der markierten Stelle an ; bis es klar ist ; lasse die Flüssigkeit sich setzen und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F042	B1	f81v	f81v.27	B1-S019	1	UNPARSED	NONE	lasse es bis zur Bereitschaft stehen und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F043	B1	f81v	f81v.27	B1-S020	2	UNPARSED	NONE	bei sanfter Wärme ; seihe es einmal durch ein Tuch und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F044	B1	f81v	f81v.27	B1-S021	1	UNIQUE	TARGET_ASSIGN	den nächsten Ziel- oder Stationsslot setzen	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F045	B2	f82r	f82r.2	B2-S001	1	UNPARSED	NONE	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F046	B2	f82r	f82r.2	B2-S002	1	UNPARSED	NONE	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F047	B2	f82r	f82r.2	B2-S003	3	UNPARSED	NONE	gib einen abgemessenen Anteil in das Gefäß ; Diese aktive Portion ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F048	B2	f82r	f82r.2	B2-S004	3	AMBIGUOUS	TARGET_ASSIGN	den nächsten Ziel- oder Stationsslot setzen ; die zweite Öffnung ; und gehe zum nächsten Becken weiter	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F049	B2	f82r	f82r.3	B2-S004	2	AMBIGUOUS	ACTION_TEMPER	den aktiven Arbeitsstand lauwarm temperieren ; seihe es klar und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F050	B2	f82r	f82r.3	B2-S005	4	AMBIGUOUS	PARAMETER_ASSIGN	fahre am zweiten Lauf fort ; durch ein Tuch ; durch die verbundenen Läufe ; den vorgeschriebenen Wert oder Anteil setzen	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
F051	B2	f82r	f82r.4	B2-S005	4	AMBIGUOUS	PARAMETER_ASSIGN	den vorgeschriebenen Wert oder Anteil setzen ; unter derselben Einstellung ; das breite Gefäß ; ziehe es ab und beende den Schritt	OPEN	LOCAL_EXPANSION_PRESERVES_EXACT_EVENT_ORDER
