card	joint_tuple_id	v60_selected_short_mnemonic	v65_selected_short_mnemonic	source_class	binding	v65_action
AIIN	2f1c5e56e8f0ff459065	MASS?	MASS?	PARAMETER_NOUN	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
OKY	276a7c2d74d1143446f4	ANWENDEN?	ANWENDEN?	ACTION	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
CTHY	e0b630cb1b5df5e7105b	BEREIT?	BEREIT?	STATE	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
OR	7a4bb8136330ee4e6e56	ANSATZ?	ANSATZ?	WORKING_MATERIAL_NOUN	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
AL	dd0ecaf5e27d81befffc	ZIEL?	ZIEL?	RELATION_ARGUMENT	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
EY	b5df9126607030b95175	KLAR?	KLAR?	STATE	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
OLOR	dec401773c1f0347793d	VORIGES?	VORIGES?	BACK_REFERENCE	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
OTCHEY	faf321940aed922846a9	ANTEIL?	ANTEIL?	SELECTION_NOUN	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
OKEEY	0275fbf14e07935b0a45	TEMPERIEREN?	TEMPERIEREN?	ACTION	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
OKE	7db18b2f0fb7ed0fcfd3	SPÜLEN?	SPÜLEN?	TERMINAL_ACTION	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
LCHE	de7321bface5628e35d6	ABLASSEN?	ABLASSEN?	TERMINAL_ACTION	EXACT_JOINT_TUPLE_ID_ONLY	UNCHANGED
