event_serial	page	locus	record_unit_id	field_id	statement_id	event_index_in_record	surface_display_only	joint_tuple_id	formal_value	terminal_status	strict_control_prompt	v60_exact_mnemonic	v63_event_template	v63_event_parse_status	trigger_origin	required_registers	symbolic_register_effect	process_phase	medical_exemplar_expansion	apparative_exemplar_expansion	semantic_accounting	unknown_exemplar_status	layer_contract	source_lineage
101	f81v	f81v.2	B1	F021	B1-S001	1	qokedy	7db18b2f0fb7ed0fcfd3	OPAQUE_EXACT_CARD+TERMINAL	TERMINAL	NONE	SPÜLEN?	TERMINAL_FLUSH	UNIQUE_EXACT	EXACT_JOINT_TUPLE_MNEMONIC	ACTIVE_ITEM/PREPARATION|TARGET/STATION	FLUSH(ACTIVE_ITEM/PREPARATION,TARGET/STATION);COMMIT	P1_REINIGEN	[EXEMPLAR_MED; KEIN_KARTENWERT] die markierte Badestelle vor dem Grundansatz spülen. Einzelposition: spüle die bezeichnete Stelle einmal und beende den Schritt	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] den ersten Anschluss des Hauptlaufs spülen. Einzelposition: spüle den bezeichneten Anschluss einmal und beende den Schritt	LICENSED_ANCHOR_PLUS_EXEMPLAR_FILL	MEANING_UNCONFIRMED;BIO_LOCAL_ONLY_CLOSE_CONFOUNDED;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
102	f81v	f81v.2	B1	F022	B1-S002	2	okaiin	b5fcea1eaed06b2f2291	SET_STANDARD_SLOT	NONCLOSE	STANDARDSLOT_SETZEN	UNKNOWN	PARAMETER_ASSIGN	UNIQUE_FORMAL_ONLY	STRICT_FORMAL_PROMPT_ONLY	ACTIVE_ITEM/PREPARATION	FORMAL_STANDARD_SLOT:=OPAQUE_EVENT_VALUE;FOUR_REGISTERS=CARRY	P2_GRUNDANSATZ	[EXEMPLAR_MED; KEIN_KARTENWERT] den Heilzusatz dosieren, mit dem recordlokal vorigen Posten verbinden und im Grundbad mischen. Einzelposition: beginne den nächsten abgemessenen Posten	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] die Grundcharge dosieren, rückführen und in das Mischbecken leiten. Einzelposition: beginne den nächsten abgemessenen Posten	LICENSED_ANCHOR_PLUS_EXEMPLAR_FILL	FORMAL_VALUE_ONLY;SOURCE_MEANING_UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
103	f81v	f81v.2	B1	F022	B1-S002	3	kair	22fb87a5a83e5c3fb510	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NO_LICENSED_TRIGGER	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	P2_GRUNDANSATZ	[EXEMPLAR_MED; KEIN_KARTENWERT] den Heilzusatz dosieren, mit dem recordlokal vorigen Posten verbinden und im Grundbad mischen. Einzelposition: der zurücklaufende Strom	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] die Grundcharge dosieren, rückführen und in das Mischbecken leiten. Einzelposition: der zurücklaufende Strom	EXEMPLAR_ONLY_COMPLETE	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
104	f81v	f81v.2	B1	F022	B1-S002	4	okal	308e8ea2d5d190c498e8	SET_LOCAL_RELATION_SLOT	NONCLOSE	LOKALEN_RELATIONSSLOT_SETZEN	UNKNOWN	TARGET_ASSIGN	UNIQUE_FORMAL_ONLY	STRICT_FORMAL_PROMPT_ONLY	OWNER|TARGET/STATION	TARGET/STATION:=FORMAL_RELATION_SLOT(OPAQUE_EVENT_VALUE)	P2_GRUNDANSATZ	[EXEMPLAR_MED; KEIN_KARTENWERT] den Heilzusatz dosieren, mit dem recordlokal vorigen Posten verbinden und im Grundbad mischen. Einzelposition: mische beide Anteile zusammen	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] die Grundcharge dosieren, rückführen und in das Mischbecken leiten. Einzelposition: mische beide Anteile zusammen	LICENSED_ANCHOR_PLUS_EXEMPLAR_FILL	FORMAL_VALUE_ONLY;SOURCE_MEANING_UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
105	f81v	f81v.2	B1	F022	B1-S002	5	sar	4d4559019a961b834aa1	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NO_LICENSED_TRIGGER	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	P2_GRUNDANSATZ	[EXEMPLAR_MED; KEIN_KARTENWERT] den Heilzusatz dosieren, mit dem recordlokal vorigen Posten verbinden und im Grundbad mischen. Einzelposition: Daraus, aus demselben Ansatz	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] die Grundcharge dosieren, rückführen und in das Mischbecken leiten. Einzelposition: Daraus, aus demselben Ansatz	EXEMPLAR_ONLY_COMPLETE	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
106	f81v	f81v.2	B1	F022	B1-S002	6	ol	dcda95c81a5460feb191	LINK_ACTIVE_STATE+FRAME_O	NONCLOSE	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN	LINK_ACTIVE	UNIQUE_FORMAL_ONLY	STRICT_FORMAL_PROMPT_ONLY	ACTIVE_ITEM/PREPARATION|PREVIOUS_ITEM	ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY	P2_GRUNDANSATZ	[EXEMPLAR_MED; KEIN_KARTENWERT] den Heilzusatz dosieren, mit dem recordlokal vorigen Posten verbinden und im Grundbad mischen. Einzelposition: Mit der vorigen Zubereitung weiter	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] die Grundcharge dosieren, rückführen und in das Mischbecken leiten. Einzelposition: Mit der vorigen Charge weiter	LICENSED_ANCHOR_PLUS_EXEMPLAR_FILL	FORMAL_VALUE_ONLY;SOURCE_MEANING_UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
107	f81v	f81v.2	B1	F022	B1-S002	7	kain	9da1b6ac2c929daea697	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NO_LICENSED_TRIGGER	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	P2_GRUNDANSATZ	[EXEMPLAR_MED; KEIN_KARTENWERT] den Heilzusatz dosieren, mit dem recordlokal vorigen Posten verbinden und im Grundbad mischen. Einzelposition: ein abgemessener Anteil	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] die Grundcharge dosieren, rückführen und in das Mischbecken leiten. Einzelposition: ein abgemessener Anteil	EXEMPLAR_ONLY_COMPLETE	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
108	f81v	f81v.2	B1	F022	B1-S002	8	olkain	94df4847b7b16c98394a	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NO_LICENSED_TRIGGER	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	P2_GRUNDANSATZ	[EXEMPLAR_MED; KEIN_KARTENWERT] den Heilzusatz dosieren, mit dem recordlokal vorigen Posten verbinden und im Grundbad mischen. Einzelposition: das untere Becken	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] die Grundcharge dosieren, rückführen und in das Mischbecken leiten. Einzelposition: das untere Becken	EXEMPLAR_ONLY_COMPLETE	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
109	f81v	f81v.2	B1	F022	B1-S002	9	al	dd0ecaf5e27d81befffc	OPAQUE_EXACT_CARD	NONCLOSE	NONE	ZIEL?	TARGET_ASSIGN	UNIQUE_EXACT	EXACT_JOINT_TUPLE_MNEMONIC	OWNER|TARGET/STATION	TARGET/STATION:=EXACT_TARGET_ARGUMENT	P2_GRUNDANSATZ	[EXEMPLAR_MED; KEIN_KARTENWERT] den Heilzusatz dosieren, mit dem recordlokal vorigen Posten verbinden und im Grundbad mischen. Einzelposition: An die bezeichnete Zielstelle führen	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] die Grundcharge dosieren, rückführen und in das Mischbecken leiten. Einzelposition: An die bezeichneten Zielanschluss führen	LICENSED_ANCHOR_PLUS_EXEMPLAR_FILL	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
110	f81v	f81v.2	B1	F022	B1-S002	10	ol	dcda95c81a5460feb191	LINK_ACTIVE_STATE+FRAME_O	NONCLOSE	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN	LINK_ACTIVE	UNIQUE_FORMAL_ONLY	STRICT_FORMAL_PROMPT_ONLY	ACTIVE_ITEM/PREPARATION|PREVIOUS_ITEM	ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY	P2_GRUNDANSATZ	[EXEMPLAR_MED; KEIN_KARTENWERT] den Heilzusatz dosieren, mit dem recordlokal vorigen Posten verbinden und im Grundbad mischen. Einzelposition: Mit der vorigen Zubereitung weiter	[EXEMPLAR_APPARAT; KEIN_KARTENWERT] die Grundcharge dosieren, rückführen und in das Mischbecken leiten. Einzelposition: Mit der vorigen Charge weiter	LICENSED_ANCHOR_PLUS_EXEMPLAR_FILL	FORMAL_VALUE_ONLY;SOURCE_MEANING_UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	EXACT_TUPLE_ATOMIC;SURFACE_COMPONENTS_PAGE_HOST_NONSEMANTIC;EXEMPLARS_NO_DICTIONARY_FEEDBACK	V60_SELECTED_EVENT+V63_SELECTED_EVENT_TEMPLATE+V65_R1_MARKED_EXEMPLAR
