edge_id	record_unit_id	source_node	target_node	edge_type	historical_process_reading	semantic_status
B1-P01__TO__B1-P02	B1	B1-P01	B1-P02	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B1-P02__TO__B1-P03	B1	B1-P02	B1-P03	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B1-P03__TO__B1-P04	B1	B1-P03	B1-P04	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B1-P04__TO__B1-P05	B1	B1-P04	B1-P05	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B1-P05__TO__B1-P06	B1	B1-P05	B1-P06	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B2-P01__TO__B2-P02	B2	B2-P01	B2-P02	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B2-P02__TO__B2-P03	B2	B2-P02	B2-P03	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B2-P03__TO__B2-P04	B2	B2-P03	B2-P04	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B2-P04__TO__B2-P05	B2	B2-P04	B2-P05	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B2-P05__TO__B2-P06	B2	B2-P05	B2-P06	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B3-P01__TO__B3-P02	B3	B3-P01	B3-P02	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B3-P02__TO__B3-P03	B3	B3-P02	B3-P03	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B3-P03__TO__B3-P04	B3	B3-P03	B3-P04	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B3-P04__TO__B3-P05	B3	B3-P04	B3-P05	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B3-P05__TO__B3-P06	B3	B3-P05	B3-P06	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B4-P01__TO__B4-P02	B4	B4-P01	B4-P02	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B4-P02__TO__B4-P03	B4	B4-P02	B4-P03	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B4-P03__TO__B4-P04	B4	B4-P03	B4-P04	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
B5-P01__TO__B5-P02	B5	B5-P01	B5-P02	ORDERED_NEXT_PHASE	nächster Arbeitsabschnitt desselben recordlokalen Besitzers	EXEMPLAR_GRAPH_NOT_CARD_MEANING
