event_order	event_id	locus	field_id	surface	component_parse	macro_phase	old_event_reading_de	revised_event_reading_de	state_transition	active_object_de	owner_code	closes_step
1	E270	f83r.14	F092	qokaiin	OK+AIIN	P1_ERSTE_SOLLPRUEFUNG	Sollmaß setzen	Ersten Sollwert für den laufenden Stationsansatz setzen.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
2	E271	f83r.14	F092	shcthy	CTH+Y	P1_ERSTE_SOLLPRUEFUNG	bereit	Den Ansatz als bereit feststellen.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
3	E272	f83r.14	F092	dal	AL	P1_ERSTE_SOLLPRUEFUNG	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“	Den ungezeichneten Übergabepunkt adressieren.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
4	E273	f83r.14	F092	sy	Y	P1_ERSTE_SOLLPRUEFUNG	laufender Stationsansatz	Denselben Stationsansatz weiterführen.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
5	E274	f83r.15	F093	saiin	AIIN	P2_ABSETZEN_UND_ZWEITPRUEFEN	Sollmaß	Den Sollwert am Übergabepunkt erneut setzen.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
6	E275	f83r.15	F093	shedal	SHED+AL	P2_ABSETZEN_UND_ZWEITPRUEFEN	bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ absetzen	Den Ansatz am Übergabepunkt absetzen.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
7	E276	f83r.15	F093	shecthy	SH+E+CTH+Y	P2_ABSETZEN_UND_ZWEITPRUEFEN	laufender Stationsansatz kurz bereit halten	Den Ansatz dort kurz im bereiten Zustand halten.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
8	E277	f83r.15	F093	chey	Y	P3_UEBERGEBEN	laufender Stationsansatz	Denselben Stationsansatz wieder aufnehmen.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
9	E278	f83r.15	F093	tal	AL	P3_UEBERGEBEN	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“	Den Übergabepunkt erneut adressieren.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
10	E279	f83r.15	F093	shcthy	CTH+Y	P3_UEBERGEBEN	bereit	Bereitschaft unmittelbar vor der Übergabe feststellen.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO
11	E280	f83r.15	F093	dalchdy	AL+CHD+DY	P3_UEBERGEBEN	bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ überführen; Schluss	Den Ansatz am Übergabepunkt überführen und den Schritt schließen.	ACTIVE_CARRIED	derselbe laufende Stationsansatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	YES
