target_occurrence_ordinal	surface	occurrence_id	occurrence_kind	mask_partition	source_selector	physical_page	locus	register	topology_family	section	language	hand	token_ordinal_in_line	token_count_in_line	physical_line_role	normalized_line_position	source_flag_paragraph_run_id	line_ordinal_in_source_flag_run	line_count_in_source_flag_run	source_paragraph_start_line	source_paragraph_end_line	left_complete_whole	right_complete_whole	left_state_card	right_state_card	adjacent_state_card_count	legacy_owner	panel_id	record_id	record_token_ordinal	record_token_count	physical_record_role	record_local_fragment_id	record_local_fragment_token_ordinal	record_local_fragment_token_count	record_local_fragment_role	component_id	deep_visible_owner_class	deep_visible_attachment	parser_statement_role	parser_statement_ordinal	parser_statement_event_count	parser_statement_first	parser_statement_final	parser_final_context_recipe	parser_state_status	it2a_line_token_count	it2a_exact_token_lcs_length	it2a_target_alignment_status	it2a_aligned_token_ordinal	rf1b_line_token_count	rf1b_exact_token_lcs_length	rf1b_target_alignment_status	rf1b_aligned_token_ordinal	all_three_unique_forced_exact_alignment	reader_alignment_method	reader_diagnostic_credit	primary_evidence_channel	parser_channel_credit	component_export_credit
1	olaiin	G407-E0473	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f17r	f17r	f17r.4	HERBAL	WHOLE_PLANT_ARTICLE	H	A	1	5	9	LINE_INTERNAL	0.500000	f17r:P2	1	3	YES	NO	qor	opydg	NONSTATE_OR_EDGE	NONSTATE_OR_EDGE	0	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	16	26	NO	NO	OL+AIIN	STATE_CARD	9	9	UNIQUE_FORCED_EXACT	5	9	7	UNIQUE_FORCED_EXACT	5	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
2	okal	G407-E0574	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f18r	f18r	f18r.8	HERBAL	WHOLE_PLANT_ARTICLE	H	A	1	4	6	LINE_INTERNAL	0.600000	f18r:P2	4	10	NO	NO	olody	dy	STATE	NONSTATE_OR_EDGE	1	große abgebildete Blütenpflanze	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_FIRST	1	31	YES	NO	OK+AL	NONSTATE_CARD	5	4	NO_EXACT_ALIGNMENT	NA	7	5	UNIQUE_FORCED_EXACT	5	NO	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
3	okal	G407-E0600	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f18r	f18r	f18r.13	HERBAL	WHOLE_PLANT_ARTICLE	H	A	1	5	6	LINE_INTERNAL	0.800000	f18r:P2	9	10	NO	NO	cthal	dar	NONSTATE_OR_EDGE	NONSTATE_OR_EDGE	0	große abgebildete Blütenpflanze	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	27	31	NO	NO	OK+AL	NONSTATE_CARD	6	6	UNIQUE_FORCED_EXACT	5	6	6	UNIQUE_FORCED_EXACT	5	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
4	otedy	G515-E0240	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f31r	f31r	f31r.13	HERBAL	WHOLE_PLANT_ARTICLE	H	B	2	3	5	LINE_INTERNAL	0.500000	f31r:P3	4	7	NO	NO	qoekedy	ykedy	STATE	STATE	2	F31R_WHOLE_PLANT	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_SINGLETON	1	1	YES	YES	OT+E+DY	STATE_CARD	5	4	NO_EXACT_ALIGNMENT	NA	5	4	NO_EXACT_ALIGNMENT	NA	NO	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
5	okal	G407-E0758	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f55v	f55v	f55v.9	HERBAL	WHOLE_PLANT_ARTICLE	H	B	2	3	10	LINE_INTERNAL	0.222222	f55v:P2	3	6	NO	NO	qokchy	chey	NONSTATE_OR_EDGE	NONSTATE_OR_EDGE	0	große aromatische Doldenpflanze	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	33	56	NO	NO	OK+AL	NONSTATE_CARD	10	10	UNIQUE_FORCED_EXACT	3	10	9	UNIQUE_FORCED_EXACT	3	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
6	okal	G407-E0783	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f55v	f55v	f55v.11	HERBAL	WHOLE_PLANT_ARTICLE	H	B	2	6	10	LINE_INTERNAL	0.555556	f55v:P2	5	6	NO	NO	aiin	oltchy	NONSTATE_OR_EDGE	STATE	1	große aromatische Doldenpflanze	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	2	15	NO	NO	OK+AL	NONSTATE_CARD	10	10	UNIQUE_FORCED_EXACT	6	11	9	UNIQUE_FORCED_EXACT	7	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
7	okal	G515-E0312	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f66r	f66r	f66r.51	SOURCE_SECTION_T	TEXT_BLOCK	T	B	5	4	9	LINE_INTERNAL	0.375000	f66r:P2	2	7	NO	NO	qokeedar	okedy	NONSTATE_OR_EDGE	STATE	1	F66R_TEXT_BLOCK_01	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	7	8	NO	NO	OK+AL	NONSTATE_CARD	9	8	UNIQUE_FORCED_EXACT	4	11	6	UNIQUE_FORCED_EXACT	4	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
8	otchdy	G515-E0551	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f66r	f66r	f66r.76	SOURCE_SECTION_T	TEXT_BLOCK	T	B	5	9	9	LINE_FINAL	1.000000	f66r:P6	7	13	NO	NO	qotal	EDGE	STATE	NONSTATE_OR_EDGE	1	F66R_TEXT_BLOCK_05	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_FINAL	5	5	NO	YES	OT+CHD+DY	STATE_CARD	9	9	UNIQUE_FORCED_EXACT	9	11	7	NO_EXACT_ALIGNMENT	NA	NO	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
9	okal	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1804	LOCAL_ADDRESS_OR_LABEL	OUTSIDE_27_PAGE_TRAIN	f67r2	f67r2	f67r2.22	CELESTIAL	RADIAL_ARRAY	A	UNMARKED	4	1	1	LINE_SINGLETON	0.000000	f67r2:P4	4	4	NO	NO	EDGE	EDGE	NA	NA	NA	zwei lokale Himmelsraeder	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	UNIQUE_FORCED_EXACT	1	1	1	UNIQUE_FORCED_EXACT	1	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
10	otchdy	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1985	LOCAL_ADDRESS_OR_LABEL	OUTSIDE_27_PAGE_TRAIN	f68r1	f68r1	f68r1.23	CELESTIAL	RADIAL_ARRAY	A	UNMARKED	4	1	1	LINE_SINGLETON	0.000000	f68r1:P1	23	37	NO	NO	EDGE	EDGE	NA	NA	NA	mehrteiliger Sternatlas mit lokalen Zentren	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NO_EXACT_ALIGNMENT	NA	1	0	NO_EXACT_ALIGNMENT	NA	NO	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
