target_surface	comparison_surface	comparison_kind	surface_length	running_count	running_page_count	outside_running_count	outside_running_page_count	held_running_count	outside_line_initial_count	outside_line_internal_count	outside_line_final_count	outside_line_internal_rate	held_line_initial_count	held_line_internal_count	held_line_final_count	local_count	local_page_count	local_topology_count	singleton_local_count	singleton_local_page_count	singleton_local_topology_count	outside_local_count	outside_local_page_count	outside_local_topology_count	outside_singleton_local_count	outside_singleton_local_page_count	outside_singleton_local_topology_count	held_local_count	held_singleton_local_count	outside_language_distribution	outside_hand_distribution	outside_register_distribution	outside_state_status_distribution	outside_parser_statement_first_count	outside_parser_statement_final_count	outside_parser_singleton_count	outside_embedded_statement_first_count	outside_embedded_statement_first_rate	outside_adjacent_state_any_count	outside_adjacent_state_both_count	outside_adjacent_state_both_rate	all_parser_statement_final_count	all_parser_statement_final_rate	all_physical_line_final_count	all_physical_line_final_rate	component_export_credit	control_reason
otedy	otedy	TARGET	5	18	9	13	6	5	0	12	1	0.923077	2	3	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	B:13	2:12|3:1	BIOLOGICAL:11|HERBAL:2	STATE_CARD:13	7	13	7	7	0.538462	11	7	0.538462	18	1.000000	1	0.055556	ZERO	complete whole selected by GDT791 exact image/prose reuse
otedy	qotedy	MATCHED_CONTROL	6	19	9	7	6	12	0	7	0	1.000000	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B:7	2:6|5:1	BIOLOGICAL:5|HERBAL:1|SOURCE_SECTION_T:1	STATE_CARD:7	3	7	3	3	0.428571	6	3	0.428571	19	1.000000	2	0.105263	ZERO	same edy-ending language-B whole and matched frequency
otedy	qoteedy	MATCHED_CONTROL	7	19	6	3	3	16	0	3	0	1.000000	4	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B:3	2:3	BIOLOGICAL:3	STATE_CARD:3	1	3	1	1	0.333333	3	0	0.000000	19	1.000000	1	0.052632	ZERO	same broad terminal family language-B whole and matched frequency
otedy	oteedy	FAMILY_CONTROL	6	9	5	8	4	1	0	8	0	1.000000	0	1	0	2	1	1	0	0	0	2	1	1	0	0	0	0	0	B:5|UNMARKED:3	2:3|4:3|5:2	BIOLOGICAL:3|CELESTIAL:3|SOURCE_SECTION_T:2	STATE_CARD:8	2	8	2	2	0.250000	4	2	0.250000	9	1.000000	0	0.000000	ZERO	E versus EE field contrast without q shell
otedy	okedy	MATCHED_CONTROL	5	19	8	17	6	2	0	16	1	0.941176	0	2	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	B:17	2:12|3:1|5:4	BIOLOGICAL:9|HERBAL:4|SOURCE_SECTION_T:4	STATE_CARD:17	3	17	3	3	0.176471	10	2	0.117647	19	1.000000	1	0.052632	ZERO	edy-ending language-B whole and matched frequency
otedy	sheedy	MATCHED_CONTROL	6	18	10	12	7	6	1	11	0	0.916667	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A:1|B:10|UNMARKED:1	1:1|2:9|4:1|5:1	BIOLOGICAL:9|CELESTIAL:1|PHARMA:1|SOURCE_SECTION_T:1	STATE_CARD:12	3	12	3	2	0.166667	8	2	0.166667	18	1.000000	0	0.000000	ZERO	edy-ending near-matched frequency whole
otedy	otol	FAMILY_CONTROL	4	8	8	8	8	0	1	7	0	0.875000	0	0	0	2	2	2	2	2	2	1	1	1	1	1	1	1	1	A:7|B:1	1:7|2:1	BIOLOGICAL:1|HERBAL:4|PHARMA:2|SOURCE_SECTION_T:1	STATE_CARD:8	1	0	0	1	0.125000	6	0	0.000000	0	0.000000	0	0.000000	ZERO	f77 coordinate-label sister without DY closure
otedy	dshedy	POSITION_CONTROL	6	10	6	7	4	3	7	0	0	0.000000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B:7	2:7	BIOLOGICAL:7	STATE_CARD:7	1	7	1	0	0.000000	2	0	0.000000	10	1.000000	0	0.000000	ZERO	true physical line-opener control
otedy	pchedy	POSITION_CONTROL	6	11	7	9	5	2	5	4	0	0.444444	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B:9	2:8|5:1	BIOLOGICAL:8|SOURCE_SECTION_T:1	STATE_CARD:9	0	9	0	0	0.000000	4	0	0.000000	11	1.000000	0	0.000000	ZERO	frequent physical line-opener control
otedy	qokedy	REGISTER_CONTROL	6	60	11	39	8	21	5	34	0	0.871795	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A:1|B:38	1:1|2:36|3:1|5:1	BIOLOGICAL:32|HERBAL:5|PHARMA:1|SOURCE_SECTION_T:1	STATE_CARD:39	21	39	21	19	0.487179	31	15	0.384615	60	1.000000	0	0.000000	ZERO	frequent language-B DY control
