target_surface	metric	evidence_channel	control_deck	target_outside_rate	control_min_rate	control_median_rate	control_max_rate	strictly_beaten_controls	tied_controls	higher_controls	seven_of_eight_control_gate	held_deep_rate	held_matches_or_exceeds_60_percent	semantic_credit
otedy	PHYSICAL_LINE_INTERNAL	PRIMARY_PHYSICAL	LANGUAGE_FREQUENCY	0.923077	0.444444	0.789474	0.941176	7	0	1	PASS	0.600000	YES	PRIMARY_ROLE_ONLY
otedy	PHYSICAL_LINE_INTERNAL	PRIMARY_PHYSICAL	PARSER_SHAPE	0.923077	0.000000	0.849003	1.000000	6	0	2	FAIL	0.600000	YES	PRIMARY_ROLE_ONLY
otedy	EMBEDDED_STATEMENT_FIRST	MIXED_PHYSICAL_PLUS_PARSER	LANGUAGE_FREQUENCY	0.538462	0.000000	0.220647	0.315789	8	0	0	PASS	0.200000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
otedy	EMBEDDED_STATEMENT_FIRST	MIXED_PHYSICAL_PLUS_PARSER	PARSER_SHAPE	0.538462	0.000000	0.203620	0.518519	8	0	0	PASS	0.200000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
otedy	BOTH_ADJACENT_STATE_CARDS	PARSER_COUPLED_NEIGHBOR_STATE	LANGUAGE_FREQUENCY	0.538462	0.000000	0.088461	0.117647	8	0	0	PASS	0.400000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
otedy	BOTH_ADJACENT_STATE_CARDS	PARSER_COUPLED_NEIGHBOR_STATE	PARSER_SHAPE	0.538462	0.000000	0.097285	0.428571	8	0	0	PASS	0.400000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
okal	PHYSICAL_LINE_INTERNAL	PRIMARY_PHYSICAL	LANGUAGE_FREQUENCY	0.928571	0.416667	0.853536	0.916667	8	0	0	PASS	1.000000	YES	PRIMARY_ROLE_ONLY
okal	PHYSICAL_LINE_INTERNAL	PRIMARY_PHYSICAL	PARSER_SHAPE	0.928571	0.473684	0.853536	0.916667	8	0	0	PASS	1.000000	YES	PRIMARY_ROLE_ONLY
okal	EMBEDDED_STATEMENT_FIRST	MIXED_PHYSICAL_PLUS_PARSER	LANGUAGE_FREQUENCY	0.285714	0.000000	0.087121	0.125000	8	0	0	PASS	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
okal	EMBEDDED_STATEMENT_FIRST	MIXED_PHYSICAL_PLUS_PARSER	PARSER_SHAPE	0.285714	0.000000	0.087121	0.125000	8	0	0	PASS	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
okal	BOTH_ADJACENT_STATE_CARDS	PARSER_COUPLED_NEIGHBOR_STATE	LANGUAGE_FREQUENCY	0.000000	0.000000	0.090278	0.181818	0	2	6	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
okal	BOTH_ADJACENT_STATE_CARDS	PARSER_COUPLED_NEIGHBOR_STATE	PARSER_SHAPE	0.000000	0.000000	0.100962	0.181818	0	1	7	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
otchdy	PHYSICAL_LINE_INTERNAL	PRIMARY_PHYSICAL	LANGUAGE_FREQUENCY	0.500000	0.000000	1.000000	1.000000	1	2	5	FAIL	0.000000	NO	PRIMARY_ROLE_ONLY
otchdy	PHYSICAL_LINE_INTERNAL	PRIMARY_PHYSICAL	PARSER_SHAPE	0.500000	0.000000	0.750000	1.000000	1	3	4	FAIL	0.000000	NO	PRIMARY_ROLE_ONLY
