target_surface	deck	control_rank	control_surface	matching_distance	target_outside_count	control_outside_count	target_outside_pages	control_outside_pages	parser_class	control_outside_internal_rate	control_embedded_statement_first_rate	control_adjacent_state_both_rate	control_component_export_credit
otedy	LANGUAGE_FREQUENCY	1	lchedy	0.471930	13	13	6	5	HIGH_STATEMENT_FINAL	0.846154	0.307692	0.076923	ZERO__WHOLE_ONLY_COMPARISON
otedy	LANGUAGE_FREQUENCY	2	okeedy	0.611691	13	13	6	7	HIGH_STATEMENT_FINAL	0.769231	0.230769	0.000000	ZERO__WHOLE_ONLY_COMPARISON
otedy	LANGUAGE_FREQUENCY	3	qokey	0.677482	13	19	6	7	HIGH_STATEMENT_FINAL	0.789474	0.210526	0.105263	ZERO__WHOLE_ONLY_COMPARISON
otedy	LANGUAGE_FREQUENCY	4	okedy	0.753234	13	17	6	6	HIGH_STATEMENT_FINAL	0.941176	0.176471	0.117647	ZERO__WHOLE_ONLY_COMPARISON
otedy	LANGUAGE_FREQUENCY	5	pchedy	0.781912	13	9	6	5	HIGH_STATEMENT_FINAL	0.444444	0.000000	0.000000	ZERO__WHOLE_ONLY_COMPARISON
otedy	LANGUAGE_FREQUENCY	6	qokal	0.782745	13	19	6	7	HIGH_STATEMENT_FINAL	0.789474	0.315789	0.105263	ZERO__WHOLE_ONLY_COMPARISON
otedy	LANGUAGE_FREQUENCY	7	okain	0.799960	13	16	6	6	HIGH_STATEMENT_FINAL	0.875000	0.062500	0.000000	ZERO__WHOLE_ONLY_COMPARISON
otedy	LANGUAGE_FREQUENCY	8	qokaiin	0.868737	13	10	6	4	HIGH_STATEMENT_FINAL	0.700000	0.300000	0.100000	ZERO__WHOLE_ONLY_COMPARISON
otedy	PARSER_SHAPE	1	lchedy	0.471930	13	13	6	5	HIGH_STATEMENT_FINAL	0.846154	0.307692	0.076923	ZERO__WHOLE_ONLY_COMPARISON
otedy	PARSER_SHAPE	2	okeedy	0.611691	13	13	6	7	HIGH_STATEMENT_FINAL	0.769231	0.230769	0.000000	ZERO__WHOLE_ONLY_COMPARISON
otedy	PARSER_SHAPE	3	okedy	0.753234	13	17	6	6	HIGH_STATEMENT_FINAL	0.941176	0.176471	0.117647	ZERO__WHOLE_ONLY_COMPARISON
otedy	PARSER_SHAPE	4	pchedy	0.781912	13	9	6	5	HIGH_STATEMENT_FINAL	0.444444	0.000000	0.000000	ZERO__WHOLE_ONLY_COMPARISON
otedy	PARSER_SHAPE	5	qotedy	0.899994	13	7	6	6	HIGH_STATEMENT_FINAL	1.000000	0.428571	0.428571	ZERO__WHOLE_ONLY_COMPARISON
otedy	PARSER_SHAPE	6	dshedy	1.047781	13	7	6	4	HIGH_STATEMENT_FINAL	0.000000	0.000000	0.000000	ZERO__WHOLE_ONLY_COMPARISON
otedy	PARSER_SHAPE	7	sheedy	1.120441	13	12	6	7	HIGH_STATEMENT_FINAL	0.916667	0.166667	0.166667	ZERO__WHOLE_ONLY_COMPARISON
otedy	PARSER_SHAPE	8	qokeedy	1.133059	13	27	6	5	HIGH_STATEMENT_FINAL	0.851852	0.518519	0.370370	ZERO__WHOLE_ONLY_COMPARISON
okal	LANGUAGE_FREQUENCY	1	otar	0.725293	14	18	10	9	LOW_STATEMENT_FINAL	0.888889	0.111111	0.055556	ZERO__WHOLE_ONLY_COMPARISON
