target_surface	candidate_rank	candidate_role	candidate_gloss_de	prediction	status_before_scoring	status_after_scoring	evidence	counterevidence	confidence	preregistered_gate_result	semantic_discrimination_result	renderer_license	semantic_credit	lexeme_confirmed	component_export_credit
okal	1	TARGET_OR_REFERENCE_ADDRESS	Ziel-/Bezugsstelle	standalone array labels plus internal prose reference across owners and topologies	C0_BOLD	PREREGISTERED_TRIGGER_PASS__SEMANTICALLY_UNDERDETERMINED__NOT_SELECTED	4 singleton labels/3 pages/2 topologies; 15/16 prose uses line-internal (13/14 outside, 2/2 held); 4 same-page cross-owner edges	all-30 rank leaks held labels; edges have zero semantic credit; address, class, and addressed-member predictions tie	C0_EXPLORATORY_HYPOTHESIS	PASS_RAW_OBSERVABLES	UNDERDETERMINED	NO	ZERO	NO	ZERO
okal	2	LABEL_OR_CLASS_IDENTIFIER	Stellenkennung oder Klasse	repeated identical labels are generic rather than unique names	C0_ACTIVE_RIVAL	ACTIVE_UNDISCRIMINATED_C0_RIVAL__STRUCTURAL_OVERLAY_ONLY__NOT_SELECTED	same exact whole is a singleton label on four loci and a line-internal running form at 15/16 loci	label-compatible form is established, but identifier/class plaintext is not	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
okal	3	ADDRESSED_MEMBER	adressiertes Mitglied oder Eintrag	labels select members and prose refers to selected member	C0_ACTIVE_RIVAL	ACTIVE_UNDISCRIMINATED_C0_RIVAL__NOT_SELECTED	same complete-whole cross-scope geometry	not distinguished from address or class; no lexical anchor	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
okal	4	PROPER_NAME	Eigenname	exact label and prose identity names the same entity	C0_WEAK_RIVAL	ACTIVE_UNDISCRIMINATED_C0_RIVAL__NOT_SELECTED	limited compatibility	cross-register repeated-label geometry is not distinctive for this reading	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
okal	5	GRADE_OR_STAGE	Stufe oder Grad	internal formula field and ordered graphical positions	C0_WEAK_RIVAL	ACTIVE_UNDISCRIMINATED_C0_RIVAL__NOT_SELECTED	limited compatibility	cross-register repeated-label geometry is not distinctive for this reading	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
okal	6	NUMBER	Zahl oder Ordinal	repeated labels encode a numerical value	C0_WEAK_RIVAL	ACTIVE_UNDISCRIMINATED_C0_RIVAL__NOT_SELECTED	limited compatibility	cross-register repeated-label geometry is not distinctive for this reading	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
otedy	1	BOUNDED_E_FIELD	begrenztes Zustands- oder Wertfeld	stable OT-E-DY parser cell but not a physical record boundary	C0_BOLD_STRUCTURAL_RIVAL__PARSER_COUPLED	BOLD_C0_STRUCTURAL_RIVAL__NOT_SELECTED	18/18 parser-final but only 1/18 physical-line-final; 9 singleton and 9 attached fields	DY parser coupling has zero independent semantic credit; only 10/18 running wholes all-reader exact	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
otedy	2	PORT_OR_CONDUIT_STATUS_REFERENCE	Statuscode einer Öffnungs- oder Leitungsstelle	f77r label is attached to an inner apparatus port and the next visible record reuses the whole	C0_BOLD_VISUAL_RIVAL	BOLD_C0_VISUAL_RIVAL__F77_SPECIFIC__NOT_SELECTED	reader-stable f77 inner-port label and next visible record reuse	one port; zero outside local labels; Currier-B confounding	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
otedy	3	SCALAR_OR_GRADE_VALUE	Skalar- oder Gradwert	E/EE families may contrast bounded values without encoding a cardinal number	C0_ACTIVE_RIVAL	ACTIVE_C0_RIVAL__NOT_SELECTED	complete-whole role compatibility	insufficient independent capacity	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
otedy	4	LABEL_OR_PROPER_NAME	Kennung oder Name	standalone label and running reuse without a consistent physical boundary	C0_WEAK_RIVAL	ACTIVE_C0_RIVAL__NOT_SELECTED	complete-whole role compatibility	insufficient independent capacity	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
otedy	5	NUMBER_OR_ORDINAL	zweite Stelle oder Ordinal	f77r label occupies the analyst-numbered second inner port	C0_WEAK_RIVAL	ACTIVE_C0_RIVAL__NOT_SELECTED	complete-whole role compatibility	insufficient independent capacity	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
otchdy	1	FIGURE_OR_ZONE_IDENTIFIER	Figuren- oder Zonenkennung	local radial and body-zone labels plus sparse prose reuse	C0_LOW_CAPACITY	ACTIVE_C0_RIVAL__NOT_SELECTED	complete-whole role compatibility	insufficient independent capacity	C0_EXPLORATORY_HYPOTHESIS	NOT_APPLICABLE	UNDERDETERMINED	NO	ZERO	NO	ZERO
