target_surface	comparison_surface	comparison_kind	surface_length	running_count	running_page_count	outside_running_count	outside_running_page_count	held_running_count	outside_line_initial_count	outside_line_internal_count	outside_line_final_count	outside_line_internal_rate	held_line_initial_count	held_line_internal_count	held_line_final_count	local_count	local_page_count	local_topology_count	singleton_local_count	singleton_local_page_count	singleton_local_topology_count	outside_local_count	outside_local_page_count	outside_local_topology_count	outside_singleton_local_count	outside_singleton_local_page_count	outside_singleton_local_topology_count	held_local_count	held_singleton_local_count	outside_language_distribution	outside_hand_distribution	outside_register_distribution	outside_state_status_distribution	outside_parser_statement_first_count	outside_parser_statement_final_count	outside_parser_singleton_count	outside_embedded_statement_first_count	outside_embedded_statement_first_rate	outside_adjacent_state_any_count	outside_adjacent_state_both_count	outside_adjacent_state_both_rate	all_parser_statement_final_count	all_parser_statement_final_rate	all_physical_line_final_count	all_physical_line_final_rate	component_export_credit	cross_scope_rank	target_flag	outside_train_eligible	outside_train_cross_scope_rank	outside_train_multichar_rank
okal	okal	UNIVERSAL_3_TO_25_RUNNING	4	16	11	14	10	2	0	13	1	0.928571	0	2	0	4	3	2	4	3	2	3	2	1	3	2	1	1	1	A:2|B:10|UNMARKED:2	1:2|2:8|3:1|4:2|5:1	BIOLOGICAL:6|CELESTIAL:2|HERBAL:5|SOURCE_SECTION_T:1	NONSTATE_CARD:14	4	0	0	4	0.285714	7	0	0.000000	0	0.000000	1	0.062500	ZERO	1	YES	YES	4	2
otol	otol	UNIVERSAL_3_TO_25_RUNNING	4	8	8	8	8	0	1	7	0	0.875000	0	0	0	2	2	2	2	2	2	1	1	1	1	1	1	1	1	A:7|B:1	1:7|2:1	BIOLOGICAL:1|HERBAL:4|PHARMA:2|SOURCE_SECTION_T:1	STATE_CARD:8	1	0	0	1	0.125000	6	0	0.000000	0	0.000000	0	0.000000	ZERO	2	NO	YES	20	16
dary	dary	UNIVERSAL_3_TO_25_RUNNING	4	6	5	4	4	2	0	1	2	0.250000	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0	A:1|B:2|UNMARKED:1	1:1|2:1|4:1|5:1	CELESTIAL:1|HERBAL:2|SOURCE_SECTION_T:1	NONSTATE_CARD:4	0	0	0	0	0.000000	0	0	0.000000	0	0.000000	3	0.500000	ZERO	3	NO	YES	1	1
otchdy	otchdy	UNIVERSAL_3_TO_25_RUNNING	6	3	3	2	2	1	0	1	1	0.500000	1	0	0	2	2	2	2	2	2	1	1	1	1	1	1	1	1	B:2	3:1|5:1	HERBAL:1|SOURCE_SECTION_T:1	STATE_CARD:2	0	2	0	0	0.000000	2	0	0.000000	3	1.000000	1	0.333333	ZERO	4	YES	NO	NA	NA
o	o	UNIVERSAL_3_TO_25_RUNNING	1	19	10	18	9	1	2	16	0	0.888889	0	1	0	12	6	3	6	2	1	11	5	2	6	2	1	1	0	A:9|B:2|UNMARKED:7	1:9|2:2|4:7	BIOLOGICAL:2|CELESTIAL:7|HERBAL:6|PHARMA:2|SOURCE_SECTION_T:1	NONSTATE_CARD:18	1	0	0	0	0.000000	6	1	0.055556	0	0.000000	0	0.000000	ZERO	5	NO	YES	2	NA
d	d	UNIVERSAL_3_TO_25_RUNNING	1	13	9	11	7	2	0	8	3	0.727273	2	0	0	6	3	2	5	2	1	6	3	2	5	2	1	0	0	A:10|UNMARKED:1	1:10|4:1	CELESTIAL:1|HERBAL:8|SOURCE_SECTION_T:2	NONSTATE_CARD:11	0	0	0	0	0.000000	4	0	0.000000	0	0.000000	3	0.230769	ZERO	6	NO	YES	3	NA
otar	otar	UNIVERSAL_3_TO_25_RUNNING	4	18	9	18	9	0	0	16	2	0.888889	0	0	0	9	5	2	2	2	1	9	5	2	2	2	1	0	0	A:1|B:13|UNMARKED:4	1:1|2:11|3:2|4:4	BIOLOGICAL:9|CELESTIAL:4|HERBAL:5	STATE_CARD:18	2	0	0	2	0.111111	10	1	0.055556	0	0.000000	2	0.111111	ZERO	7	NO	YES	5	3
r	r	UNIVERSAL_3_TO_25_RUNNING	1	24	15	18	12	6	0	17	1	0.944444	1	5	0	2	2	1	2	2	1	2	2	1	2	2	1	0	0	A:7|B:9|UNMARKED:2	1:7|2:7|4:2|5:2	BIOLOGICAL:6|CELESTIAL:2|HERBAL:4|PHARMA:3|SOURCE_SECTION_T:3	NONSTATE_CARD:18	0	0	0	0	0.000000	4	1	0.055556	0	0.000000	1	0.041667	ZERO	8	NO	YES	6	NA
l	l	UNIVERSAL_3_TO_25_RUNNING	1	17	10	14	7	3	1	13	0	0.928571	0	3	0	2	2	1	2	2	1	2	2	1	2	2	1	0	0	A:1|B:12|UNMARKED:1	1:1|2:11|4:1|5:1	BIOLOGICAL:11|CELESTIAL:1|PHARMA:1|SOURCE_SECTION_T:1	NONSTATE_CARD:14	0	0	0	0	0.000000	7	1	0.071429	0	0.000000	0	0.000000	ZERO	9	NO	YES	7	NA
sh	sh	UNIVERSAL_3_TO_25_RUNNING	2	4	4	3	3	1	1	2	0	0.666667	0	1	0	2	1	1	2	1	1	2	1	1	2	1	1	0	0	A:3	1:3	HERBAL:2|SOURCE_SECTION_T:1	NONSTATE_CARD:3	0	0	0	0	0.000000	1	0	0.000000	0	0.000000	0	0.000000	ZERO	10	NO	YES	8	4
