surface	occurrence_count	physical_pages	gdt516_context_recipe	parsed	candidate_count_capped	candidate_cap_reached	gdt516_recipe_rank	recovery_class	top1_recipe	top1_literal_de	top1_chunk_count	top1_score	top1_path	candidate_1_recipe	candidate_2_recipe	candidate_3_recipe	candidate_4_recipe	candidate_5_recipe
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	48	NO	6	DEEP_FINITE_ALTERNATIVE	AIIN+CH+T+Y	WERT · NEHMEN · EINSTELLEN · POSTEN	2	5.493657	aii=AIIN@0.5333/16 | cthy=CH+T+Y@0.9870/76	AIIN+CH+T+Y	IIN+CH+T+Y	AIIN+LOCAL_C+T+Y	IIN+LOCAL_C+T+Y	A_ADDR+IIN+CH+T+Y
akar	1	f66r	A_ADDR+K+AR	YES	11	NO	1	TOP1_EXACT	A_ADDR+K+AR	HIER · GEBEN · AUSGANG	2	7.746405	a=A_ADDR@0.9237/121 | kar=K+AR@1.0000/29	A_ADDR+K+AR	K+A_ADDR+AR	A_ADDR+K+A_ADDR+R	A_ADDR+K+R	K+A_ADDR+A_ADDR+R
alkey	1	f66r	AL+K+E+Y	YES	6	NO	1	TOP1_EXACT	AL+K+E+Y	ZIELORT · GEBEN · GRAD I · POSTEN	2	7.998412	al=AL@0.9202/519 | key=K+E+Y@0.9167/11	AL+K+E+Y	A_ADDR+L+K+E+Y	AL+CH+Y+K+E	A_ADDR+L+CH+Y+K+E	A_ADDR+AL+K+E+Y
axor	1	f66r	A_ADDR+LOCAL_X+OR	YES	3	NO	1	TOP1_EXACT	A_ADDR+LOCAL_X+OR	HIER · [LOCAL_X:LOKAL] · EINHEIT	3	19.524584	a=A_ADDR@0.9237/121 | x=LOCAL_X@1.0000/10000 | or=OR@0.9593/424	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+O+R	A_ADDR+LOCAL_X+O+AR	NONE	NONE
c	1	f66r	LOCAL_C	YES	2	NO	1	TOP1_EXACT	LOCAL_C	[LOCAL_C:LOKAL]	1	8.898300	c=LOCAL_C@0.8994/10000	LOCAL_C	CH	NONE	NONE	NONE
chady	1	f66r	CH+A_ADDR+DY	YES	23	NO	5	FINITE_TOP5_ALTERNATIVE	CH+A_ADDR+Y	NEHMEN · HIER · POSTEN	2	7.839377	ch=CH@0.9536/1255 | ady=A_ADDR+Y@1.0000/2	CH+A_ADDR+Y	CH+DY	CH+D_ADDR+Y	CH+Y	CH+A_ADDR+DY
chap	1	f66r	CH+A_ADDR+P	YES	5	NO	2	FINITE_TOP5_ALTERNATIVE	CH+P	NEHMEN · EINSETZEN	2	8.050462	cha=CH@0.8333/15 | p=P@0.9612/372	CH+P	CH+A_ADDR+P	LOCAL_C+A_ADDR+P	LOCAL_C+SH+A_ADDR+P	CH+SH+A_ADDR+P
chckhedy	1	f66r	CH+CH+K+E+DY	YES	143	NO	1	TOP1_EXACT	CH+CH+K+E+DY	NEHMEN · NEHMEN · GEBEN · GRAD I · SCHLUSS	2	8.851649	ch=CH@0.9536/1255 | ckhedy=CH+K+E+DY@0.9167/11	CH+CH+K+E+DY	CH+K+E+DY	CH+K+SH+E+DY	CH+CH+K+E+D_ADDR+Y	CH+CH+K+E+Y
chcpheor	1	f66r	CH+CH+P+E+OR	YES	90	NO	1	TOP1_EXACT	CH+CH+P+E+OR	NEHMEN · NEHMEN · EINSETZEN · GRAD I · EINHEIT	2	7.260696	chcphe=CH+CH+P+E@1.0000/5 | or=OR@0.9593/424	CH+CH+P+E+OR	CH+CH+P+E+O+R	CH+CH+P+E+O+DY	CH+CH+P+SH+E+OR	LOCAL_C+CH+P+E+OR
chctho	1	f66r	CH+CH+T+O	YES	31	NO	1	TOP1_EXACT	CH+CH+T+O	NEHMEN · NEHMEN · EINSTELLEN · AUSFÜHRUNG	2	10.266844	chcth=CH+CH+T@0.9302/40 | o=O@0.9497/1340	CH+CH+T+O	CH+CH+T+O+D_ADDR	CH+T+O	CH+CH+T+SH+O	CH+O+CH+T
cheda	1	f31r	CHD+A_ADDR	YES	34	NO	1	TOP1_EXACT	CHD+A_ADDR	BEARBEITEN · HIER	2	9.588147	ched=CHD@0.9780/178 | a=A_ADDR@0.9237/121	CHD+A_ADDR	CH+E+DA	CHD+DA	CH+E+D_ADDR	CH+DA
