surface_option_id	surface	execution_domain	finite_recipe_option_count_for_surface_domain	record_roles	exact_event_recipe	reading_variant_count	surface_default_reading_de	event_count	physical_pages	owners_de	source_event_ids	lookup_policy
G517-S0001	a	LOCAL_RECORD	1	LOCAL_CLASS_OR_NAME_CARD	A_ADDR	1	LOKALE KENNUNG BEI drei getrennte heterogene Himmelsraeder: [A_ADDR:LOKALSTRUKTUR=HIER]	1	f69v	drei getrennte heterogene Himmelsraeder	P912-E2099	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0002	adal	PROSE_STREAM	1	RUNNING_RECIPE_CARD	A_ADDR+AL	1	ABLAUF BEI Tierkreis-Ringgruppe A: [A_ADDR:STEUERUNG=HIER] · ZIELORT	1	f72r	Tierkreis-Ringgruppe A	P1008-E0121	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0003	aiicthy	PROSE_STREAM	1	ORDERED_INSTRUCTION_CARD	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	1	ANWEISUNG BEI abgebildete Ganzpflanze auf f31r: [A_ADDR:STEUERUNG=HIER] · [LOCAL_CHAR_I:STEUERUNG=VARIANTE] · [LOCAL_CHAR_I:STEUERUNG=VARIANTE] · NEHMEN · EINSTELLEN · POSTEN	1	f31r	abgebildete Ganzpflanze auf f31r	G515-E0253	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0004	aiin	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD|STAR_BEARING_RING_POSITION	AIIN	3	EREIGNISKONTEXT_WAEHLT_AUS_3_LESARTEN	4	f69v|f70v|f72r	Fischrad mit Stern tragenden Figuren | drei getrennte heterogene Himmelsraeder | lokale Kennung für Tierkreis-Ringgruppe G	P912-E2057|P912-E2250|P912-E2359|P1008-E0355	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0005	aiin	PROSE_STREAM	1	COORDINATE_OR_CATALOGUE_CARD|RUNNING_RECIPE_CARD	AIIN	33	EREIGNISKONTEXT_WAEHLT_AUS_33_LESARTEN	63	f10r|f20v|f31r|f4r|f55v|f56r|f66r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	F95V_WHOLE_PLANT | Gefäß-/Pflanzenteilgruppe B | Gefäß-/Pflanzenteilgruppe C | Gefäß-/Pflanzenteilgruppe D | Gefäß-/Pflanzenteilgruppe F | Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen | Tierkreis-Ringgruppe A | Tierkreis-Ringgruppe C | Tierkreis-Ringgruppe D | Tierkreis-Ringgruppe E | Tierkreis-Ringgruppe G | Tierkreis-Ringgruppe H | Tierkreis-Ringgruppe J | Variantenatlas lokaler Becken und Anwendungen | abgebildete Ganzpflanze auf f20v | abgebildete Ganzpflanze auf f31r | abgebildete Ganzpflanze auf f4r | erste Gefaess-/Zutatengruppe | erste lokale Figuren-/Sternringgruppe | gemeinsames zweireihiges Badfeld | große aromatische Doldenpflanze | mehrere getrennte Bad- und Leitungsstationen | sechzehn Drogenposten und drei Gefäßansätze | sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer | stachelköpfiges Kraut in mehreren Reifestufen | unbebilderter Textabschnitt A2 | unbebilderter Textabschnitt A4 | unbebilderter Textabschnitt A7 | unbebilderter Textabschnitt C | unbebilderter Textabschnitt D | zwei getrennte Himmelsräder und Tabelle | zweiknolliges blauköpfiges Heilkraut | zweite Gefaess-/Zutatengruppe	P912-E0036|P912-E0247|P912-E0300|P912-E0307|P912-E0320|P912-E0332|P912-E0431|P912-E1816|P912-E1855|P912-E1860|P912-E1872|P912-E1932|P1003-E0584|P1008-E0102|P1008-E0113|P1008-E0124|P1008-E0185|P1008-E0196|P1008-E0226|P1008-E0260|P1008-E0278|P1008-E0329|P1008-E0380|P1008-E0461|P1008-E0467|P1008-E0544|P1008-E0608|P1008-E0734|P1008-E0942|P1008-E1020|P1003-E0363|P912-E0917|P912-E1237|P912-E1328|P912-E1489|P912-E1494|P912-E1666|P912-E1680|P912-E1727|P912-E2385|P912-E2441|P912-E2444|P912-E2478|P1003-E0424|P1003-E0449|P1003-E0531|P1008-E1113|P1008-E1158|P1008-E1200|P1008-E1350|P1008-E1388|G404-E0535|G404-E0552|G404-E0669|G404-E0676|G515-E0052|G515-E0096|G515-E0115|G515-E0155|G515-E0163|G515-E0173|G515-E0194|G515-E0563	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0006	aiiny	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AIIN+Y	1	ABLAUF BEI unbebilderter Textabschnitt A0: WERT · POSTEN	1	f76r	unbebilderter Textabschnitt A0	P1008-E0505	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0007	aildy	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD	A_ADDR+IIN+L+DY	1	KOORDINATE/KATALOGEINTRAG BEI Fischrad mit Stern tragenden Figuren: [A_ADDR:LOKALSTRUKTUR=HIER] · [IIN:STEUERUNG=STUFE] · VERBINDUNG · [DY:STEUERUNG=SCHLUSS]	1	f70v	Fischrad mit Stern tragenden Figuren	P912-E2343	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0008	ain	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AIN	13	EREIGNISKONTEXT_WAEHLT_AUS_13_LESARTEN	22	f1r|f55v|f67r2|f75r|f76r|f77r|f81r|f88v|f89r	F1R_TEXT_BLOCK_C | F81R_UPPER_POOL | Gefäß-/Pflanzenteilgruppe F | Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen | große aromatische Doldenpflanze | großes Bad-/Stationsblatt mit dreieckiger Insel | unbebilderter Textabschnitt A0 | unbebilderter Textabschnitt A2 | unbebilderter Textabschnitt A4 | unbebilderter Textabschnitt A6 | unbebilderter Textabschnitt A8 | zwei getrennte Himmelsräder und Tabelle | zweite Gefaess-/Zutatengruppe	G404-E0142|P912-E0242|P912-E0276|P912-E1779|P912-E1796|P912-E0479|P1008-E0490|P1008-E0551|P1008-E0553|P1008-E0556|P1008-E0610|P1008-E0684|P1008-E0720|P1008-E0772|P1003-E0276|P1003-E0353|P1003-E0388|G404-E0339|G404-E0387|P1003-E0524|P1008-E1396|P1008-E1398	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0009	ainaly	LOCAL_RECORD	1	STAR_BEARING_RING_POSITION	LOCAL_LABEL_PACKAGE::G473-E077	1	[STERNSTELLENNAME:ain] · ZIELORT · POSTEN	1	f72r	lokale Kennung für Tierkreis-Ringgruppe E	P1008-E0286	EVENT_PACKAGE_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0010	ainam	LOCAL_RECORD	1	STAR_BEARING_RING_POSITION	AIN+AM_ADDR	1	ANTEIL · HIER	1	f72r	lokale Kennung für Tierkreis-Ringgruppe A	P1008-E0141	EVENT_PACKAGE_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
