model	iteration	accepted_high_confidence_chunks	new_residual_derivations	ambiguity_lock_rejections	visible_chunk_count	mapping_count
OLD26_RUNNING	0	2826	8122	0	3579	4848
OLD26_RUNNING	1	3120	3794	13	4101	5549
OLD26_RUNNING	2	3602	3315	14	4248	5799
OLD26_RUNNING	3	3718	1440	3	4295	5892
OLD26_RUNNING	4	3764	648	1	4381	6022
OLD26_RUNNING	5	3841	647	0	4391	6053
OLD26_RUNNING	6	3854	165	0	4394	6056
OLD26_RUNNING	7	3861	111	0	4399	6064
OLD26_RUNNING	8	3864	47	0	4400	6069
OLD26_RUNNING	9	3863	4	0	4402	6071
OLD26_RUNNING	10	3865	9	0	4402	6071
OLD26_RUNNING	11	3865	0	0	4402	6071
CURRENT30_RUNNING	0	3125	9125	0	3939	5317
CURRENT30_RUNNING	1	3445	4375	17	4555	6156
CURRENT30_RUNNING	2	4011	4029	17	4732	6442
CURRENT30_RUNNING	3	4174	1591	3	4757	6520
CURRENT30_RUNNING	4	4179	290	1	4782	6562
CURRENT30_RUNNING	5	4201	162	0	4783	6565
CURRENT30_RUNNING	6	4203	22	0	4783	6565
CURRENT30_RUNNING	7	4204	9	0	4783	6565
CURRENT30_RUNNING	8	4204	0	0	4783	6565
