global_group_id	source_event_id	physical_page	register	locus	source_order	owner_de	surface	group_kind	execution_domain	record_role	exact_event_recipe	portable_function_recipe	working_reading_de	semantic_source	package_status	surface_only_lookup_policy
G407-G0001	G404-E0001	f1r	SOURCE_SECTION_T	f1r.1	1	F1R_TEXT_BLOCK_A	fachys	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	LOCAL_CHAR_F+A_ADDR+CH+Y+S	LOCAL_CHAR_F+A_ADDR+CH+Y+S	ABLAUF BEI F1R_TEXT_BLOCK_A: [LOCAL_CHAR_F:STEUERUNG=HIER] · [A_ADDR:STEUERUNG=HIER] · NEHMEN · POSTEN · WÄHLEN	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0002	G404-E0002	f1r	SOURCE_SECTION_T	f1r.1	2	F1R_TEXT_BLOCK_A	ykal	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	Y+K+AL	Y+K+AL	ABLAUF BEI F1R_TEXT_BLOCK_A: POSTEN · GEBEN · ZIELORT	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0003	G404-E0003	f1r	SOURCE_SECTION_T	f1r.1	3	F1R_TEXT_BLOCK_A	ar	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	AR	AR	ABLAUF BEI F1R_TEXT_BLOCK_A: AUSGANG	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0004	G404-E0004	f1r	SOURCE_SECTION_T	f1r.1	4	F1R_TEXT_BLOCK_A	ataiin	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	A_ADDR+T+AIIN	A_ADDR+T+AIIN	ABLAUF BEI F1R_TEXT_BLOCK_A: [A_ADDR:STEUERUNG=HIER] · EINSTELLEN · WERT	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0005	G404-E0005	f1r	SOURCE_SECTION_T	f1r.1	5	F1R_TEXT_BLOCK_A	shol	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	SH+OL	SH+OL	ABLAUF BEI F1R_TEXT_BLOCK_A: HALTEN · FORTSETZEN	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0006	G404-E0006	f1r	SOURCE_SECTION_T	f1r.1	6	F1R_TEXT_BLOCK_A	shory	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	SH+OR+Y	SH+OR+Y	ABLAUF BEI F1R_TEXT_BLOCK_A: HALTEN · EINHEIT · POSTEN	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0007	G404-E0007	f1r	SOURCE_SECTION_T	f1r.1	7	F1R_TEXT_BLOCK_A	cthres	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	CH+T+R+E+S	CH+T+R+E+S	ABLAUF BEI F1R_TEXT_BLOCK_A: NEHMEN · EINSTELLEN · MARKIEREN · [E:STEUERUNG=GRAD I] · WÄHLEN	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0008	G404-E0008	f1r	SOURCE_SECTION_T	f1r.1	8	F1R_TEXT_BLOCK_A	y	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	Y	Y	ABLAUF BEI F1R_TEXT_BLOCK_A: POSTEN	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0009	G404-E0009	f1r	SOURCE_SECTION_T	f1r.1	9	F1R_TEXT_BLOCK_A	kor	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	K+OR	K+OR	ABLAUF BEI F1R_TEXT_BLOCK_A: GEBEN · EINHEIT	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0010	G404-E0010	f1r	SOURCE_SECTION_T	f1r.1	10	F1R_TEXT_BLOCK_A	sholdy	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	SH+OL+D_ADDR+Y	SH+OL+D_ADDR+Y	ABLAUF BEI F1R_TEXT_BLOCK_A: HALTEN · FORTSETZEN · [D_ADDR:STEUERUNG=HIER] · POSTEN	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0011	G404-E0011	f1r	SOURCE_SECTION_T	f1r.2	11	F1R_TEXT_BLOCK_A	sory	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	S+OR+Y	S+OR+Y	ABLAUF BEI F1R_TEXT_BLOCK_A: WÄHLEN · EINHEIT · POSTEN	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0012	G404-E0012	f1r	SOURCE_SECTION_T	f1r.2	12	F1R_TEXT_BLOCK_A	ckhar	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	CH+K+AR	CH+K+AR	ABLAUF BEI F1R_TEXT_BLOCK_A: NEHMEN · GEBEN · AUSGANG	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0013	G404-E0013	f1r	SOURCE_SECTION_T	f1r.2	13	F1R_TEXT_BLOCK_A	or	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	OR	OR	ABLAUF BEI F1R_TEXT_BLOCK_A: EINHEIT	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0014	G404-E0014	f1r	SOURCE_SECTION_T	f1r.2	14	F1R_TEXT_BLOCK_A	y	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	Y	Y	ABLAUF BEI F1R_TEXT_BLOCK_A: POSTEN	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0015	G404-E0015	f1r	SOURCE_SECTION_T	f1r.2	15	F1R_TEXT_BLOCK_A	kair	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	K+AIR	K+AIR	ABLAUF BEI F1R_TEXT_BLOCK_A: GEBEN · BAHN	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0016	G404-E0016	f1r	SOURCE_SECTION_T	f1r.2	16	F1R_TEXT_BLOCK_A	chtaiin	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	CH+T+AIIN	CH+T+AIIN	ABLAUF BEI F1R_TEXT_BLOCK_A: NEHMEN · EINSTELLEN · WERT	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0017	G404-E0017	f1r	SOURCE_SECTION_T	f1r.2	17	F1R_TEXT_BLOCK_A	shar	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	SH+AR	SH+AR	ABLAUF BEI F1R_TEXT_BLOCK_A: HALTEN · AUSGANG	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
G407-G0018	G404-E0018	f1r	SOURCE_SECTION_T	f1r.2	18	F1R_TEXT_BLOCK_A	ase	RUNNING_EVENT	PROSE_STREAM	RUNNING_RECIPE_CARD	A_ADDR+S+E	A_ADDR+S+E	ABLAUF BEI F1R_TEXT_BLOCK_A: [A_ADDR:STEUERUNG=HIER] · WÄHLEN · [E:STEUERUNG=GRAD I]	GDT407_RUNNING_RECIPE_EDITION	VISIBLE_COMPONENT_RECIPE	INVARIANT_PROSE_SURFACE_RECIPE
