surface	occurrence_count	physical_pages	gdt516_context_recipe	parsed	candidate_count_capped	candidate_cap_reached	gdt516_recipe_rank	recovery_class	top1_recipe	top1_literal_de	top1_chunk_count	top1_score	top1_path	candidate_1_recipe	candidate_2_recipe	candidate_3_recipe	candidate_4_recipe	candidate_5_recipe
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	48	NO	6	DEEP_FINITE_ALTERNATIVE	AIIN+CH+T+Y	WERT · NEHMEN · EINSTELLEN · POSTEN	2	5.493657	aii=AIIN@0.5333/16 | cthy=CH+T+Y@0.9870/76	AIIN+CH+T+Y	IIN+CH+T+Y	AIIN+LOCAL_C+T+Y	IIN+LOCAL_C+T+Y	A_ADDR+IIN+CH+T+Y
chady	1	f66r	CH+A_ADDR+DY	YES	23	NO	5	FINITE_TOP5_ALTERNATIVE	CH+A_ADDR+Y	NEHMEN · HIER · POSTEN	2	7.839377	ch=CH@0.9536/1255 | ady=A_ADDR+Y@1.0000/2	CH+A_ADDR+Y	CH+DY	CH+D_ADDR+Y	CH+Y	CH+A_ADDR+DY
chap	1	f66r	CH+A_ADDR+P	YES	5	NO	2	FINITE_TOP5_ALTERNATIVE	CH+P	NEHMEN · EINSETZEN	2	8.050462	cha=CH@0.8333/15 | p=P@0.9612/372	CH+P	CH+A_ADDR+P	LOCAL_C+A_ADDR+P	LOCAL_C+SH+A_ADDR+P	CH+SH+A_ADDR+P
chekchy	1	f66r	CH+K+CH+Y	YES	108	NO	5	FINITE_TOP5_ALTERNATIVE	CH+K+Y	NEHMEN · GEBEN · POSTEN	1	-0.012318	chekchy=CH+K+Y@0.6667/2	CH+K+Y	Y+CH+K	LOCAL_C+K+Y	CH+E+K+Y	CH+K+CH+Y
chekeey	1	f66r	CH+K+EE+Y	YES	57	NO	2	FINITE_TOP5_ALTERNATIVE	CH+E+K+EE+Y	NEHMEN · GRAD I · GEBEN · GRAD II · POSTEN	2	8.081899	che=CH+E@0.6727/296 | keey=K+EE+Y@0.8909/49	CH+E+K+EE+Y	CH+K+EE+Y	CH+K+E+E+Y	CH+K+E+EE+Y	CHD+K+EE+Y
chekeody	1	f66r	CH+K+E+O+DY	YES	161	NO	2	FINITE_TOP5_ALTERNATIVE	CH+E+K+E+O+DY	NEHMEN · GRAD I · GEBEN · GRAD I · AUSFÜHRUNG · SCHLUSS	2	5.399514	che=CH+E@0.6727/296 | keody=K+E+O+DY@1.0000/2	CH+E+K+E+O+DY	CH+K+E+O+DY	CH+K+E+O+D_ADDR+Y	CH+K+E+O+Y	CHD+K+E+O+DY
cheod	1	f31r	CH+E+O+D_ADDR	YES	24	NO	2	FINITE_TOP5_ALTERNATIVE	CH+E+O	NEHMEN · GRAD I · AUSFÜHRUNG	1	2.709635	cheod=CH+E+O@0.8667/26	CH+E+O	CH+E+O+D_ADDR	LOCAL_C+SH+E+O+D_ADDR	LOCAL_C+E+O	CHD+O+D_ADDR
chepakeo	1	f31r	CH+E+P+A_ADDR+K+E+O	YES	36	NO	2	FINITE_TOP5_ALTERNATIVE	CH+E+P+A_ADDR+OK+E	NEHMEN · GRAD I · EINSETZEN · HIER · SETZEN · GRAD I	3	8.845034	chep=CH+E+P@1.0000/7 | a=A_ADDR@0.9237/121 | keo=OK+E@0.6889/31	CH+E+P+A_ADDR+OK+E	CH+E+P+A_ADDR+K+E+O	CH+E+P+K+A_ADDR+E+O	LOCAL_C+E+P+A_ADDR+OK+E	LOCAL_C+E+P+A_ADDR+K+E+O
chpady	1	f4r	CH+P+A_ADDR+DY	YES	20	NO	3	FINITE_TOP5_ALTERNATIVE	CH+P+A_ADDR+Y	NEHMEN · EINSETZEN · HIER · POSTEN	2	3.696615	chp=CH+P@0.9545/21 | ady=A_ADDR+Y@1.0000/2	CH+P+A_ADDR+Y	LOCAL_C+P+A_ADDR+Y	CH+P+A_ADDR+DY	CH+P+A_ADDR+D_ADDR+Y	CH+P+DA+D_ADDR+Y
cthom	1	f4r	CH+T+O+M_LOCAL	YES	14	NO	2	FINITE_TOP5_ALTERNATIVE	CH+T+O+AM_ADDR	NEHMEN · EINSTELLEN · AUSFÜHRUNG · HIER	2	8.194571	cth=CH+T@0.9228/287 | om=O+AM_ADDR@0.8049/33	CH+T+O+AM_ADDR	CH+T+O+M_LOCAL	CH+T+O+D_ADDR+AM_ADDR	O+CH+T+AM_ADDR	CARRIER_Q+O+CH+T+AM_ADDR
dairody	1	f66r	D_ADDR+AIR+O+DY	YES	215	NO	2	FINITE_TOP5_ALTERNATIVE	D_ADDR+AIR+O+D_ADDR+Y	HIER · BAHN · AUSFÜHRUNG · HIER · POSTEN	2	8.521290	dairod=D_ADDR+AIR+O+D_ADDR@1.0000/2 | y=Y@0.9841/2848	D_ADDR+AIR+O+D_ADDR+Y	D_ADDR+AIR+O+DY	D_ADDR+AIR+O+D_ADDR+DY	D_ADDR+AIR+O+D_ADDR+D_ADDR+Y	D_ADDR+AIR+O+Y
dairykodas	1	f66r	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	YES	1088	NO	5	FINITE_TOP5_ALTERNATIVE	D_ADDR+AIR+Y+K+O+DA+S	HIER · BAHN · POSTEN · GEBEN · AUSFÜHRUNG · ZWEITE STUFE · WÄHLEN	3	7.296637	dair=D_ADDR+AIR@0.7778/21 | yk=Y+K@0.8961/138 | odas=O+DA+S@1.0000/1	D_ADDR+AIR+Y+K+O+DA+S	AIR+Y+K+O+DA+S	D_ADDR+AIR+A_ADDR+Y+K+O+DA+S	D_ADDR+AIR+CH+E+Y+K+O+DA+S	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S
dalcheeeky	1	f66r	AL+CH+EEE+K+Y	YES	1164	NO	56	DEEP_FINITE_ALTERNATIVE	AL+CH+E+K+EE+Y	ZIELORT · NEHMEN · GRAD I · GEBEN · GRAD II · POSTEN	3	9.297111	dal=AL@0.7984/99 | che=CH+E@0.6727/296 | eeky=K+EE+Y@0.5385/7	AL+CH+E+K+EE+Y	AL+EEE+K+Y	AL+CH+E+EE+K+Y	AL+CH+EE+E+K+Y	D_ADDR+AL+CH+E+K+EE+Y
dcheey	1	f31r	D_ADDR+CH+EE+Y	YES	36	NO	2	FINITE_TOP5_ALTERNATIVE	D_ADDR+SH+EE+Y	HIER · HALTEN · GRAD II · POSTEN	2	8.741709	d=D_ADDR@0.9054/1129 | cheey=SH+EE+Y@0.6000/27	D_ADDR+SH+EE+Y	D_ADDR+CH+EE+Y	CH+E+E+Y	D_ADDR+EE+Y	D_ADDR+CH+EE+D_ADDR+Y
dolarshy	1	f66r	D_ADDR+OL+AR+SH+Y	YES	199	NO	2	FINITE_TOP5_ALTERNATIVE	D_ADDR+OL+AR+Y	HIER · FORTSETZEN · AUSGANG · POSTEN	3	11.821393	dol=D_ADDR+OL@0.9216/47 | ar=AR@0.9768/590 | shy=Y@0.5254/31	D_ADDR+OL+AR+Y	D_ADDR+OL+AR+SH+Y	D_ADDR+OL+AR+S+Y	D_ADDR+O+L+AR+Y	OL+AR+Y
dyky	1	f66r	D_ADDR+Y+K+Y	YES	8	NO	2	FINITE_TOP5_ALTERNATIVE	DY+K+Y	SCHLUSS · GEBEN · POSTEN	2	8.765822	dy=DY@0.5797/491 | ky=K+Y@0.9500/57	DY+K+Y	D_ADDR+Y+K+Y	Y+K+Y	D_ADDR+K+Y+CH+Y	D_ADDR+Y+K+Y+CH
dytcheey	1	f4r	D_ADDR+Y+T+CH+EE+Y	YES	122	NO	2	FINITE_TOP5_ALTERNATIVE	D_ADDR+Y+T+SH+EE+Y	HIER · POSTEN · EINSTELLEN · HALTEN · GRAD II · POSTEN	2	4.422517	dyt=D_ADDR+Y+T@0.9412/16 | cheey=SH+EE+Y@0.6000/27	D_ADDR+Y+T+SH+EE+Y	D_ADDR+Y+T+CH+EE+Y	D_ADDR+Y+T+EE+Y	CHD+Y+T+SH+EE+Y	CHD+Y+T+CH+EE+Y
faiis	1	f20v	LOCAL_CHAR_F+IIN+S	YES	26	NO	2	FINITE_TOP5_ALTERNATIVE	LOCAL_CHAR_F+A_ADDR+IIN+S	HIER · HIER · STUFE · WÄHLEN	2	4.224973	fa=LOCAL_CHAR_F+A_ADDR@1.0000/33 | iis=IIN+S@1.0000/2	LOCAL_CHAR_F+A_ADDR+IIN+S	LOCAL_CHAR_F+IIN+S	LOCAL_CHAR_F+S+A_ADDR+IIN+S	LOCAL_CHAR_F+AIIN+S	LOCAL_CHAR_F+A_ADDR+LOCAL_CHAR_I+SH
fshodchy	1	f20v	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	YES	126	NO	2	FINITE_TOP5_ALTERNATIVE	LOCAL_CHAR_F+SH+O+D_ADDR+Y	HIER · HALTEN · AUSFÜHRUNG · HIER · POSTEN	3	10.114231	f=LOCAL_CHAR_F@0.9474/90 | sho=SH+O@0.8770/107 | dchy=D_ADDR+Y@1.0000/5	LOCAL_CHAR_F+SH+O+D_ADDR+Y	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	LOCAL_CHAR_F+O+D_ADDR+Y	LOCAL_CHAR_F+O+D_ADDR+CH+Y	LOCAL_CHAR_F+SH+D_ADDR+O+D_ADDR+Y
kcheeky	1	f66r	K+CH+EE+K+Y	YES	68	NO	2	FINITE_TOP5_ALTERNATIVE	K+CH+K+EE+Y	GEBEN · NEHMEN · GEBEN · GRAD II · POSTEN	2	8.056001	k=K@0.9610/937 | cheeky=CH+K+EE+Y@1.0000/5	K+CH+K+EE+Y	K+CH+EE+K+Y	K+K+EE+Y	K+EE+K+Y	K+CHD+E+K+Y
keeol	1	f31r	K+EE+O+L	YES	14	NO	4	FINITE_TOP5_ALTERNATIVE	K+EE+OL	GEBEN · GRAD II · FORTSETZEN	1	-0.012318	keeol=K+EE+OL@0.6667/2	K+EE+OL	OL+K+EE	K+E+E+OL	K+EE+O+L	OK+EE+L
keody	3	f20v|f66r	K+E+O+D_ADDR+Y	YES	11	NO	2	FINITE_TOP5_ALTERNATIVE	K+E+O+DY	GEBEN · GRAD I · AUSFÜHRUNG · SCHLUSS	1	0.698612	keody=K+E+O+DY@1.0000/2	K+E+O+DY	K+E+O+D_ADDR+Y	OK+E+DY	K+E+O+Y	O+D_ADDR+Y
ld	1	f66r	L+D_ADDR	YES	6	NO	3	FINITE_TOP5_ALTERNATIVE	L	VERBINDUNG	1	2.050798	ld=L@0.8462/11	L	AL	L+D_ADDR	L+CHD	AL+D_ADDR
lpchees	1	f66r	L+P+CH+EE+S	YES	78	NO	3	FINITE_TOP5_ALTERNATIVE	L+P+CHD+E+S	VERBINDUNG · EINSETZEN · BEARBEITEN · GRAD I · WÄHLEN	2	4.239400	lpche=L+P+CHD@1.0000/1 | es=E+S@0.8974/70	L+P+CHD+E+S	L+P+SH+EE+S_ADDR	L+P+CH+EE+S	L+P+E+S	L+P+CHD+E+SH
okedam	1	f31r	OK+E+D_ADDR+AM_ADDR	YES	44	NO	2	FINITE_TOP5_ALTERNATIVE	OK+E+DA+AM_ADDR	SETZEN · GRAD I · ZWEITE STUFE · HIER	2	5.185688	oke=OK+E@0.9055/115 | dam=DA+AM_ADDR@0.5294/9	OK+E+DA+AM_ADDR	OK+E+D_ADDR+AM_ADDR	OK+AM_ADDR	OK+E+DY	O+K+E+D_ADDR+AM_ADDR
oteochey	1	f66r	OT+E+O+CH+E+Y	YES	45	NO	2	FINITE_TOP5_ALTERNATIVE	OT+E+O+Y	DANACH · GRAD I · AUSFÜHRUNG · POSTEN	2	6.986081	oteo=OT+E+O@1.0000/20 | chey=Y@0.7778/126	OT+E+O+Y	OT+E+O+CH+E+Y	OT+E+O+LOCAL_C+E+Y	OT+E+O+LOCAL_C+SH+E+Y	O+OT+E+Y
pofochey	1	f20v	P+O+LOCAL_CHAR_F+O+CH+E+Y	YES	18	NO	2	FINITE_TOP5_ALTERNATIVE	P+O+LOCAL_CHAR_F+O+Y	EINSETZEN · AUSFÜHRUNG · HIER · AUSFÜHRUNG · POSTEN	3	8.926036	p=P@0.9612/372 | of=O+LOCAL_CHAR_F@1.0000/26 | ochey=O+Y@0.6667/2	P+O+LOCAL_CHAR_F+O+Y	P+O+LOCAL_CHAR_F+O+CH+E+Y	O+P+LOCAL_CHAR_F+O+Y	O+P+LOCAL_CHAR_F+O+CH+E+Y	P+O+LOCAL_CHAR_F+O+CHD+Y
