replay_ordinal	source_event_id	physical_page	statement_id	card_ordinal_in_statement	surface	content_role	recipe	incoming_action	incoming_argument	raw_gdt451_decision	raw_gdt451_route	blocked_factor_rules	gdt517_final_decision	gdt517_final_route	finite_override	outgoing_action	outgoing_argument	state_policy
1	G515-E0001	f4r	G515-S001	1	kodalchy	ORDERED_INSTRUCTION_CARD	K+O+D_ADDR+AL+CH+Y	NONE	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	Y	ACCEPTED_CARD_ADVANCES_STATE
2	G515-E0002	f4r	G515-S001	2	chpady	ORDERED_INSTRUCTION_CARD	CH+P+A_ADDR+DY	CH	Y	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	P	Y	ACCEPTED_CARD_ADVANCES_STATE
3	G515-E0003	f4r	G515-S002	1	sheol	ORDERED_INSTRUCTION_CARD	SH+E+OL	NONE	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	SH	NONE	ACCEPTED_CARD_ADVANCES_STATE
4	G515-E0004	f4r	G515-S002	2	ol	ITINERARY_OR_ADDRESS_CARD	OL	SH	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	SH	NONE	ACCEPTED_CARD_ADVANCES_STATE
5	G515-E0005	f4r	G515-S002	3	sheey	ORDERED_INSTRUCTION_CARD	SH+EE+Y	SH	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	SH	Y	ACCEPTED_CARD_ADVANCES_STATE
6	G515-E0006	f4r	G515-S002	4	qotey	ITINERARY_OR_ADDRESS_CARD	OT+E+Y	SH	Y	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	SH	Y	ACCEPTED_CARD_ADVANCES_STATE
7	G515-E0007	f4r	G515-S002	5	doiin	LOCAL_CLASS_OR_NAME_CARD	D_ADDR+O+IIN	SH	Y	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	SH	Y	ACCEPTED_CARD_ADVANCES_STATE
8	G515-E0008	f4r	G515-S002	6	chor	ORDERED_INSTRUCTION_CARD	CH+OR	SH	Y	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	OR	ACCEPTED_CARD_ADVANCES_STATE
9	G515-E0009	f4r	G515-S002	7	ytoy	ORDERED_INSTRUCTION_CARD	Y+T+O+Y	CH	OR	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	T	Y	ACCEPTED_CARD_ADVANCES_STATE
10	G515-E0010	f4r	G515-S002	8	dchor	ORDERED_INSTRUCTION_CARD	D_ADDR+CH+OR	T	Y	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	OR	ACCEPTED_CARD_ADVANCES_STATE
11	G515-E0011	f4r	G515-S002	9	shol	ORDERED_INSTRUCTION_CARD	SH+OL	CH	OR	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	SH	OR	ACCEPTED_CARD_ADVANCES_STATE
12	G515-E0012	f4r	G515-S002	10	shol	ORDERED_INSTRUCTION_CARD	SH+OL	SH	OR	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	SH	OR	ACCEPTED_CARD_ADVANCES_STATE
13	G515-E0013	f4r	G515-S002	11	cthol	ORDERED_INSTRUCTION_CARD	CH+T+OL	SH	OR	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	T	OR	ACCEPTED_CARD_ADVANCES_STATE
14	G515-E0014	f4r	G515-S002	12	shtchy	ORDERED_INSTRUCTION_CARD	SH+T+CH+Y	T	OR	READ_AMBER	EXECUTE_KNOWN_FACTORS_AMBER	NONE	READ_AMBER	EXECUTE_KNOWN_FACTORS_AMBER	NONE	CH	Y	ACCEPTED_CARD_ADVANCES_STATE
15	G515-E0015	f4r	G515-S002	13	chaiin	ORDERED_INSTRUCTION_CARD	CH+AIIN	CH	Y	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	AIIN	ACCEPTED_CARD_ADVANCES_STATE
16	G515-E0016	f4r	G515-S002	14	s	ORDERED_INSTRUCTION_CARD	S	CH	AIIN	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	S	AIIN	ACCEPTED_CARD_ADVANCES_STATE
17	G515-E0017	f4r	G515-S002	15	choraiin	ORDERED_INSTRUCTION_CARD	CH+OR+AIIN	S	AIIN	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	AIIN	ACCEPTED_CARD_ADVANCES_STATE
18	G515-E0018	f4r	G515-S002	16	chom	LOCAL_CLASS_OR_NAME_CARD	HO+M_LOCAL	CH	AIIN	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	AIIN	ACCEPTED_CARD_ADVANCES_STATE
19	G515-E0019	f4r	G515-S002	17	otchol	ORDERED_INSTRUCTION_CARD	OT+CH+OL	CH	AIIN	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	AIIN	ACCEPTED_CARD_ADVANCES_STATE
20	G515-E0020	f4r	G515-S002	18	chol	ITINERARY_OR_ADDRESS_CARD	OL	CH	AIIN	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	AIIN	ACCEPTED_CARD_ADVANCES_STATE
21	G515-E0021	f4r	G515-S002	19	chy	COORDINATE_OR_CATALOGUE_CARD	Y	CH	AIIN	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	Y	ACCEPTED_CARD_ADVANCES_STATE
22	G515-E0022	f4r	G515-S002	20	chaiin	ORDERED_INSTRUCTION_CARD	CH+AIIN	CH	Y	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	AIIN	ACCEPTED_CARD_ADVANCES_STATE
23	G515-E0023	f4r	G515-S002	21	qotaiin	ITINERARY_OR_ADDRESS_CARD	OT+AIIN	CH	AIIN	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	AIIN	ACCEPTED_CARD_ADVANCES_STATE
24	G515-E0024	f4r	G515-S002	22	daiin	COORDINATE_OR_CATALOGUE_CARD	AIIN	CH	AIIN	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	CH	AIIN	ACCEPTED_CARD_ADVANCES_STATE
