rank	page	locus	section	language	hand	token_count	unknown_tokens	complete_v48	target_count	target_ordinals	target_surfaces	zl3b_line	v99r3_token_glosses_de	v99r4_token_glosses_de	v99r3_target_glosses_de	v99r4_target_glosses_de	v99r3_render_de	v99r4_render_de	old_slash_occurrences	new_slash_occurrences	old_standalone_oder_occurrences	new_standalone_oder_occurrences	old_casefold_menge_occurrences	new_casefold_menge_occurrences	non_target_cells_unchanged	exact_tokens_and_ordinals_retained
1	f76r	f76r.9	T	B	2	15	0	1	4	5|7|10|15	ain|ain|ain|daly	shed al shckhy r ain chcphedy ain olkeey lkar ain otchy lkain chedy dar daly	Einweichen bis zur mittleren Stufe abschließen | Rohstoffklasse I | Arzneikompositum: feucht, Gradanfang | Wurzel | Menge-/Klassenwert II | Arzneikompositum bis zur Mittelstufe trocknen und abschließen | Menge-/Klassenwert II | Holzdrogenansatz vollständig erhitzt | heiße Holzfraktion I | Menge-/Klassenwert II | kalt-trockener Ansatz am Anfang des Grades | Holzdroge, heiß auf Stufe II | trocken in der Mitte des Grades, abgeschlossen | abgemessene Fraktion I | abgemessene Rohstoffmenge I, Grundform	Einweichen bis zur mittleren Stufe abschließen | Rohstoffklasse I | Arzneikompositum: feucht, Gradanfang | Wurzel | Wertstufe II | Arzneikompositum bis zur Mittelstufe trocknen und abschließen | Wertstufe II | Holzdrogenansatz vollständig erhitzt | heiße Holzfraktion I | Wertstufe II | kalt-trockener Ansatz am Anfang des Grades | Holzdroge, heiß auf Stufe II | trocken in der Mitte des Grades, abgeschlossen | abgemessene Fraktion I | abgewogener Rohstoffposten I, Grundform	Menge-/Klassenwert II | Menge-/Klassenwert II | Menge-/Klassenwert II | abgemessene Rohstoffmenge I, Grundform	Wertstufe II | Wertstufe II | Wertstufe II | abgewogener Rohstoffposten I, Grundform	Einweichen bis zur mittleren Stufe abschließen; Rohstoffklasse I; Arzneikompositum: feucht, Gradanfang; Wurzel; Menge-/Klassenwert II; Arzneikompositum bis zur Mittelstufe trocknen und abschließen; Menge-/Klassenwert II; Holzdrogenansatz vollständig erhitzt; heiße Holzfraktion I; Menge-/Klassenwert II; kalt-trockener Ansatz am Anfang des Grades; Holzdroge, heiß auf Stufe II; trocken in der Mitte des Grades, abgeschlossen; abgemessene Fraktion I; abgemessene Rohstoffmenge I, Grundform	Einweichen bis zur mittleren Stufe abschließen; Rohstoffklasse I; Arzneikompositum: feucht, Gradanfang; Wurzel; Wertstufe II; Arzneikompositum bis zur Mittelstufe trocknen und abschließen; Wertstufe II; Holzdrogenansatz vollständig erhitzt; heiße Holzfraktion I; Wertstufe II; kalt-trockener Ansatz am Anfang des Grades; Holzdroge, heiß auf Stufe II; trocken in der Mitte des Grades, abgeschlossen; abgemessene Fraktion I; abgewogener Rohstoffposten I, Grundform	3	0	0	0	4	0	11	1
2	f116r	f116r.50	S	B	3	8	0	1	3	1|4|7	sodal|chcthy|ain	sodal ch al chcthy chckhy qol ain ary	abgemessene Saat-Rohstoffmenge I im Ansatz | Rohstoff I, trocken am Gradanfang | Rohstoffklasse I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Arzneikompositum: trocken, Gradanfang | Drogenstoff zugeben | Menge-/Klassenwert II | Drogenfraktion I, abgeschlossen	abgewogener Samenposten I im Ansatz | Rohstoff I, trocken am Gradanfang | Rohstoffklasse I | trockenes Pflanzenmaterial | Arzneikompositum: trocken, Gradanfang | Drogenstoff zugeben | Wertstufe II | Drogenfraktion I, abgeschlossen	abgemessene Saat-Rohstoffmenge I im Ansatz | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Menge-/Klassenwert II	abgewogener Samenposten I im Ansatz | trockenes Pflanzenmaterial | Wertstufe II	abgemessene Saat-Rohstoffmenge I im Ansatz; Rohstoff I, trocken am Gradanfang; Rohstoffklasse I; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Arzneikompositum: trocken, Gradanfang; Drogenstoff zugeben; Menge-/Klassenwert II; Drogenfraktion I, abgeschlossen	abgewogener Samenposten I im Ansatz; Rohstoff I, trocken am Gradanfang; Rohstoffklasse I; trockenes Pflanzenmaterial; Arzneikompositum: trocken, Gradanfang; Drogenstoff zugeben; Wertstufe II; Drogenfraktion I, abgeschlossen	2	0	0	0	2	0	5	1
3	f19v	f19v.6	H	A	1	5	0	1	3	1|3|4	ychoy|cthol|chocthy	ychoy kchor cthol chocthy s	Eintrag/Bezug: Trockenansatz am Gradanfang | Drogenportion, heiß-trocken | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung | Samen-/Saatgutposten	Eintrag: Trockenansatz am Gradanfang | Drogenportion, heiß-trocken | Pflanzendrogenstoff | trockene Pflanzenzubereitung | Samen-/Saatgutposten	Eintrag/Bezug: Trockenansatz am Gradanfang | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	Eintrag: Trockenansatz am Gradanfang | Pflanzendrogenstoff | trockene Pflanzenzubereitung	Eintrag/Bezug: Trockenansatz am Gradanfang; Drogenportion, heiß-trocken; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung; Samen-/Saatgutposten	Eintrag: Trockenansatz am Gradanfang; Drogenportion, heiß-trocken; Pflanzendrogenstoff; trockene Pflanzenzubereitung; Samen-/Saatgutposten	2	0	1	0	0	0	2	1
4	f2r	f2r.12	H	A	1	11	0	1	3	4|6|8	cthor|an|saiin	okol chy chor cthor yor an chan saiin chety chyky sal	heißer Ansatzstoff | trocken am Anfang des Grades | Pflanzen-/Reproduktionsteil | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | nimm hiervon eine Portion | Menge-/Klassenwert I | trocken, Grad I | Samen/Saatgut, Typ/Charge III | trocken-kalte gebundene Form | trocken-heiß, Grundstufe | Saat-Rohstoff I	heißer Ansatzstoff | trocken am Anfang des Grades | Pflanzen-/Reproduktionsteil | eine Portion Pflanzendroge | nimm hiervon eine Portion | Wertstufe I | trocken, Grad I | Samencharge III | trocken-kalte gebundene Form | trocken-heiß, Grundstufe | Saat-Rohstoff I	Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | Menge-/Klassenwert I | Samen/Saatgut, Typ/Charge III	eine Portion Pflanzendroge | Wertstufe I | Samencharge III	heißer Ansatzstoff; trocken am Anfang des Grades; Pflanzen-/Reproduktionsteil; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; nimm hiervon eine Portion; Menge-/Klassenwert I; trocken, Grad I; Samen/Saatgut, Typ/Charge III; trocken-kalte gebundene Form; trocken-heiß, Grundstufe; Saat-Rohstoff I	heißer Ansatzstoff; trocken am Anfang des Grades; Pflanzen-/Reproduktionsteil; eine Portion Pflanzendroge; nimm hiervon eine Portion; Wertstufe I; trocken, Grad I; Samencharge III; trocken-kalte gebundene Form; trocken-heiß, Grundstufe; Saat-Rohstoff I	3	0	0	0	1	0	8	1
5	f75r	f75r.28	B	B	2	11	0	1	3	4|6|11	sol|shecthy|lolchedy	tchedy pchedy qokeey sol oldair shecthy qol l sheedy qokeedy lolchedy	kalt und trocken in der Mitte des Grades, abgeschlossen | getrocknetes Pulver | heiß am Ende des Grades | Samenmaterial/Saatgut | zweite abgemessene Holzrohstofffraktion im Ansatz | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | Drogenstoff zugeben | Pfund / Gewichtseinheit | feucht am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | getrockneter Drogenholzstoff/-ansatz	kalt und trocken in der Mitte des Grades, abgeschlossen | getrocknetes Pulver | heiß am Ende des Grades | Samenmaterial | zweite abgemessene Holzrohstofffraktion im Ansatz | feuchtes Pflanzenmaterial | Drogenstoff zugeben | Pfund / Gewichtseinheit | feucht am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | getrockneter Holzdrogenansatz	Samenmaterial/Saatgut | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | getrockneter Drogenholzstoff/-ansatz	Samenmaterial | feuchtes Pflanzenmaterial | getrockneter Holzdrogenansatz	kalt und trocken in der Mitte des Grades, abgeschlossen; getrocknetes Pulver; heiß am Ende des Grades; Samenmaterial/Saatgut; zweite abgemessene Holzrohstofffraktion im Ansatz; feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut; Drogenstoff zugeben; Pfund / Gewichtseinheit; feucht am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; getrockneter Drogenholzstoff/-ansatz	kalt und trocken in der Mitte des Grades, abgeschlossen; getrocknetes Pulver; heiß am Ende des Grades; Samenmaterial; zweite abgemessene Holzrohstofffraktion im Ansatz; feuchtes Pflanzenmaterial; Drogenstoff zugeben; Pfund / Gewichtseinheit; feucht am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; getrockneter Holzdrogenansatz	3	0	0	0	0	0	8	1
6	f80r	f80r.18	B	B	2	11	0	1	3	1|7|9	paiin|shcthy|shecthy	paiin sheol qokain chety qokeedy qokar shcthy qotol shecthy qokain olkam	Pulver, Typ/Charge III | feuchtes Material | heiß, Grad II | trocken-kalte gebundene Form | heiß am Ende des Grades, abgeschlossen | heiße Drogenfraktion I | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kaltes Material | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | heiß, Grad II | heißes Material [terminal-M]	Pulver, Charge III | feuchtes Material | heiß, Grad II | trocken-kalte gebundene Form | heiß am Ende des Grades, abgeschlossen | heiße Drogenfraktion I | feuchtes Pflanzenmaterial | kaltes Material | feuchtes Pflanzenmaterial | heiß, Grad II | heißes Material [terminal-M]	Pulver, Typ/Charge III | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut	Pulver, Charge III | feuchtes Pflanzenmaterial | feuchtes Pflanzenmaterial	Pulver, Typ/Charge III; feuchtes Material; heiß, Grad II; trocken-kalte gebundene Form; heiß am Ende des Grades, abgeschlossen; heiße Drogenfraktion I; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; kaltes Material; feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut; heiß, Grad II; heißes Material [terminal-M]	Pulver, Charge III; feuchtes Material; heiß, Grad II; trocken-kalte gebundene Form; heiß am Ende des Grades, abgeschlossen; heiße Drogenfraktion I; feuchtes Pflanzenmaterial; kaltes Material; feuchtes Pflanzenmaterial; heiß, Grad II; heißes Material [terminal-M]	3	0	0	0	0	0	8	1
7	f80v	f80v.10	B	B	2	8	0	1	3	1|4|7	sol|shcthy|shecthy	sol sheey qokaiin shcthy dolshedy qokal shecthy qotainol	Samenmaterial/Saatgut | feucht am Ende des Grades | heiß, Grad III | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | eingeweichtes Material | Rohstoffklasse I, heiß am Gradanfang | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | kaltes Material, Grad II	Samenmaterial | feucht am Ende des Grades | heiß, Grad III | feuchtes Pflanzenmaterial | eingeweichtes Material | Rohstoffklasse I, heiß am Gradanfang | feuchtes Pflanzenmaterial | kaltes Material, Grad II	Samenmaterial/Saatgut | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut	Samenmaterial | feuchtes Pflanzenmaterial | feuchtes Pflanzenmaterial	Samenmaterial/Saatgut; feucht am Ende des Grades; heiß, Grad III; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; eingeweichtes Material; Rohstoffklasse I, heiß am Gradanfang; feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut; kaltes Material, Grad II	Samenmaterial; feucht am Ende des Grades; heiß, Grad III; feuchtes Pflanzenmaterial; eingeweichtes Material; Rohstoffklasse I, heiß am Gradanfang; feuchtes Pflanzenmaterial; kaltes Material, Grad II	3	0	0	0	0	0	5	1
8	f86v6	f86v6.14	T	B	2	12	0	1	3	1|4|12	ykchy|ykeedy|ain	ykchy cholkaiin chey ykeedy okal or chcfhy lkey okar dar ol ain	Eintrag/Bezug: heiß-trocken am Gradanfang | Trockengut, heiß im dritten Grad | trocken in der Mitte des Grades | Eintrag/Bezug: heiß am Gradende, abgeschlossen | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Drogenportion | leicht getrocknete Blütenfraktion | Holzdroge bis zur mittleren Heizstufe | heiße Drogenfraktion I im Ansatz | abgemessene Fraktion I | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Menge-/Klassenwert II	Eintrag: heiß-trocken am Gradanfang | Trockengut, heiß im dritten Grad | trocken in der Mitte des Grades | Eintrag: heiß am Gradende, abgeschlossen | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Drogenportion | leicht getrocknete Blütenfraktion | Holzdroge bis zur mittleren Heizstufe | heiße Drogenfraktion I im Ansatz | abgemessene Fraktion I | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wertstufe II	Eintrag/Bezug: heiß-trocken am Gradanfang | Eintrag/Bezug: heiß am Gradende, abgeschlossen | Menge-/Klassenwert II	Eintrag: heiß-trocken am Gradanfang | Eintrag: heiß am Gradende, abgeschlossen | Wertstufe II	Eintrag/Bezug: heiß-trocken am Gradanfang; Trockengut, heiß im dritten Grad; trocken in der Mitte des Grades; Eintrag/Bezug: heiß am Gradende, abgeschlossen; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Drogenportion; leicht getrocknete Blütenfraktion; Holzdroge bis zur mittleren Heizstufe; heiße Drogenfraktion I im Ansatz; abgemessene Fraktion I; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Menge-/Klassenwert II	Eintrag: heiß-trocken am Gradanfang; Trockengut, heiß im dritten Grad; trocken in der Mitte des Grades; Eintrag: heiß am Gradende, abgeschlossen; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Drogenportion; leicht getrocknete Blütenfraktion; Holzdroge bis zur mittleren Heizstufe; heiße Drogenfraktion I im Ansatz; abgemessene Fraktion I; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Wertstufe II	3	0	0	0	1	0	9	1
9	f104v	f104v.7	S	B	3	13	3	0	3	2|7|12	scheo|ain|sol	o scheo lchody cheey qoy cheo ain o chedy cheedy chedy sol cheodalol	Ansatzwasser | trockene Samen/Saatgutzubereitung/Trockenansatz | [lchody:?] | trocken am Ende des Grades | [qoy:?] | trocken angesetzte Zubereitung | Menge-/Klassenwert II | Ansatz aus getrockneter Droge, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | trocken am Ende des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Samenmaterial/Saatgut | [cheodalol:?]	Ansatzwasser | trockene Samenzubereitung | [lchody:?] | trocken am Ende des Grades | [qoy:?] | trocken angesetzte Zubereitung | Wertstufe II | Ansatz aus getrockneter Droge, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | trocken am Ende des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Samenmaterial | [cheodalol:?]	trockene Samen/Saatgutzubereitung/Trockenansatz | Menge-/Klassenwert II | Samenmaterial/Saatgut	trockene Samenzubereitung | Wertstufe II | Samenmaterial	Ansatzwasser; trockene Samen/Saatgutzubereitung/Trockenansatz; [lchody:?]; trocken am Ende des Grades; [qoy:?]; trocken angesetzte Zubereitung; Menge-/Klassenwert II; Ansatz aus getrockneter Droge, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; trocken am Ende des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; Samenmaterial/Saatgut; [cheodalol:?]	Ansatzwasser; trockene Samenzubereitung; [lchody:?]; trocken am Ende des Grades; [qoy:?]; trocken angesetzte Zubereitung; Wertstufe II; Ansatz aus getrockneter Droge, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; trocken am Ende des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; Samenmaterial; [cheodalol:?]	3	0	0	0	1	0	10	1
10	f26r	f26r.3	H	B	2	12	2	0	3	1|2|5	oaiin|shcthy|ykeedy	oaiin shcthy cthedy oloy ykeedy olchedy dal y sheey s aiin s	Ansatzmenge III | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | [cthedy:?] | [oloy:?] | Eintrag/Bezug: heiß am Gradende, abgeschlossen | Holzdroge im Ansatz fertig getrocknet | abgemessene Rohstoffmenge I | ; hierzu: | feucht am Ende des Grades | Samen-/Saatgutposten | Menge III | Samen-/Saatgutposten	drei Ansatzportionen | feuchtes Pflanzenmaterial | [cthedy:?] | [oloy:?] | Eintrag: heiß am Gradende, abgeschlossen | Holzdroge im Ansatz fertig getrocknet | abgemessene Rohstoffmenge I | ; hierzu: | feucht am Ende des Grades | Samen-/Saatgutposten | Menge III | Samen-/Saatgutposten	Ansatzmenge III | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | Eintrag/Bezug: heiß am Gradende, abgeschlossen	drei Ansatzportionen | feuchtes Pflanzenmaterial | Eintrag: heiß am Gradende, abgeschlossen	Ansatzmenge III; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; [cthedy:?]; [oloy:?]; Eintrag/Bezug: heiß am Gradende, abgeschlossen; Holzdroge im Ansatz fertig getrocknet; abgemessene Rohstoffmenge I; hierzu: feucht am Ende des Grades; Samen-/Saatgutposten; Menge III; Samen-/Saatgutposten	drei Ansatzportionen; feuchtes Pflanzenmaterial; [cthedy:?]; [oloy:?]; Eintrag: heiß am Gradende, abgeschlossen; Holzdroge im Ansatz fertig getrocknet; abgemessene Rohstoffmenge I; hierzu: feucht am Ende des Grades; Samen-/Saatgutposten; Menge III; Samen-/Saatgutposten	2	0	0	0	1	0	9	1
