page	locus	section	language	hand	token_count	unknown_tokens	complete_v48	target_count	target_ordinals	target_surfaces	zl3b_line	v99r3_token_glosses_de	v99r4_token_glosses_de	v99r3_target_glosses_de	v99r4_target_glosses_de	v99r3_render_de	v99r4_render_de	old_slash_occurrences	new_slash_occurrences	old_standalone_oder_occurrences	new_standalone_oder_occurrences	old_casefold_menge_occurrences	new_casefold_menge_occurrences	non_target_cells_unchanged	exact_tokens_and_ordinals_retained
f100v	f100v.13	P	A	1	2	0	1	1	2	ctharal	chos ctharal	[eine Charge Trockenansatz-Zeichen] | erste Kraut- oder Blattfraktion aus Rohdroge I	[eine Charge Trockenansatz-Zeichen] | Pflanzenanteil I aus Rohdroge I	erste Kraut- oder Blattfraktion aus Rohdroge I	Pflanzenanteil I aus Rohdroge I	[eine Charge Trockenansatz-Zeichen]; erste Kraut- oder Blattfraktion aus Rohdroge I	[eine Charge Trockenansatz-Zeichen]; Pflanzenanteil I aus Rohdroge I	0	0	1	0	0	0	1	1
f103r	f103r.10	S	B	3	14	0	1	1	14	ain	daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain	Grad-/Maßwert III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | zwei Teile Ansatz | Grundansatz bis zur mittleren Heizstufe erwärmt | trocken; nominal trockenes Gut/Material | ein Maß heißen Ansatzes | trocken-kalte gebundene Form | feucht in der Mitte des Grades, abgeschlossen | kalt im Zubereitungsrahmen, Grad III | feucht in der Mitte des Grades, abgeschlossen | Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen | kalter Ansatz am Ende des Grades, abgeschlossen | Samenportion | Menge-/Klassenwert II	Grad-/Maßwert III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | zwei Teile Ansatz | Grundansatz bis zur mittleren Heizstufe erwärmt | trocken; nominal trockenes Gut/Material | ein Maß heißen Ansatzes | trocken-kalte gebundene Form | feucht in der Mitte des Grades, abgeschlossen | kalt im Zubereitungsrahmen, Grad III | feucht in der Mitte des Grades, abgeschlossen | Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen | kalter Ansatz am Ende des Grades, abgeschlossen | Samenportion | Wertstufe II	Menge-/Klassenwert II	Wertstufe II	Grad-/Maßwert III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; zwei Teile Ansatz; Grundansatz bis zur mittleren Heizstufe erwärmt; trocken; nominal trockenes Gut/Material; ein Maß heißen Ansatzes; trocken-kalte gebundene Form; feucht in der Mitte des Grades, abgeschlossen; kalt im Zubereitungsrahmen, Grad III; feucht in der Mitte des Grades, abgeschlossen; Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen; kalter Ansatz am Ende des Grades, abgeschlossen; Samenportion; Menge-/Klassenwert II	Grad-/Maßwert III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; zwei Teile Ansatz; Grundansatz bis zur mittleren Heizstufe erwärmt; trocken; nominal trockenes Gut/Material; ein Maß heißen Ansatzes; trocken-kalte gebundene Form; feucht in der Mitte des Grades, abgeschlossen; kalt im Zubereitungsrahmen, Grad III; feucht in der Mitte des Grades, abgeschlossen; Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen; kalter Ansatz am Ende des Grades, abgeschlossen; Samenportion; Wertstufe II	1	0	0	0	1	0	13	1
f103r	f103r.24	S	B	3	12	0	1	1	8	shcthy	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky	kühle den Trockenansatz und erwärme ihn anschließend leicht | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | kalter Ansatz am Anfang des Grades | vollständig getrocknetes Pulverpräparat | kalt im qo-Rahmen, Grad II | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalter Ansatz in der Mitte des Grades | Grad-/Maßwert II | kalter Ansatz am Ende des Grades | heißer Ansatz am Anfang des Grades	kühle den Trockenansatz und erwärme ihn anschließend leicht | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | kalter Ansatz am Anfang des Grades | vollständig getrocknetes Pulverpräparat | kalt im qo-Rahmen, Grad II | feuchtes Pflanzenmaterial | kalter Ansatz in der Mitte des Grades | Grad-/Maßwert II | kalter Ansatz am Ende des Grades | heißer Ansatz am Anfang des Grades	feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut	feuchtes Pflanzenmaterial	kühle den Trockenansatz und erwärme ihn anschließend leicht; Rohstoffklasse I im Ansatz, heiß in der Gradmitte; feucht in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; kalter Ansatz am Anfang des Grades; vollständig getrocknetes Pulverpräparat; kalt im qo-Rahmen, Grad II; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; kalter Ansatz in der Mitte des Grades; Grad-/Maßwert II; kalter Ansatz am Ende des Grades; heißer Ansatz am Anfang des Grades	kühle den Trockenansatz und erwärme ihn anschließend leicht; Rohstoffklasse I im Ansatz, heiß in der Gradmitte; feucht in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; kalter Ansatz am Anfang des Grades; vollständig getrocknetes Pulverpräparat; kalt im qo-Rahmen, Grad II; feuchtes Pflanzenmaterial; kalter Ansatz in der Mitte des Grades; Grad-/Maßwert II; kalter Ansatz am Ende des Grades; heißer Ansatz am Anfang des Grades	1	0	0	0	0	0	11	1
f103r	f103r.32	S	B	3	8	0	1	1	7	shcthy	okeey shedy qokedy qokal shety otedy shcthy oraiin	heißer Ansatz am Ende des Grades | feucht in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | feucht-kalt ansetzen | kalter Ansatz in der Mitte des Grades, abgeschlossen | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | Portion III	heißer Ansatz am Ende des Grades | feucht in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | feucht-kalt ansetzen | kalter Ansatz in der Mitte des Grades, abgeschlossen | feuchtes Pflanzenmaterial | Portion III	feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut	feuchtes Pflanzenmaterial	heißer Ansatz am Ende des Grades; feucht in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; feucht-kalt ansetzen; kalter Ansatz in der Mitte des Grades, abgeschlossen; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; Portion III	heißer Ansatz am Ende des Grades; feucht in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; feucht-kalt ansetzen; kalter Ansatz in der Mitte des Grades, abgeschlossen; feuchtes Pflanzenmaterial; Portion III	1	0	0	0	0	0	7	1
f103r	f103r.39	S	B	3	6	0	1	1	1	ykeedy	ykeedy qokeey lsheey qotal shedy oteey	Eintrag/Bezug: heiß am Gradende, abgeschlossen | heiß am Ende des Grades | eingeweichtes Drogenholz, Form II | Rohstoffklasse I, kalt am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | kalter Ansatz am Ende des Grades	Eintrag: heiß am Gradende, abgeschlossen | heiß am Ende des Grades | eingeweichtes Drogenholz, Form II | Rohstoffklasse I, kalt am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | kalter Ansatz am Ende des Grades	Eintrag/Bezug: heiß am Gradende, abgeschlossen	Eintrag: heiß am Gradende, abgeschlossen	Eintrag/Bezug: heiß am Gradende, abgeschlossen; heiß am Ende des Grades; eingeweichtes Drogenholz, Form II; Rohstoffklasse I, kalt am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; kalter Ansatz am Ende des Grades	Eintrag: heiß am Gradende, abgeschlossen; heiß am Ende des Grades; eingeweichtes Drogenholz, Form II; Rohstoffklasse I, kalt am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; kalter Ansatz am Ende des Grades	1	0	0	0	0	0	5	1
f103r	f103r.49	S	B	3	13	0	1	1	3	ain	okeey lr ain l ol sheed qokeey sheol qokeedy shedy qoky leeesain am	heißer Ansatz am Ende des Grades | Wurzelholz | Menge-/Klassenwert II | Pfund / Gewichtseinheit | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Einweichung vollständig abgeschlossen | heiß am Ende des Grades | feuchtes Material | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades | Holzdroge mit Saatgut auf Langstufe, Charge II | Maßeinheit I	heißer Ansatz am Ende des Grades | Wurzelholz | Wertstufe II | Pfund / Gewichtseinheit | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Einweichung vollständig abgeschlossen | heiß am Ende des Grades | feuchtes Material | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades | Holzdroge mit Saatgut auf Langstufe, Charge II | Maßeinheit I	Menge-/Klassenwert II	Wertstufe II	heißer Ansatz am Ende des Grades; Wurzelholz; Menge-/Klassenwert II; Pfund / Gewichtseinheit; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Einweichung vollständig abgeschlossen; heiß am Ende des Grades; feuchtes Material; heiß am Ende des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; heiß am Anfang des Grades; Holzdroge mit Saatgut auf Langstufe, Charge II; Maßeinheit I	heißer Ansatz am Ende des Grades; Wurzelholz; Wertstufe II; Pfund / Gewichtseinheit; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Einweichung vollständig abgeschlossen; heiß am Ende des Grades; feuchtes Material; heiß am Ende des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; heiß am Anfang des Grades; Holzdroge mit Saatgut auf Langstufe, Charge II; Maßeinheit I	1	0	0	0	1	0	12	1
f103v	f103v.13	S	B	3	11	0	1	1	9	ain	dain eey olshy otey olshedy qotshdy okeey lr ain okan olshey	Grad-/Maßwert II | Endstufe abschließen | Drogenstoff leicht einweichen | kalter Ansatz in der Mitte des Grades | Holzdroge im Ansatz vollständig eingeweicht | kalt und feucht am Anfang des Grades, abgeschlossen | heißer Ansatz am Ende des Grades | Wurzelholz | Menge-/Klassenwert II | heiß im Zubereitungsrahmen, Grad I | eingeweichte Drogenbasis, Mittelstufe	Grad-/Maßwert II | Endstufe abschließen | Drogenstoff leicht einweichen | kalter Ansatz in der Mitte des Grades | Holzdroge im Ansatz vollständig eingeweicht | kalt und feucht am Anfang des Grades, abgeschlossen | heißer Ansatz am Ende des Grades | Wurzelholz | Wertstufe II | heiß im Zubereitungsrahmen, Grad I | eingeweichte Drogenbasis, Mittelstufe	Menge-/Klassenwert II	Wertstufe II	Grad-/Maßwert II; Endstufe abschließen; Drogenstoff leicht einweichen; kalter Ansatz in der Mitte des Grades; Holzdroge im Ansatz vollständig eingeweicht; kalt und feucht am Anfang des Grades, abgeschlossen; heißer Ansatz am Ende des Grades; Wurzelholz; Menge-/Klassenwert II; heiß im Zubereitungsrahmen, Grad I; eingeweichte Drogenbasis, Mittelstufe	Grad-/Maßwert II; Endstufe abschließen; Drogenstoff leicht einweichen; kalter Ansatz in der Mitte des Grades; Holzdroge im Ansatz vollständig eingeweicht; kalt und feucht am Anfang des Grades, abgeschlossen; heißer Ansatz am Ende des Grades; Wurzelholz; Wertstufe II; heiß im Zubereitungsrahmen, Grad I; eingeweichte Drogenbasis, Mittelstufe	1	0	0	0	1	0	10	1
f103v	f103v.3	S	B	3	12	0	1	1	6	chcthy	qok or chedy qokey dar chcthy char qoty shdy okeedy qokeey qokain	erhitze Folgendes | Drogenportion | trocken in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades | abgemessene Fraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Trockenfraktion I | kalt am Anfang des Grades | feucht am Anfang des Grades, abgeschlossen | heißer Ansatz am Ende des Grades, abgeschlossen | heiß am Ende des Grades | heiß, Grad II	erhitze Folgendes | Drogenportion | trocken in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades | abgemessene Fraktion I | trockenes Pflanzenmaterial | Trockenfraktion I | kalt am Anfang des Grades | feucht am Anfang des Grades, abgeschlossen | heißer Ansatz am Ende des Grades, abgeschlossen | heiß am Ende des Grades | heiß, Grad II	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	trockenes Pflanzenmaterial	erhitze Folgendes; Drogenportion; trocken in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades; abgemessene Fraktion I; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Trockenfraktion I; kalt am Anfang des Grades; feucht am Anfang des Grades, abgeschlossen; heißer Ansatz am Ende des Grades, abgeschlossen; heiß am Ende des Grades; heiß, Grad II	erhitze Folgendes; Drogenportion; trocken in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades; abgemessene Fraktion I; trockenes Pflanzenmaterial; Trockenfraktion I; kalt am Anfang des Grades; feucht am Anfang des Grades, abgeschlossen; heißer Ansatz am Ende des Grades, abgeschlossen; heiß am Ende des Grades; heiß, Grad II	1	0	0	0	0	0	11	1
f103v	f103v.34	S	B	3	11	0	1	1	11	lchdy	daiin sheey ol chey qok shey qokaiin checkhy otedy lshey lchdy	Grad-/Maßwert III | feucht am Ende des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken in der Mitte des Grades | heiß und bis zur mittleren Einweichstufe | feucht in der Mitte des Grades | heiß, Grad III | trockenes Arzneikompositum am Gradanfang | kalter Ansatz in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz, Form I | Drogenholz, getrocknete Kurz-/Kompaktform	Grad-/Maßwert III | feucht am Ende des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken in der Mitte des Grades | heiß und bis zur mittleren Einweichstufe | feucht in der Mitte des Grades | heiß, Grad III | trockenes Arzneikompositum am Gradanfang | kalter Ansatz in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz, Form I | getrocknete Holzdroge, Kompaktform	Drogenholz, getrocknete Kurz-/Kompaktform	getrocknete Holzdroge, Kompaktform	Grad-/Maßwert III; feucht am Ende des Grades; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken in der Mitte des Grades; heiß und bis zur mittleren Einweichstufe; feucht in der Mitte des Grades; heiß, Grad III; trockenes Arzneikompositum am Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; eingeweichtes Drogenholz, Form I; Drogenholz, getrocknete Kurz-/Kompaktform	Grad-/Maßwert III; feucht am Ende des Grades; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken in der Mitte des Grades; heiß und bis zur mittleren Einweichstufe; feucht in der Mitte des Grades; heiß, Grad III; trockenes Arzneikompositum am Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; eingeweichtes Drogenholz, Form I; getrocknete Holzdroge, Kompaktform	1	0	0	0	0	0	10	1
f103v	f103v.36	S	B	3	5	0	1	1	1	saiin	saiin shey qokeey oshey olshedy	Samen/Saatgut, Typ/Charge III | feucht in der Mitte des Grades | heiß am Ende des Grades | Ansatz bis zur mittleren Stufe eingeweicht | Holzdroge im Ansatz vollständig eingeweicht	Samencharge III | feucht in der Mitte des Grades | heiß am Ende des Grades | Ansatz bis zur mittleren Stufe eingeweicht | Holzdroge im Ansatz vollständig eingeweicht	Samen/Saatgut, Typ/Charge III	Samencharge III	Samen/Saatgut, Typ/Charge III; feucht in der Mitte des Grades; heiß am Ende des Grades; Ansatz bis zur mittleren Stufe eingeweicht; Holzdroge im Ansatz vollständig eingeweicht	Samencharge III; feucht in der Mitte des Grades; heiß am Ende des Grades; Ansatz bis zur mittleren Stufe eingeweicht; Holzdroge im Ansatz vollständig eingeweicht	1	0	0	0	0	0	4	1
f103v	f103v.4	S	B	3	8	0	1	1	8	ykeedy	y cheey qokeey okeey lkees ol qoteedy ykeedy	Eintrag: | trocken am Ende des Grades | heiß am Ende des Grades | heißer Ansatz am Ende des Grades | stark erhitzte Holzdroge, Endstufe | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt am Ende des Grades, abgeschlossen | Eintrag/Bezug: heiß am Gradende, abgeschlossen	Eintrag: | trocken am Ende des Grades | heiß am Ende des Grades | heißer Ansatz am Ende des Grades | stark erhitzte Holzdroge, Endstufe | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt am Ende des Grades, abgeschlossen | Eintrag: heiß am Gradende, abgeschlossen	Eintrag/Bezug: heiß am Gradende, abgeschlossen	Eintrag: heiß am Gradende, abgeschlossen	Eintrag: trocken am Ende des Grades; heiß am Ende des Grades; heißer Ansatz am Ende des Grades; stark erhitzte Holzdroge, Endstufe; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; kalt am Ende des Grades, abgeschlossen; Eintrag/Bezug: heiß am Gradende, abgeschlossen	Eintrag: trocken am Ende des Grades; heiß am Ende des Grades; heißer Ansatz am Ende des Grades; stark erhitzte Holzdroge, Endstufe; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; kalt am Ende des Grades, abgeschlossen; Eintrag: heiß am Gradende, abgeschlossen	1	0	0	0	0	0	7	1
