occurrence_id	page	locus	token_ordinal	surface	reading_id	family	v99r3_meaning_de	v99r4_meaning_de	inherited_v48_gloss_de	token_retained	ordinal_retained	strongest_rival_de	source_evidence	working_model_score_0_100_not_probability	working_model_level	positive_evidence_de	counterevidence_de	semantic_scope	historical_confirmation	component_relation_credit
G731-P0001	f100r	f100r.13	2	cthey	cthey#GLOBAL	PLANT_WHOLE	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	Pflanzendroge, Form I	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	1	1	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT638:ROUND_03	66	W3_SOLID_WORKING_THEORY	V48-Quelle GDT638:ROUND_03 mit Staerke EXACT_WHOLE_SURFACE_PROMOTION und Scope KNOWN_EXACT_WHOLE; 38 exakte ZL3b-Vorkommen auf 33 Seiten und 38 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0
G731-P0002	f100r	f100r.23	1	soiin	soiin#GLOBAL	SEED_WHOLE	Samen/Saatgutzubereitung, Form III	Samenzubereitung, Form III	Samen/Saatgutzubereitung, Form III	1	1	Samendrogenzubereitung	V13:SCOPED_RESIDUAL_HEAD_FORM	61	W3_SOLID_WORKING_THEORY	V48-Quelle V13:SCOPED_RESIDUAL_HEAD_FORM mit Staerke NEW_V13_ATTESTED_CONCRETE_DEFAULT und Scope KNOWN_EXACT_WHOLE; 15 exakte ZL3b-Vorkommen auf 14 Seiten und 15 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0
G731-P0003	f100v	f100v.13	2	ctharal	ctharal#GLOBAL	PLANT_WHOLE	erste Kraut- oder Blattfraktion aus Rohdroge I	Pflanzenanteil I aus Rohdroge I	[erste Kraut- oder Blattfraktion aus Rohdroge I-Zeichen]	1	1	lokal im Herbal Blattgut; Fraktion I als technischer Rival	GDT666:EXACT_WHOLE|GDT693:R_INDEXED_SHARE	4	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	V48-Quelle GDT666:EXACT_WHOLE mit Staerke LOW_EXPLORATORY und Scope KNOWN_EXACT_WHOLE; 1 exakte ZL3b-Vorkommen auf 1 Seiten und 1 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie; Quelle ist ausdruecklich LOW/EXPLORATORY; kein seitenuebergreifender Bedeutungsbeleg	KNOWN_EXACT_WHOLE	H0_NONE	0
G731-P0004	f102r1	f102r1.11	3	sol	sol#GLOBAL	SEED_WHOLE	Samenmaterial/Saatgut	Samenmaterial	Samenmaterial/Saatgut	1	1	Saatgut	V13:SCOPED_CONCRETE_HEAD_FORM	61	W3_SOLID_WORKING_THEORY	V48-Quelle V13:SCOPED_CONCRETE_HEAD_FORM mit Staerke NEW_V12_ATTESTED_CONCRETE_DEFAULT und Scope KNOWN_EXACT_WHOLE; 57 exakte ZL3b-Vorkommen auf 37 Seiten und 57 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0
G731-P0005	f102r1	f102r1.17	4	sody	sody#GLOBAL	SEED_WHOLE	Samen/Saatgut, fertig aufbereitet	fertig aufbereitete Samen	Samen/Saatgut, fertig aufbereitet	1	1	aufbereitete Samendroge	V13:SCOPED_RESIDUAL_HEAD_FORM	51	W2_PROVISIONAL_WORKING	V48-Quelle V13:SCOPED_RESIDUAL_HEAD_FORM mit Staerke NEW_V13_ATTESTED_CONCRETE_DEFAULT und Scope KNOWN_EXACT_WHOLE; 4 exakte ZL3b-Vorkommen auf 4 Seiten und 4 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0
G731-P0006	f102r1	f102r1.3	2	shocthy	shocthy#GLOBAL	PLANT_WHOLE	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung	feuchte Pflanzenzubereitung	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung	1	1	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	V13:MOIST_CTH_PREPARATION	53	W2_PROVISIONAL_WORKING	V48-Quelle V13:MOIST_CTH_PREPARATION mit Staerke REVISED_V10_CONCRETE_DEFAULT und Scope KNOWN_CONTEXT_LICENSED; 10 exakte ZL3b-Vorkommen auf 10 Seiten und 10 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie; Form-/Bedeutungsscope KNOWN_CONTEXT_LICENSED ist nicht global exakt	KNOWN_CONTEXT_LICENSED	H0_NONE	0
G731-P0007	f102v1	f102v1.11	1	sol	sol#GLOBAL	SEED_WHOLE	Samenmaterial/Saatgut	Samenmaterial	Samenmaterial/Saatgut	1	1	Saatgut	V13:SCOPED_CONCRETE_HEAD_FORM	61	W3_SOLID_WORKING_THEORY	V48-Quelle V13:SCOPED_CONCRETE_HEAD_FORM mit Staerke NEW_V12_ATTESTED_CONCRETE_DEFAULT und Scope KNOWN_EXACT_WHOLE; 57 exakte ZL3b-Vorkommen auf 37 Seiten und 57 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0
G731-P0008	f102v1	f102v1.13	8	oaiin	oaiin#GLOBAL	QUANTITY_WHOLE	Ansatzmenge III	drei Ansatzportionen	Ansatzmenge III	1	1	absolutes Maß statt Portion	V13:TARGET_SURFACE_DEFAULT	68	W3_SOLID_WORKING_THEORY	V48-Quelle V13:TARGET_SURFACE_DEFAULT mit Staerke NEW_V11_TARGET_DEFAULT und Scope KNOWN_EXACT_WHOLE; 22 exakte ZL3b-Vorkommen auf 19 Seiten und 22 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0
G731-P0009	f102v1	f102v1.13	10	saiim	saiim#GLOBAL	SEED_WHOLE	Samendroge: Mengenklasse III	Samen, Quantitätsklasse III	Samendroge: Mengenklasse III	1	1	drei Portionen Samen	GDT637:AIM_AIIM_DISTINCT_QUANTITY_CLASS_LADDER	26	W1_WEAK_WORKING	V48-Quelle GDT637:ATTESTED_LADDER_CELL mit Staerke SCOPED_LADDER_EXTENSION und Scope KNOWN_EXACT_WHOLE; 1 exakte ZL3b-Vorkommen auf 1 Seiten und 1 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie; kein seitenuebergreifender Bedeutungsbeleg	KNOWN_EXACT_WHOLE	H0_NONE	0
G731-P0010	f102v1	f102v1.20	1	soiin	soiin#GLOBAL	SEED_WHOLE	Samen/Saatgutzubereitung, Form III	Samenzubereitung, Form III	Samen/Saatgutzubereitung, Form III	1	1	Samendrogenzubereitung	V13:SCOPED_RESIDUAL_HEAD_FORM	61	W3_SOLID_WORKING_THEORY	V48-Quelle V13:SCOPED_RESIDUAL_HEAD_FORM mit Staerke NEW_V13_ATTESTED_CONCRETE_DEFAULT und Scope KNOWN_EXACT_WHOLE; 15 exakte ZL3b-Vorkommen auf 14 Seiten und 15 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0
