event_id	record_unit_id	statement_id	visible_surface	master_card_id	portable_value_de	component_family	branch_lineage	exact_card_in_parent_branch	addendum_role
E362	B5	B5-S001	otchdy	MC067	Nachtransfer; Schluss	TRANSFER_CLOSE	LEFT_N6_TO_N8	NO	OPERATIONAL_CONTINUATION
E363	B5	B5-S002	qokchdy	MC088	einführen; Schluss	TRANSFER_CLOSE	LEFT_N6_TO_N8	NO	OPERATIONAL_CONTINUATION
E364	B5	B5-S003	shedal	MC113	am Ziel absetzen	TARGET_SETTLE	LEFT_N6_TO_N8	NO	OPERATIONAL_CONTINUATION
E365	B5	B5-S003	dal	MC154	dorthin	TARGET	LEFT_N6_TO_N8	NO	OPERATIONAL_CONTINUATION
E366	B5	B5-S003	cheol	MC153	weiter	CONTINUE	LEFT_N6_TO_N8	YES	OPERATIONAL_CONTINUATION
E367	B5	B5-S003	lol	MC092	Weiterabzug	CONTINUED_OUTPUT	LEFT_N6_TO_N8	NO	OPERATIONAL_CONTINUATION
E368	B5	B5-S003	chdal	MC001	Zieltransfer	TARGET_TRANSFER	LEFT_N6_TO_N8	NO	OPERATIONAL_CONTINUATION
E369	B5	B5-S003	aiin	MC039	Sollwert	MEASURE	LEFT_N6_TO_N8	YES	OPERATIONAL_CONTINUATION
E370	B5	B5-S003	sol	MC153	weiter	CONTINUE	LEFT_N6_TO_N8	YES	OPERATIONAL_CONTINUATION
E371	B5	B5-S003	daiiin	MC172	Endstufe	END_STAGE	LEFT_N6_TO_N8	NO	OPERATIONAL_CONTINUATION
E372	B5	B5-S003	chedy	MC074	überführen	TRANSFER	LEFT_N6_TO_N8	YES	OPERATIONAL_CONTINUATION
E373	B6	B6-S001	solkeey	MC020	Langsammlung	COLLECTION_LONG	RIGHT_N7_TO_N9	NO	ENDPOINT_SUMMARY
E374	B6	B6-S001	qekey	MC052	kurz bearbeiten	ACTION_SHORT	RIGHT_N7_TO_N9	NO	ENDPOINT_SUMMARY
E375	B6	B6-S001	raly	MC046	Endposten	END_TARGET	RIGHT_N7_TO_N9	NO	ENDPOINT_SUMMARY
E376	B6	B6-S001	ol	MC153	weiter	CONTINUE	RIGHT_N7_TO_N9	NO	ENDPOINT_SUMMARY
E377	B6	B6-S001	daiin	MC039	Sollwert	MEASURE	RIGHT_N7_TO_N9	NO	ENDPOINT_SUMMARY
E378	B6	B6-S001	ol	MC153	weiter	CONTINUE	RIGHT_N7_TO_N9	NO	ENDPOINT_SUMMARY
E379	B6	B6-S001	dain	MC059	Einlage	INSERT	RIGHT_N7_TO_N9	NO	ENDPOINT_SUMMARY
E380	B6	B6-S001	chey	MC123	dies	REFERENT	RIGHT_N7_TO_N9	NO	ENDPOINT_SUMMARY
E381	B6	B6-S001	ldalor	MC101	Endziel	END_TARGET	RIGHT_N7_TO_N9	NO	ENDPOINT_SUMMARY
