stop_blocked_factor_rules	mutation_family	immediate_recovery_status	occurrence_count	distinct_stop_probe_count	distinct_target_recipe_count	distinct_following_recipe_count	physical_page_count
CLOSE:NO_ACTIVE_ACTION	ATOM_DELETION	NO_FOLLOWING_CARD	5	5	5	1	3
EMPTY_RECIPE	ATOM_DELETION	NO_FOLLOWING_CARD	14	13	1	1	9
EMPTY_RECIPE	ATOM_DELETION	RECOVERED_AMBER	1	1	1	1	1
EMPTY_RECIPE	ATOM_DELETION	RECOVERED_GREEN	891	853	1	369	23
FOCUS:CHD<-EEE	ATOM_DELETION	RECOVERED_GREEN	1	1	1	1	1
FOCUS:CHD<-EEE	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	11	6	2	1	7
FOCUS:CHD<-EEE	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	19	19	12	17	9
FOCUS:CHD<-EEE|PAIR:CH>CHD	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	2	2	2	2	2
FOCUS:R<-EEE	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	2	2	1	1	2
FOCUS:R<-EEE	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	14	14	8	13	9
PAIR:CH>CHD	ADJACENT_SWAP	RECOVERED_GREEN	2	2	2	2	2
PAIR:CH>CHD	ATOM_DELETION	RECOVERED_GREEN	2	2	2	2	2
PAIR:CH>CHD	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	52	47	25	1	13
PAIR:CH>CHD	SAME_CLASS_SUBSTITUTION	RECOVERED_AMBER	1	1	1	1	1
PAIR:CH>CHD	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	349	349	110	205	24
PAIR:CH>CHD|PAIR:CHD>CH	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	1	1	1	1	1
PAIR:CH>CHD|PAIR:CHD>CH	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	2	2	2	2	2
PAIR:CH>CHD|PAIR:CHD>CHD	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	2	2	2	2	2
PAIR:CH>CHD|PAIR:CHD>K	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	7	7	3	7	5
PAIR:CH>CHD|PAIR:CHD>P	ADJACENT_SWAP	RECOVERED_GREEN	1	1	1	1	1
PAIR:CH>CHD|PAIR:CHD>P	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	2	2	2	1	2
PAIR:CH>CHD|PAIR:CHD>P	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	6	6	2	5	5
PAIR:CH>CHD|PAIR:CHD>R	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	1	1	1	1	1
PAIR:CH>CHD|PAIR:CHD>SH	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	1	1	1	1	1
PAIR:CH>CHD|PAIR:CHD>SH	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	1	1	1	1	1
PAIR:CH>CHD|PAIR:CHD>T	ADJACENT_SWAP	RECOVERED_GREEN	1	1	1	1	1
PAIR:CH>CHD|PAIR:CHD>T	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	3	3	3	1	2
PAIR:CH>CHD|PAIR:CHD>T	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	16	16	5	16	11
PAIR:CH>SH	ADJACENT_SWAP	NO_FOLLOWING_CARD	6	6	4	1	3
PAIR:CH>SH	ADJACENT_SWAP	RECOVERED_GREEN	28	28	11	24	10
PAIR:CH>SH	ATOM_DELETION	NO_FOLLOWING_CARD	2	2	2	1	1
PAIR:CH>SH	ATOM_DELETION	RECOVERED_GREEN	2	2	2	2	2
PAIR:CH>SH	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	44	44	26	1	15
PAIR:CH>SH	SAME_CLASS_SUBSTITUTION	RECOVERED_AMBER	1	1	1	1	1
PAIR:CH>SH	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	377	377	130	214	24
PAIR:CH>SH|PAIR:SH>CHD	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	2	2	2	2	2
PAIR:CH>SH|PAIR:SH>P	ADJACENT_SWAP	NO_FOLLOWING_CARD	1	1	1	1	1
PAIR:CH>SH|PAIR:SH>P	ADJACENT_SWAP	RECOVERED_GREEN	1	1	1	1	1
PAIR:CH>SH|PAIR:SH>P	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	2	2	2	1	2
PAIR:CH>SH|PAIR:SH>P	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	6	6	2	5	5
PAIR:CH>SH|PAIR:SH>R	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	1	1	1	1	1
PAIR:CH>SH|PAIR:SH>S	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	2	2	1	2	2
PAIR:CH>SH|PAIR:SH>SH	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	1	1	1	1	1
PAIR:CH>SH|PAIR:SH>SH	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	1	1	1	1	1
PAIR:CHD>CH	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	14	14	10	1	8
PAIR:CHD>CH	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	140	140	67	106	24
PAIR:CHD>CHD	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	26	21	6	1	8
PAIR:CHD>CHD	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	36	36	13	31	10
PAIR:CHD>K	ADJACENT_SWAP	RECOVERED_GREEN	12	12	11	8	5
PAIR:CHD>K	ATOM_DELETION	RECOVERED_GREEN	3	3	3	3	2
PAIR:CHD>K	SAME_CLASS_SUBSTITUTION	NO_FOLLOWING_CARD	14	14	10	1	13
PAIR:CHD>K	SAME_CLASS_SUBSTITUTION	RECOVERED_AMBER	1	1	1	1	1
PAIR:CHD>K	SAME_CLASS_SUBSTITUTION	RECOVERED_GREEN	132	132	46	88	23
