recovery_id	replay_id	neighbor_id	context_id	event_id	statement_id	physical_page	owner_de	source_recipe	stopped_target_recipe	mutation_family	incoming_action	incoming_argument	scope_incoming_action	stop_blocked_factor_rules	stop_final_decision	stop_state_preserved	actual_next_available	next_event_id	actual_next_recipe	next_next_recipe	source_next_recipe_alignment	actual_next_baseline_decision	recovery_decision_after_stop	recovery_route	recovery_blocked_factor_rules	recovery_identity_route	recovery_advisory_history	recovery_action_after	recovery_argument_after	immediate_recovery_status	cascade_boundary_event_id	cascade_boundary_recipe	cascade_boundary_decision	cascade_boundary_route	cascade_boundary_blocked_factor_rules	cascade_resolution_status	identity_can_override	advisory_can_override	meaning_revision	surface_prediction	occurrence_prediction
G452-R00001	G448-R000001	G447-N00001	G448-C0001	G407-E0332	P1009-S004	f11r	blühender dreikroniger Sodenstock	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	AIIN	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E0333	D_ADDR+O+D_ADDR	D_ADDR+OL	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	CH	AIIN	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00002	G448-R000002	G447-N00001	G448-C0002	G407-E1269	P1009-S058	f72r	Tierkreis-Ringgruppe E	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	AIIN	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E1270	SH+OK+AL	OT+E+Y	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	OK	AIIN	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00003	G448-R000003	G447-N00001	G448-C0003	G407-E4205	P1009-S617	f89r	Gefäß-/Pflanzenteilgruppe D	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	AIIN	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E4206	Y	CHD+AIN	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	CH	Y	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00004	G448-R000004	G447-N00001	G448-C0004	G407-E4185	P1009-S614	f89r	Gefäß-/Pflanzenteilgruppe C	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	AIN	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E4186	CH+O+D_ADDR+AIIN	NONE	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	CH	AIIN	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00005	G448-R000005	G447-N00001	G448-C0005	G407-E3866	P1009-S592	f88r	sechzehn Drogenposten und drei Gefäßansätze	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	OR	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E3867	CH+O+S+AL+S	E+OL	YES	READ	READ	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	NONE	IDENTITY_EXACT_OBSERVED	NO_GDT449_TARGET_HISTORY	S	OR	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00006	G448-R000006	G447-N00001	G448-C0006	G407-E0283	P1009-S002	f10r	zweiknolliges blauköpfiges Heilkraut	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	OR	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E0284	D_ADDR+AR	O+Y+K+CH+OR	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	CH	OR	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00007	G448-R000007	G447-N00001	G448-C0007	G407-E0410	P1009-S006	f13r	große Wurzelkrone mit Blatt und Blütenstand	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	OR	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E0411	OT+CH+OL	OK+Y	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	CH	OR	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00008	G448-R000008	G447-N00001	G448-C0008	G407-E2091	P1009-S240	f76r	unbebilderter Textabschnitt A7	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	Y	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E2092	CH+O+D_ADDR+AIIN	OK+AIIN	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	CH	AIIN	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00009	G448-R000009	G447-N00001	G448-C0009	G407-E0864	P1009-S030	f56r	stachelköpfiges Kraut in mehreren Reifestufen	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	Y	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E0865	CH+T+OL	CH+O+S	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	T	Y	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00010	G448-R000010	G447-N00001	G448-C0010	G407-E4107	P1009-S610	f89r	Gefäß-/Pflanzenteilgruppe A	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	Y	CH	EMPTY_RECIPE	STOP	YES	NO	NONE	NONE	NONE	YES	NO_CARD	NO_CARD	NO_FOLLOWING_SOURCE_CARD_IN_SAME_SCOPE	NONE	NONE	NONE	CH	Y	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00011	G448-R000011	G447-N00001	G448-C0011	G407-E0349	P1009-S004	f11r	blühender dreikroniger Sodenstock	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	Y	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E0350	O+D_ADDR+L	D_ADDR	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	CH	Y	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00012	G448-R000012	G447-N00001	G448-C0012	G407-E3788	P1009-S589	f83r	Variantenatlas lokaler Becken und Anwendungen	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	Y	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E3789	OL	AIN	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	CH	Y	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00013	G448-R000013	G447-N00001	G448-C0013	G407-E1267	P1009-S058	f72r	Tierkreis-Ringgruppe E	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	Y	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E1268	OT+E+O	AIIN	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	OBSERVED_CONTEXT_ALL_GREEN	CH	Y	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G452-R00014	G448-R000014	G447-N00001	G448-C0014	G407-E1085	P1009-S046	f71v	erste lokale Figuren-/Sternringgruppe	AIIN	EMPTY_RECIPE	ATOM_DELETION	CH	Y	CH	EMPTY_RECIPE	STOP	YES	YES	G407-E1086	OT+E+O+SH+AR	OK+E+O+D_ADDR+AL+Y	YES	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	IDENTITY_EXACT_OBSERVED	NO_GDT449_TARGET_HISTORY	SH	Y	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
