recovery_id	event_id	physical_page	stopped_target_recipe	stop_blocked_factor_rules	actual_next_recipe	recovery_blocked_factor_rules	immediate_recovery_status	cascade_boundary_event_id	cascade_boundary_recipe	cascade_boundary_decision	cascade_resolution_status
G452-R00010	G407-E4107	f89r	EMPTY_RECIPE	EMPTY_RECIPE	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00019	G407-E4551	f95v	EMPTY_RECIPE	EMPTY_RECIPE	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00037	G407-E0901	f56r	EMPTY_RECIPE	EMPTY_RECIPE	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00117	G407-E1285	f72r	EMPTY_RECIPE	EMPTY_RECIPE	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00304	G407-E0940	f67r2	EMPTY_RECIPE	EMPTY_RECIPE	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00334	G407-E0927	f67r2	EMPTY_RECIPE	EMPTY_RECIPE	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00350	G407-E4486	f95v	CH+CH+T+K+E+DY	PAIR:T>K	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00354	G407-E1963	f76r	CH+SH+E+DY	PAIR:CH>SH	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00356	G407-E2209	f76r	CH+SH+EE+DY	PAIR:CH>SH	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00395	G407-E2270	f76r	K+P+Y	PAIR:K>P	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00415	G407-E0443	f17r	LOCAL_CHAR_F+O+DY	CLOSE:NO_ACTIVE_ACTION	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00451	G407-E1870	f76r	E+DY	CLOSE:NO_ACTIVE_ACTION	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
G452-R00672	G407-E0957	f67r2	EMPTY_RECIPE	EMPTY_RECIPE	NONE	NONE	NO_FOLLOWING_CARD	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE
