group_id	component	event_id	page	surface	component_recipe	full_statement_de
G01	OK	E008	f10r	oky	OK+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; dazu Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.
G01	OK	E011	f10r	qokchy	OK+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
G01	OK	E053	f11r	okchol	OK+OL	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
G01	T	E004	f10r	chty	T+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; dazu Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.
G01	T	E007	f10r	otytchol	OT+Y+T+CH+OL	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; dazu Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.
G01	T	E010	f10r	etyd	E+T+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; dazu Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.
G01	CHD	E062	f55v	chedy	CHD+Y	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.
G01	CHD	E120	f81v	schedy	CHD+DY	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
G01	CHD	E122	f81v	sshkchdy	SH+K+CHD+DY	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.
G02	K	E032	f10r	oykchor	O+Y+K+OR	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
G02	K	E036	f10r	kaiiin	K+IIN	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
G02	K	E049	f11r	kchy	K+Y	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
G02	P	E043	f11r	cphy	P+Y	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einfuellen, laenger halten, entnehmen und den Schritt schliessen.
G02	P	E221	f82r	pchedy	P+CHD+DY	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einfuellen, umsetzen und schliessen.
G02	P	E248	f83r	pchedal	P+CHD+AL	Am unteren Korbgefaess: An der Zielstelle einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen.
G02	L	E112	f81v	dl	L	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
G02	L	E147	f81v	lchedal	L+CHD+AL	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.
G02	L	E159	f81v	ly	L+Y	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.
G03	SH	E039	f11r	tshol	T+SH+OL	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einfuellen, laenger halten, entnehmen und den Schritt schliessen.
G03	SH	E040	f11r	schoal	SH+O+AL	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einfuellen, laenger halten, entnehmen und den Schritt schliessen.
G03	SH	E042	f11r	shfydaiin	SH+Y+AIIN	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einfuellen, laenger halten, entnehmen und den Schritt schliessen.
G03	SHED	E125	f81v	shedy	SHED+DY	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.
G03	SHED	E225	f82r	rshedy	R+SHED+DY	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.
G03	SHED	E275	f83r	shedal	SHED+AL	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.
G04	OL	E007	f10r	otytchol	OT+Y+T+CH+OL	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; dazu Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.
G04	OL	E012	f10r	qotchol	OT+CH+OL	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
G04	OL	E013	f10r	chol	OL	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
