group_id	component	event_id	page	statement_id	surface	component_recipe	literal_de	owner_de
G01	OK	E008	f10r	H1-S001	oky	OK+Y	ANSETZEN · DIES	abgebildete breit gezähnte radialblütige Pflanze
G01	OK	E011	f10r	H1-S002	qokchy	OK+Y	ANSETZEN · DIES	abgebildete breit gezähnte radialblütige Pflanze
G01	OK	E053	f11r	H3-S004	okchol	OK+OL	ANSETZEN · WEITER	abgebildete dicht blau blühende Kronenpflanze
G01	OK	E056	f55v	H4-S001	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	abgebildete breitblättrige rispige Pflanze
G01	OK	E069	f55v	H4-S004	okal	OK+AL	ANSETZEN · ZIELSTELLE	abgebildete breitblättrige rispige Pflanze
G01	OK	E081	f56r	H5-S001	choky	OK+Y	ANSETZEN · DIES	abgebildete mehrköpfige stachelige Pflanze
G01	OK	E085	f56r	H5-S002	choky	OK+Y	ANSETZEN · DIES	abgebildete mehrköpfige stachelige Pflanze
G01	OK	E090	f56r	H5-S003	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	abgebildete mehrköpfige stachelige Pflanze
G01	OK	E091	f56r	H5-S004	okchy	OK+Y	ANSETZEN · DIES	abgebildete mehrköpfige stachelige Pflanze
G01	OK	E092	f56r	H5-S004	chokcheo	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · VORGANG	abgebildete mehrköpfige stachelige Pflanze
G01	OK	E095	f56r	H5-S005	chokchy	OK+Y	ANSETZEN · DIES	abgebildete mehrköpfige stachelige Pflanze
G01	OK	E101	f81v	B1-S001	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E102	f81v	B1-S002	okaiin	OK+AIIN	ANSETZEN · SOLLMASS	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E104	f81v	B1-S002	okal	OK+AL	ANSETZEN · ZIELSTELLE	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E117	f81v	B1-S002	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E127	f81v	B1-S006	qokain	OK+AIN	ANSETZEN · PORTION	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E131	f81v	B1-S007	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E137	f81v	B1-S009	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E138	f81v	B1-S010	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E140	f81v	B1-S011	qoky	OK+Y	ANSETZEN · DIES	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E142	f81v	B1-S012	qokey	OK+E+Y	ANSETZEN · KURZ · DIES	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E151	f81v	B1-S015	okchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E152	f81v	B1-S016	qokal	OK+AL	ANSETZEN · ZIELSTELLE	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E153	f81v	B1-S016	okeey	OK+EE+Y	ANSETZEN · LANG · DIES	gemeinsame zweireihige Figuren-/Beckenstation
G01	OK	E169	f82r	B2-S003	qokain	OK+AIN	ANSETZEN · PORTION	oberes Beckenpaar mit Zylinder
G01	OK	E171	f82r	B2-S003	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	oberes Beckenpaar mit Zylinder
G01	OK	E172	f82r	B2-S004	qokal	OK+AL	ANSETZEN · ZIELSTELLE	oberes Beckenpaar mit Zylinder
G01	OK	E175	f82r	B2-S004	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	oberes Beckenpaar mit Zylinder
G01	OK	E177	f82r	B2-S005	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · DIES	oberes Beckenpaar mit Zylinder
G01	OK	E180	f82r	B2-S005	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	oberes Beckenpaar mit Zylinder
G01	OK	E181	f82r	B2-S005	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	oberes Beckenpaar mit Zylinder
G01	OK	E186	f82r	B2-S006	qokal	OK+AL	ANSETZEN · ZIELSTELLE	oberes Beckenpaar mit Zylinder
G01	OK	E188	f82r	B2-S006	qoky	OK+Y	ANSETZEN · DIES	oberes Beckenpaar mit Zylinder
G01	OK	E191	f82r	B2-S008	qokar	OK+AR	ANSETZEN · QUELLE	mittleres linkes Handgerät mit Inline-Knoten
G01	OK	E194	f82r	B2-S010	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	mittleres linkes Handgerät mit Inline-Knoten
G01	OK	E195	f82r	B2-S010	qoky	OK+Y	ANSETZEN · DIES	mittleres linkes Handgerät mit Inline-Knoten
G01	OK	E198	f82r	B2-S011	okain	OK+AIN	ANSETZEN · PORTION	mittlere rechte unklare Station
G01	OK	E200	f82r	B2-S011	okain	OK+AIN	ANSETZEN · PORTION	mittlere rechte unklare Station
G01	OK	E201	f82r	B2-S011	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	mittlere rechte unklare Station
G01	OK	E205	f82r	B2-S012	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	unteres grünes Mehrfigurenbecken
G01	OK	E209	f82r	B2-S012	qokeeedy	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	unteres grünes Mehrfigurenbecken
G01	OK	E213	f82r	B2-S015	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	kleine Randstationen des unteren Beckens
G01	OK	E219	f82r	B2-S016	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	kleine Randstationen des unteren Beckens
G01	OK	E220	f82r	B2-S016	okey	OK+E+Y	ANSETZEN · KURZ · DIES	kleine Randstationen des unteren Beckens
G01	OK	E224	f82r	B2-S018	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	kleine Randstationen des unteren Beckens
G01	OK	E227	f82r	B2-S021	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	kleine Randstationen des unteren Beckens
G01	OK	E236	f83r	B3-S004	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	obere offene Fächerstation am Rand
G01	OK	E241	f83r	B3-S006	qokal	OK+AL	ANSETZEN · ZIELSTELLE	mittlere Randfigur im runden Gefäß
G01	OK	E243	f83r	B3-S007	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	mittlere Randfigur im runden Gefäß
G01	OK	E245	f83r	B3-S007	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	mittlere Randfigur im runden Gefäß
G01	OK	E247	f83r	B3-S009	qoky	OK+Y	ANSETZEN · DIES	mittlere Randfigur im runden Gefäß
G01	OK	E251	f83r	B3-S011	qoky	OK+Y	ANSETZEN · DIES	untere Randfigur im korbartigen Gefäß
G01	OK	E256	f83r	B3-S013	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	untere Randfigur im korbartigen Gefäß
G01	OK	E259	f83r	B3-S013	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	untere Randfigur im korbartigen Gefäß
G01	OK	E260	f83r	B3-S014	okair	OK+AIR	ANSETZEN · WASSER	untere Randfigur im korbartigen Gefäß
G01	OK	E264	f83r	B3-S016	qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	unverbundener Zwischenbereich
