page_a	page_b	same_hand	same_section	exact_card_jaccard	shared_exact_cards	component_jaccard	component_frequency_cosine
f10r	f11r	YES	YES	0.081081	3	0.434783	0.759175
f10r	f55v	NO	YES	0.078947	3	0.458333	0.793438
f10r	f56r	YES	YES	0.095238	4	0.458333	0.679375
f10r	f81v	NO	NO	0.096774	6	0.448276	0.527046
f10r	f82r	NO	NO	0.059701	4	0.322581	0.502410
f10r	f83r	NO	NO	0.083333	8	0.468750	0.548635
f11r	f55v	NO	YES	0.068966	2	0.440000	0.753632
f11r	f56r	YES	YES	0.058824	2	0.565217	0.634160
f11r	f81v	NO	NO	0.035714	2	0.387097	0.528999
f11r	f82r	NO	NO	0.051724	3	0.448276	0.602572
f11r	f83r	NO	NO	0.044444	4	0.454545	0.602042
f55v	f56r	NO	YES	0.027778	1	0.583333	0.716609
f55v	f81v	YES	NO	0.092593	5	0.551724	0.666836
f55v	f82r	YES	NO	0.068966	4	0.466667	0.677345
f55v	f83r	YES	NO	0.091954	8	0.515152	0.725340
f56r	f81v	NO	NO	0.049180	3	0.551724	0.611453
f56r	f82r	NO	NO	0.046875	3	0.517241	0.646008
f56r	f83r	NO	NO	0.041667	4	0.515152	0.625705
f81v	f82r	YES	YES	0.186667	14	0.645161	0.853615
f81v	f83r	YES	YES	0.232323	23	0.781250	0.917115
f82r	f83r	YES	YES	0.179245	19	0.750000	0.939279
