long	short	long_count	short_count	long_pages	short_pages	same_label_pages	long_hands	short_hands	row_status
aiin	ain	8	3	f77r,f82r,f83r	f77r	f77r	2	2	recorded
araiin	arain	1	0	f82r	NONE	NONE	2	NONE	recorded
chedaiin	chedain	5	1	f77r,f83r	f83r	f83r	2	2	recorded
chkaiin	chkain	2	1	f21r	f83r	NONE	1	2	recorded
chldaiin	chldain	1	0	f83r	NONE	NONE	2	NONE	recorded
cthaiin	cthain	1	0	f32v	NONE	NONE	1	NONE	recorded
cthodaiin	cthodain	1	0	f21r	NONE	NONE	1	NONE	recorded
daiin	dain	24	4	f21r,f29v,f32v,f77r,f82r,f83r	f32v,f83r	f32v,f83r	1,2	1,2	recorded
laiin	lain	2	0	f77r	NONE	NONE	2	NONE	recorded
lkaiin	lkain	1	0	f82r	NONE	NONE	2	NONE	recorded
ltaiin	ltain	1	0	f77r	NONE	NONE	2	NONE	recorded
odaiin	odain	1	0	f29v	NONE	NONE	1	NONE	recorded
okaiin	okain	6	3	f21r,f29v,f77r	f82r,f83r	NONE	1,2	2	recorded
olaiin	olain	2	0	f17r,f77r	NONE	NONE	1,2	NONE	recorded
otaiin	otain	3	1	f21r,f83r	f82r	NONE	1,2	2	recorded
qekaiin	qekain	1	0	f83r	NONE	NONE	2	NONE	recorded
qokaiin	qokain	28	12	f77r,f82r,f83r	f77r,f82r,f83r	f77r,f82r,f83r	2	2	recorded
qotaiin	qotain	10	2	f21r,f32v,f77r,f82r,f83r	f77r	f77r	1,2	2	recorded
qotcheaiin	qotcheain	1	0	f29v	NONE	NONE	1	NONE	recorded
qotedaiin	qotedain	1	0	f83r	NONE	NONE	2	NONE	recorded
qykaiin	qykain	1	0	f77r	NONE	NONE	2	NONE	recorded
raiin	rain	6	1	f77r,f82r	f82r	f82r	2	2	recorded
saiin	sain	6	4	f77r,f83r	f77r,f82r,f83r	f77r,f83r	2	2	recorded
sheaiin	sheain	1	0	f32v	NONE	NONE	1	NONE	recorded
shedaiin	shedain	4	0	f77r,f82r,f83r	NONE	NONE	2	NONE	recorded
solkaiin	solkain	1	0	f82r	NONE	NONE	2	NONE	recorded
sotaiin	sotain	1	0	f82r	NONE	NONE	2	NONE	recorded
taiin	tain	2	1	f29v,f82r	f77r	NONE	1,2	2	recorded
tshaiin	tshain	1	0	f21r	NONE	NONE	1	NONE	recorded
ytaiin	ytain	1	0	f83r	NONE	NONE	2	NONE	recorded
