mode	package	page	record	line	locus	word	normalized	kind	rendering	row_status
N	HERB4	f17r	f17r	f17r.4	f17r.4:1	tcho	tcho	OPEN	⟦tcho⟧	recorded
N	HERB4	f17r	f17r	f17r.4	f17r.4:2	shol	shol	OPEN	⟦shol⟧	recorded
N	HERB4	f17r	f17r	f17r.4	f17r.4:3	qokol	qokol	OPEN	⟦qokol⟧	recorded
N	HERB4	f17r	f17r	f17r.4	f17r.4:4	qor	qor	OPEN	⟦qor⟧	recorded
N	HERB4	f17r	f17r	f17r.4	f17r.4:5	olaiin	olain	OPEN	⟦olaiin⟧	recorded
N	HERB4	f17r	f17r	f17r.4	f17r.4:6	opydg	opydg	OPEN	⟦opydg⟧	recorded
N	HERB4	f17r	f17r	f17r.4	f17r.4:7	som	som	OPEN	⟦som⟧	recorded
N	HERB4	f17r	f17r	f17r.4	f17r.4:8	ypchy	ypchy	OPEN	⟦ypchy⟧	recorded
N	HERB4	f17r	f17r	f17r.4	f17r.4:9	ypaim	ypaim	OPEN	⟦ypaim⟧	recorded
N	HERB4	f17r	f17r	f17r.5	f17r.5:1	ychekchy	ychekchy	OPEN	⟦ychekchy⟧	recorded
N	HERB4	f17r	f17r	f17r.5	f17r.5:2	cthy	cthy	NOUN	Kraut[cthy]	recorded
N	HERB4	f17r	f17r	f17r.5	f17r.5:3	chor	chor	NOUN	Blüten[chor]	recorded
N	HERB4	f17r	f17r	f17r.5	f17r.5:4	shor	shor	OPEN	⟦shor⟧	recorded
N	HERB4	f17r	f17r	f17r.5	f17r.5:5	cphor	cphor	OPEN	⟦cphor⟧	recorded
N	HERB4	f17r	f17r	f17r.5	f17r.5:6	cphaldy	cphaldy	OPEN	⟦cphaldy⟧	recorded
N	HERB4	f17r	f17r	f17r.5	f17r.5:7	dair	dair	OPEN	⟦dair⟧	recorded
N	HERB4	f17r	f17r	f17r.5	f17r.5:8	cthey	cthey	OPEN	⟦cthey⟧	recorded
N	HERB4	f17r	f17r	f17r.5	f17r.5:9	qody	qody	OPEN	⟦qody⟧	recorded
N	HERB4	f17r	f17r	f17r.6	f17r.6:1	tsho	tsho	OPEN	⟦tsho⟧	recorded
N	HERB4	f17r	f17r	f17r.6	f17r.6:2	qof	qof	OPEN	⟦qof⟧	recorded
N	HERB4	f17r	f17r	f17r.6	f17r.6:3	cho	cho	OPEN	⟦cho⟧	recorded
N	HERB4	f17r	f17r	f17r.6	f17r.6:4	qokcheor	qokcheor	OPEN	⟦qokcheor⟧	recorded
N	HERB4	f17r	f17r	f17r.6	f17r.6:5	cheteg	cheteg	OPEN	⟦cheteg⟧	recorded
N	BATH3	f83r	F83_P1	f83r.1	f83r.1:1	tchedy	tchedy	OPEN	⟦tchedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.1	f83r.1:2	lpchedy	lpchedy	OPEN	⟦lpchedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.1	f83r.1:3	opedy	opedy	OPEN	⟦opedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.1	f83r.1:4	chepol	chepol	OPEN	⟦chepol⟧	recorded
N	BATH3	f83r	F83_P1	f83r.1	f83r.1:5	pchedar	pchedar	OPEN	⟦pchedar⟧	recorded
N	BATH3	f83r	F83_P1	f83r.1	f83r.1:6	shedy	shedy	NOUN	Flüssigkeit[shedy]	recorded
N	BATH3	f83r	F83_P1	f83r.1	f83r.1:7	qopchedy	qopchedy	OPEN	⟦qopchedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:1	sol	sol	OPEN	⟦sol⟧	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:2	cheey	cheey	OPEN	⟦cheey⟧	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:3	qokaiin	qokain	NOUN	Gefäß[qokain]	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:4	shol	shol	OPEN	⟦shol⟧	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:5	lchs	lchs	OPEN	⟦lchs⟧	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:6	shey	shey	OPEN	⟦shey⟧	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:7	qoteedy	qoteedy	OPEN	⟦qoteedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:8	rches	rches	OPEN	⟦rches⟧	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:9	ar	ar	OPEN	⟦ar⟧	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:10	chedy	chedy	ACTION	erwärme(shedy;Ziel=NA;COMPLETE)	recorded
N	BATH3	f83r	F83_P1	f83r.2	f83r.2:11	dor	dor	OPEN	⟦dor⟧	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:1	olkeedy	olkeedy	OPEN	⟦olkeedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:2	qotal	qotal	OPEN	⟦qotal⟧	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:3	chkeedy	chkeedy	OPEN	⟦chkeedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:4	chey	chey	OPEN	⟦chey⟧	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:5	daiin	dain	QUANTITY	MATERIAL_AMOUNT Q(shedy;Quelle=f83r.1:6)	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:6	chey	chey	OPEN	⟦chey⟧	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:7	lchedy	lchedy	NOUN	Zusatzstoff[lchedy]	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:8	qokaiin	qokain	NOUN	Gefäß[qokain]	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:9	qotal	qotal	OPEN	⟦qotal⟧	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:10	dar	dar	OPEN	⟦dar⟧	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:1	qokshedy	qokshedy	OPEN	⟦qokshedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:2	chedy	chedy	ACTION	erwärme(lchedy;Ziel=NA;COMPLETE)	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:3	qokedy	qokedy	OPEN	⟦qokedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:4	chkedy	chkedy	OPEN	⟦chkedy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:5	daiin	dain	QUANTITY	MATERIAL_AMOUNT Q(lchedy;Quelle=f83r.3:7)	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:6	shetar	shetar	OPEN	⟦shetar⟧	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:7	shedy	shedy	NOUN	Flüssigkeit[shedy]	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:8	qekaiin	qekain	OPEN	⟦qekaiin⟧	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:9	chedy	chedy	ACTION	erwärme(shedy;Ziel=NA;COMPLETE)	recorded
N	BATH3	f83r	F83_P1	f83r.5	f83r.5:1	deey	deey	OPEN	⟦deey⟧	recorded
N	BATH3	f83r	F83_P1	f83r.5	f83r.5:2	qotaiin	qotain	OPEN	⟦qotaiin⟧	recorded
N	BATH3	f83r	F83_P1	f83r.5	f83r.5:3	checkhy	checkhy	OPEN	⟦checkhy⟧	recorded
N	BATH3	f83r	F83_P1	f83r.5	f83r.5:4	qoty	qoty	OPEN	⟦qoty⟧	recorded
N	BATH3	f83r	F83_P1	f83r.5	f83r.5:5	cheg	cheg	OPEN	⟦cheg⟧	recorded
