statement_id	record_unit_id	visible_owner	visible_sequence	layered_card_reading	fluent_owner_expansion_de	event_count	common_portable_count	local_common_axis_count	prose_extension_count	whole_or_local_count
H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey cthoor char chty os chair otytchol oky daiin etyd	[GANZKARTE:Wurzel] [ACHSE:OR+CTH→Vorbereitung] [KERN:davon] [PROSA:Teil] [GANZKARTE:Aufnahmegefäß] [PROSA:Zuguss] [ACHSE:OL+OT+TY→Folgeteil] [KERN:einsetzen] [KERN:Sollwert] [PROSA:kleiner Rest]	Die Wurzel der Bildpflanze nehmen, einen Teil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen, auf Sollmaß bringen und einen kleinen Rest belassen.	10	3	2	3	2
H1-S002	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qokchy qotchol chol cthy	[ACHSE:OK+Y→weiterbearbeiten] [ACHSE:OL+OT→Folgegang] [KERN:weiter] [ACHSE:Y+CTH→bereit]	Die erste Charge weiterbearbeiten, im Folgegang weiterführen und als bereit halten.	4	1	3	0	0
H2-S001	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	[ACHSE:Y+OR+CHEO→Auszugsansatz] [ACHSE:Y+CTH→bereit] [KERN:Ansatz] [ACHSE:AIIN+CTH→Sollvorbereitung] [ACHSE:OL+Y+CTH→bereiter Folgeposten] [KERN:dies] [KERN:dies] [KERN:Sollwert] [KERN:dies]	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den bereiten Folgeposten wählen und diesen auf Sollmaß bringen.	9	5	4	0	0
H2-S002	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchor chor otol chol cholor chol daiin dar	[ACHSE:OT+OR→Folgeansatz] [KERN:Ansatz] [ACHSE:OL+OT→Fortgang] [KERN:weiter] [KERN:derselbe Ansatz] [KERN:weiter] [KERN:Sollwert] [KERN:davon]	Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten.	8	6	2	0	0
H2-S003	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oykchor shor chor chy kaiiin dy chodaiin	[GANZKARTE:Zubereitungsgefäß] [KERN:Ansatz] [KERN:Ansatz] [KERN:dies] [PROSA:Bearbeitungsstufe] [KERN:dies] [ACHSE:AIIN+HO→Zugabemaß]	Im Zubereitungsgefäß den Ansatz in der Bearbeitungsstufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	7	4	1	1	1
H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	tshol schoal cfhy shfydaiin cphy shey tchody	[PROSA:Kochgut] [ACHSE:AL+HO→Sudansatz] [GANZKARTE:auswringen] [ACHSE:AIIN→Stehzeit] [GANZKARTE:nachseihen] [KERN:Freigabewert] [GANZKARTE:kalt stellen; Schluss]	Das Kochgut in einem Sud ansetzen, auswringen, eine Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; Schluss.	7	1	2	1	3
H3-S002	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shoyty	[ACHSE:Y+HO+TY→Zugabeteil]	Den weiteren Zugabeteil bereitlegen.	1	0	1	0	0
H3-S003	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dchol chy kchy dy daiin	[GANZKARTE:vom vorigen] [KERN:dies] [ACHSE:Y→Bearbeiten] [KERN:dies] [KERN:Sollwert]	Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen.	5	3	1	0	1
H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	qotchy okchol cthy dy	[ACHSE:OT+Y→nächster Posten] [ACHSE:OK+OL→weiter einsetzen] [ACHSE:Y+CTH→bereit] [KERN:dies]	Zum nächsten Posten wechseln, ihn weiter einsetzen, Bereitschaft prüfen und als aktuellen Posten halten.	4	1	3	0	0
H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	qokaiin chaiin ykain ykan ody	[ACHSE:OK+AIIN→bemessen] [KERN:Sollwert] [ACHSE:Y+AIN→erste Portion] [ACHSE:Y+AIN→zweite Portion] [GANZKARTE:abkühlen; Schluss]	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen; Schluss.	5	1	3	0	1
H4-S002	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	daiin chedy talam	[KERN:Sollwert] [KERN:überführen] [ACHSE:AL→Verwahrort]	Die Sollmenge überführen und am Verwahrort ablegen.	3	2	1	0	0
H4-S003	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ykaiin cheoar cheeky oldy	[ACHSE:AIIN+Y→Sollportion] [ACHSE:AR+CHEO→Quellauszug] [ACHSE:Y+EE+CHK→länger bearbeiten] [KERN:fertig]	Eine Sollportion aus dem Quellauszug nehmen, länger bearbeiten und fertigstellen.	4	1	3	0	0
H4-S004	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	aiin okal oltchy or y orain	[KERN:Sollwert] [KERN:dorthin einsetzen] [ACHSE:OL+Y+CTH→Folgebereitung] [KERN:Ansatz] [KERN:dies] [ACHSE:OR+AIN→Bereitungsanteil]	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.	6	4	2	0	0
H5-S001	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	chochor cho chodaly daiin sho kchol otchor choky dal	[ACHSE:OR+HO→Zugabeansatz] [PROSA:weitere Zutat] [ACHSE:AL+Y+HO→Zielzugabe] [KERN:Sollwert] [PROSA:weitere Zutat] [ACHSE:OL→weiter bearbeiten] [ACHSE:OT+OR→Folgeansatz] [KERN:einsetzen] [KERN:dorthin]	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.	9	3	4	2	0
H5-S002	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	schol choy choky cheeckhody	[GANZKARTE:vom vorigen] [ACHSE:Y+HO→Zugabeposten] [KERN:einsetzen] [GANZKARTE:auftragen; Schluss]	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.	4	1	1	0	2
H5-S003	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sh cho kchey qokokchy	[GANZKARTE:Stängel] [PROSA:weitere Zutat] [ACHSE:Y+E→Kurzbearbeitung] [ACHSE:OK+Y→erneut einsetzen]	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.	4	0	2	1	1
H5-S004	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	okchy chokcheo kchal	[ACHSE:OK+Y→weiterbearbeiten] [ACHSE:OK+CHEO→Auszug einsetzen] [ACHSE:AL→Zielbearbeitung]	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.	3	0	3	0	0
H5-S005	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sho chokchy kchoar sotodan	[PROSA:weitere Zutat] [ACHSE:OK+Y→weiterbearbeiten] [ACHSE:AR+CHEO→bearbeiteter Quellauszug] [ACHSE:OT→Folgeanwendung]	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und die Folgeanwendung ausführen.	4	0	3	1	0
H5-S006	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	otchey keol daiin	[KERN:das nächste] [ACHSE:OL+E→kurz weiterbearbeiten] [KERN:Sollwert]	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.	3	2	1	0	0
B1-S001	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokedy	[ACHSE:OK+DY+E→kurz einwirken; Schluss]	Kurz einwirken lassen; Schluss.	1	0	1	0	0
B1-S002	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	[ACHSE:OK+AIIN→bemessen] [PROSA:Beckenlauf] [KERN:dorthin einsetzen] [KERN:davon] [KERN:weiter] [PROSA:Portion] [ACHSE:OL+AIN→weiterer Anteil] [KERN:dorthin] [KERN:weiter] [ACHSE:OL→Anschluss] [GANZKARTE:Zusatz] [KERN:derselbe Ansatz] [KERN:weiter] [ACHSE:AL+E+CKH→Kurze Zielpassage] [KERN:Sollwert] [ACHSE:OK+AL+EE→Langer Zieleinsatz] [KERN:Sollwert] [ACHSE:Y+CKH→durchleiten] [ACHSE:CHED~CHD→überführen; Schluss]	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.	19	9	7	2	1
B1-S003	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qol sshkchdy	[KERN:weiter] [GANZKARTE:Haltetransfer; Schluss]	Weiterführen und haltend übertragen; Schluss.	2	1	0	0	1
B1-S004	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chedy ol shedy	[KERN:überführen] [KERN:weiter] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Überführen, weiterführen und kurz absetzen lassen; Schluss.	3	2	1	0	0
B1-S005	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qolchedy	[ACHSE:OL+DY+CHED~CHD→weiterführen; Schluss]	Weiterführen; Schluss.	1	0	1	0	0
B1-S006	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokain shckhy dl ral	[PROSA:Anteil zugeben] [ACHSE:Y+CKH→durchleiten] [GANZKARTE:Zusatz] [ACHSE:AL→Zielmarke]	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.	4	0	2	1	1
B1-S007	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokchdy	[ACHSE:CHED~CHD→einführen; Schluss]	In die offene Zielstelle einführen; Schluss.	1	0	1	0	0
B1-S008	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chey ol cheky ol shedy	[KERN:dies] [KERN:weiter] [ACHSE:Y+E+CHK→kurz wärmen] [KERN:weiter] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	5	3	2	0	0
B1-S009	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokedy	[ACHSE:OK+DY+E→kurz einwirken; Schluss]	Kurz einwirken lassen; Schluss.	1	0	1	0	0
B1-S010	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokedy	[ACHSE:OK+DY+E→kurz einwirken; Schluss]	Kurz einwirken lassen; Schluss.	1	0	1	0	0
B1-S011	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chckhy qoky	[ACHSE:Y+CKH→durchleiten] [KERN:einsetzen]	Durch den verbundenen Gang leiten und einsetzen.	2	1	1	0	0
B1-S012	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	lsho qokey lshedy	[PROSA:Waschgang] [ACHSE:OK+Y+E→kurz einwirken] [ACHSE:DY+LSH→Waschgang; Schluss]	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	3	0	2	1	0
B1-S013	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	lshedy	[ACHSE:DY+LSH→Waschgang; Schluss]	Einen Waschgang ausführen; Schluss.	1	0	1	0	0
