source_id	unit_id	page	locus	visible_owner	visible_surface	primary_layer	layered_group_reading	local_owner_expansion_de
A001	A1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	ykshy	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:ykshy]	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.
A002	A1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	s	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:s]	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.
A003	A1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	aram	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:aram]	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.
A004	A1	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	ykecho	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:ykecho]	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.
A005	A1	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	ols	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:ols]	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.
A006	A1	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	eesydy	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:eesydy]	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.
A007	A1	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	ey	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:ey]	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.
A008	A1	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	shs	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:shs]	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.
A009	A1	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	okar	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:okar]	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.
A010	A1	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	shekchy	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:shekchy]	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.
A011	A1	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	sykos	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:sykos]	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.
A012	A1	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	ykeody	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:ykeody]	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.
A013	A1	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	okchy	ASTRO_LOCAL_LABEL_WITH_PROSE_HOMOGRAPH	[ASTRO-HOMOGRAPH:okchy]	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.
A014	A1	f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	dchetay	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:dchetay]	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.
A015	A1	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	ykchy	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:ykchy]	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.
A016	A1	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	kchey	ASTRO_LOCAL_LABEL_WITH_PROSE_HOMOGRAPH	[ASTRO-HOMOGRAPH:kchey]	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.
A017	A1	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	ykchys	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:ykchys]	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ys.
A018	A1	f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	chkchdar	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:chkchdar]	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.
A019	A1	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	ykar	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:ykar]	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yk.
A020	A1	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	ykaly	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:ykaly]	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.
A021	A1	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	lkshy	ASTRO_LOCAL_EXEMPLAR	[EXEMPLAR:lkshy]	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y.
A022	A1	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	kchy	ASTRO_LOCAL_LABEL_WITH_PROSE_HOMOGRAPH	[ASTRO-HOMOGRAPH:kchy]	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.
