unit_id	page	locus	visible_owner	surface_text	layered_group_reading	local_owner_expansion_de	group_count	common_count	homograph_count	exemplar_count
A1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	ykshy s aram	[EXEMPLAR:ykshy] [EXEMPLAR:s] [EXEMPLAR:aram]	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y. || A1_RIGHT_SECTOR_SLOT_01: Nebenwert. || Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.	3	0	0	3
A1	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	ykecho ols eesydy	[EXEMPLAR:ykecho] [EXEMPLAR:ols] [EXEMPLAR:eesydy]	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec. || Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s. || Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	3	0	0	3
A1	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	ey shs okar	[EXEMPLAR:ey] [EXEMPLAR:shs] [EXEMPLAR:okar]	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert. || Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s. || Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	3	0	0	3
A1	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	shekchy sykos	[EXEMPLAR:shekchy] [EXEMPLAR:sykos]	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y. || A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.	2	0	0	2
A1	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	ykeody okchy	[EXEMPLAR:ykeody] [ASTRO-HOMOGRAPH:okchy]	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen. || Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	2	0	1	1
A1	f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	dchetay	[EXEMPLAR:dchetay]	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	1	0	0	1
A1	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	ykchy kchey ykchys	[EXEMPLAR:ykchy] [ASTRO-HOMOGRAPH:kchey] [EXEMPLAR:ykchys]	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y. || Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten. || Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ys.	3	0	1	2
A1	f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	chkchdar	[EXEMPLAR:chkchdar]	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	1	0	0	1
A1	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	ykar ykaly	[EXEMPLAR:ykar] [EXEMPLAR:ykaly]	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yk. || Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.	2	0	0	2
A1	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	lkshy kchy okar	[EXEMPLAR:lkshy] [ASTRO-HOMOGRAPH:kchy] [EXEMPLAR:okar]	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y. || Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten. || Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	3	0	1	2
