visible_surface	occurrences	pages	owners	detected_literal_atoms	residual_string	residual_family	new_local_core	new_local_core_value_de	revised_short_reading_de	decision
a	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	NONE	a	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_RIGHT_WHEEL_RING_TEXT: Hauptwert.	KEEP_LOCAL
aiin	6	f67r2|f69v	A1_LEFT_LOCAL_FIELD_27|A1_LEFT_LOCAL_FIELD_43|A1_LEFT_LOCAL_FIELD_44|A1_LEFT_LOCAL_FIELD_49|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A3_MIDDLE_WHEEL_RING_TEXT	AIIN	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_27: Sollwert oder Grad des bezeichneten Himmelsplatzes.	KEEP_LOCAL
ain	2	f67r2	A1_LEFT_LOCAL_FIELD_19|A1_RIGHT_RING_BAND_01	AIN	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: gezaehlter Teil oder Unterabschnitt.	KEEP_LOCAL
air	4	f67r2|f69v	A1_LEFT_LOCAL_FIELD_32|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A1_RIGHT_PHASE_STATION_01|A3_RIGHT_WHEEL_RING_TEXT	AIR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_32: Himmels-, Ring- oder Zeigerlauf.	KEEP_LOCAL
airchy	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	AIR	chy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest chy.	KEEP_BOUND_OR_LOCAL
alaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_32	AL+AIIN	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_32: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes.	KEEP_LOCAL
aldaiin	1	f67r2	A1_LEFT_OUTER_RING_TEXT	AL+AIIN	d	RENDERER_FRAME	NONE	KEIN SACHWERT	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest d.	KEEP_RENDERER
aldy	1	f67r2	A1_RIGHT_RING_BAND_01	AL	dy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest dy.	KEEP_BOUND_OR_LOCAL
alys	1	f69v	A3_LEFT_RADIAL_SLOT_28	AL	ys	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_28: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ys.	KEEP_BOUND_OR_LOCAL
am	3	f67r2	A1_LEFT_LOCAL_FIELD_21|A1_LEFT_LOCAL_FIELD_27|A1_LEFT_LOCAL_FIELD_28	NONE	am	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_21: Aspektwert.	KEEP_LOCAL
amy	1	f67r2	A1_LEFT_LOCAL_FIELD_19	NONE	amy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_19: aktueller Aspektwert.	KEEP_LOCAL
ar	9	f67r2|f69v	A1_LEFT_LOCAL_FIELD_19|A1_LEFT_LOCAL_FIELD_21|A1_LEFT_LOCAL_FIELD_24|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A1_RIGHT_OUTER_RING_TEXT|A3_LEFT_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	AR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_19: Ausgangssektor, Ursprung oder Bezugswert.	KEEP_LOCAL
aram	1	f67r2	A1_RIGHT_SECTOR_SLOT_01	AR	am	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.	KEEP_LOCAL
ay	2	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A1_RIGHT_PHASE_STATION_06	NONE	ay	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_RIGHT_PHASE_STATION_06: aktueller Hauptwert.	KEEP_LOCAL
ch	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	NONE	ch	RENDERER_FRAME	NONE	KEIN SACHWERT	A3_MIDDLE_WHEEL_RING_TEXT: Zustand.	KEEP_RENDERER
char	1	f69v	A3_LEFT_WHEEL_RING_TEXT	AR	ch	RENDERER_FRAME	NONE	KEIN SACHWERT	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.	KEEP_RENDERER
chda	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	CHD	a	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Wert oder Platzbezug uebertragen; lokaler Namensrest a.	KEEP_LOCAL
chdy	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	CHD	y	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: auf den bezeichneten Diagrammplatz uebertragen.	KEEP_BOUND_OR_LOCAL
cheal	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	AL	che	RENDERER_FRAME	NONE	KEIN SACHWERT	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.	KEEP_RENDERER
chear	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	AR	che	RENDERER_FRAME	NONE	KEIN SACHWERT	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest che.	KEEP_RENDERER
chedaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_39	CHD+AIIN	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.	KEEP_LOCAL
chees	1	f69v	A3_LEFT_WHEEL_RING_TEXT	NONE	chees	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_WHEEL_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest ch/s.	KEEP_LOCAL
cheeteey	1	f68r1	A2_MIDDLE_PANEL_HEADER	NONE	cheeteey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_MIDDLE_PANEL_HEADER: lange oder volle Diagrammstufe + lange oder volle Diagrammstufe; lokaler Namensrest ch/t/y.	KEEP_LOCAL
cheey	2	f68r1|f69v	A2_MIDDLE_PANEL_HEADER|A3_MIDDLE_WHEEL_RING_TEXT	NONE	cheey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_MIDDLE_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert.	KEEP_LOCAL
chekody	1	f67r2	A1_LEFT_LOCAL_FIELD_41	CHK	ody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	A1_LEFT_LOCAL_FIELD_41: abgeleiteter Klassenwert.	KEEP_BOUND_OR_LOCAL
cheo	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	CHEO	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_MIDDLE_WHEEL_RING_TEXT: Ablesewert.	KEEP_LOCAL
cheody	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	CHEO	dy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	A3_MIDDLE_WHEEL_RING_TEXT: Ablesewert fest.	KEEP_BOUND_OR_LOCAL
cheokorchey	1	f68r1	A2_MIDDLE_PANEL_HEADER	CHEO+OR	kchey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_MIDDLE_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che/chey.	KEEP_BOUND_OR_LOCAL
cheor	2	f68r1|f69v	A2_LEFT_PANEL_HEADER|A3_RIGHT_WHEEL_RING_TEXT	CHEO	r	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_LEFT_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che.	KEEP_LOCAL
cheos	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	CHEO	s	RENDERER_FRAME	NONE	KEIN SACHWERT	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: sekundärer Ablesewert.	KEEP_RENDERER
cheteeser	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	NONE	cheteeser	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest chet/ser.	KEEP_LOCAL
chetody	1	f69v	A3_LEFT_WHEEL_RING_TEXT	NONE	chetody	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_LEFT_WHEEL_RING_TEXT: abgeleiteter Platzwert.	KEEP_LOCAL
chey	4	f69v	A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	NONE	chey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.	KEEP_LOCAL
cheyky	1	f69v	A3_LEFT_WHEEL_RING_TEXT	NONE	cheyky	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_LEFT_WHEEL_RING_TEXT: Ablesung dieses Hauses.	KEEP_LOCAL
chkchdar	1	f67r2	A1_RIGHT_SECTOR_SLOT_08	KCH+AR	chd	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	KEEP_LOCAL
chkchykoly	1	f68r1	A2_MULTIPANEL_HEADER_FRAGMENT_07	KCH+OL	chyky	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_07: Diagrammplatz berechnen oder bearbeiten + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest ch/yk/y.	KEEP_BOUND_OR_LOCAL
chky	1	f67r2	A1_RIGHT_SECTOR_SLOT_11	NONE	chky	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren; lokaler Namensrest y.	KEEP_LOCAL
cho	2	f67r2|f69v	A1_LEFT_OUTER_STAR_STATION_07|A3_RIGHT_WHEEL_RING_TEXT	HO	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: Eingangsobjekt oder Eingangsbedingung.	KEEP_LOCAL
choaiin	1	f69v	A3_LEFT_WHEEL_RING_TEXT	HO+AIIN	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmelsobjekt oder Eingangsbedingung + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest c.	KEEP_LOCAL
chocfhy	2	f67r2|f68r1	A1_LEFT_LOCAL_FIELD_20|A2_STAR_STATION_04	HO	cfhy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_20: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/cfhy.	KEEP_BOUND_OR_LOCAL
choctheeey	1	f68r1	A2_LEFT_PANEL_HEADER	HO+CTH	eeey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/cth/y.	KEEP_BOUND_OR_LOCAL
