group_serial	page	locus	visible_owner	visible_surface	new_local_core	new_local_core_value_de	existing_atoms	spoken_workshop_reading_de
1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	ykshy	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
4	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	ykecho	YK	KLASSE/HAUS	HO	bezeichnete Klasse oder Haus + HO
12	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	ykeody	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
15	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	ykchy	YK	KLASSE/HAUS	KCH	bezeichnete Klasse oder Haus + KCH
17	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	ykchys	YK	KLASSE/HAUS	KCH	bezeichnete Klasse oder Haus + KCH
19	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	ykar	YK	KLASSE/HAUS	AR	bezeichnete Klasse oder Haus + AR
20	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	ykaly	YK	KLASSE/HAUS	AL	bezeichnete Klasse oder Haus + AL
27	f67r2	f67r2.12	A1_RIGHT_SECTOR_SLOT_12	ykees	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
28	f67r2	f67r2.12	A1_RIGHT_SECTOR_SLOT_12	ykchos	YK	KLASSE/HAUS	KCH	bezeichnete Klasse oder Haus + KCH
63	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	yteoor	YT	PLATZ/PHASE	OR	bezeichneter Platz oder Phase + OR
64	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	yto	YT	PLATZ/PHASE	NONE	bezeichneter Platz oder Phase
65	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	ykor	YK	KLASSE/HAUS	OR	bezeichnete Klasse oder Haus + OR
72	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	ytody	YT	PLATZ/PHASE	NONE	bezeichneter Platz oder Phase
89	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	ytor	YT	PLATZ/PHASE	OR	bezeichneter Platz oder Phase + OR
92	f67r2	f67r2.37	A1_LEFT_LOCAL_FIELD_37	ytoaiin	YT	PLATZ/PHASE	AIIN	bezeichneter Platz oder Phase + AIIN
98	f67r2	f67r2.40	A1_LEFT_LOCAL_FIELD_40	yteos	YT	PLATZ/PHASE	NONE	bezeichneter Platz oder Phase
101	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	ytoeopchey	YT	PLATZ/PHASE	NONE	bezeichneter Platz oder Phase
132	f67r2	f67r2.55	A1_LEFT_OUTER_STAR_STATION_04	ytodal	YT	PLATZ/PHASE	AL	bezeichneter Platz oder Phase + AL
140	f67r2	f67r2.59	A1_LEFT_OUTER_STAR_STATION_08	ytchodly	YT	PLATZ/PHASE	HO	bezeichneter Platz oder Phase + HO
142	f67r2	f67r2.61	A1_LEFT_OUTER_STAR_STATION_10	ytokar	YT	PLATZ/PHASE	OK+AR	bezeichneter Platz oder Phase + OK+AR
162	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	ykoaiin	YK	KLASSE/HAUS	AIIN	bezeichnete Klasse oder Haus + AIIN
164	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	ytalchos	YT	PLATZ/PHASE	AL+HO	bezeichneter Platz oder Phase + AL+HO
171	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	ykchey	YK	KLASSE/HAUS	KCH	bezeichnete Klasse oder Haus + KCH
172	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	ykchey	YK	KLASSE/HAUS	KCH	bezeichnete Klasse oder Haus + KCH
